timestamp,x,y
1687012888.1520402,1058,703
1687012888.1676118,1057,702
1687012888.1836529,1057,702
1687012888.199128,1057,701
1687012888.214734,1057,701
1687012888.2300725,1057,701
1687012888.2465086,1058,700
1687012888.2614555,1058,700
1687012888.2773094,1060,698
1687012888.2932713,1060,698
1687012888.3083878,1061,698
1687012888.323898,1061,698
1687012888.339919,1064,698
1687012888.3554742,1064,698
1687012888.3713422,1066,699
1687012888.3865366,1066,699
1687012888.4020529,1068,700
1687012888.4173417,1068,700
1687012888.433236,1068,700
1687012888.4485548,1069,702
1687012888.4643579,1069,702
1687012888.4799392,1018,667
1687012888.4952686,1018,667
1687012888.510165,631,486
1687012888.5258229,631,486
1687012888.5417502,558,445
1687012888.5576468,558,445
1687012888.5732577,402,388
1687012888.5884242,402,388
1687012888.603755,353,372
1687012888.6189756,353,372
1687012888.6343484,353,372
1687012888.6501503,328,364
1687012888.6653802,328,364
1687012888.6809044,304,357
1687012888.6966345,304,357
1687012888.7121542,273,344
1687012888.7278972,273,344
1687012888.7439065,235,330
1687012888.75872,235,330
1687012888.773864,210,316
1687012888.789376,210,316
1687012888.8058226,197,309
1687012888.8212826,197,309
1687012888.8369553,196,307
1687012888.8526304,196,307
1687012888.867785,197,306
1687012888.8835123,197,306
1687012888.8991585,201,304
1687012888.9145312,201,304
1687012888.9303296,201,304
1687012888.9458115,208,298
1687012888.9610603,208,298
1687012888.9767444,218,292
1687012888.9927268,218,292
1687012889.0089629,230,288
1687012889.0239918,230,288
1687012889.0399346,238,285
1687012889.0554607,238,285
1687012889.0710971,244,281
1687012889.086649,244,281
1687012889.101771,270,274
1687012889.1169634,270,274
1687012889.1330686,270,274
1687012889.1483903,369,266
1687012889.1636522,369,266
1687012889.1792638,428,263
1687012889.1949418,428,263
1687012889.210214,475,258
1687012889.226347,475,258
1687012889.241379,497,253
1687012889.257011,497,253
1687012889.2725399,512,252
1687012889.2877388,512,252
1687012889.3038344,521,250
1687012889.3192418,521,250
1687012889.3343642,521,250
1687012889.3498242,566,246
1687012889.3651161,566,246
1687012889.3811233,684,236
1687012889.397378,684,236
1687012889.4125247,751,232
1687012889.4284198,751,232
1687012889.4443417,810,229
