timestamp,x,y
1686397922.27743,1401,239
1686397922.292765,1403,239
1686397922.308299,1403,239
1686397922.3234973,1404,240
1686397922.339221,1404,240
1686397922.3546805,1408,245
1686397922.3700755,1408,245
1686397922.3858888,1412,252
1686397922.4019802,1412,252
1686397922.418045,1414,258
1686397922.433178,1414,258
1686397922.4483774,1414,258
1686397922.4644082,1418,261
1686397922.479861,1418,261
1686397922.4956424,1424,262
1686397922.5112803,1424,262
1686397922.5265436,1429,263
1686397922.5421324,1429,263
1686397922.5577123,1436,265
1686397922.5729876,1436,265
1686397922.58842,1438,264
1686397922.603538,1438,264
1686397922.6192513,1438,264
1686397922.6352994,1383,246
1686397922.6502793,1383,246
1686397922.6659606,1383,246
1686397922.6819203,1267,217
1686397922.6969204,1181,189
1686397922.7130268,1181,189
1686397922.728228,1181,189
1686397922.7434933,1131,184
1686397922.7590284,1108,182
1686397922.774304,1108,182
1686397922.789696,805,142
1686397922.8048427,805,142
1686397922.820383,466,103
1686397922.836522,466,103
1686397922.8521826,417,104
1686397922.8678882,417,104
1686397922.88273,417,104
1686397922.898294,324,109
1686397922.9137695,324,109
1686397922.9292736,304,111
1686397922.945031,304,111
1686397922.9611347,286,118
1686397922.9767685,286,118
1686397922.9927127,266,128
1686397923.0086713,266,128
1686397923.0240438,240,138
1686397923.039239,240,138
1686397923.0546548,231,142
1686397923.070324,231,142
1686397923.0852609,231,142
1686397923.10145,223,144
1686397923.1165621,223,144
1686397923.1319191,218,146
1686397923.147425,218,146
1686397923.163011,218,147
1686397923.1781485,218,147
1686397923.193806,220,147
1686397923.2096667,220,147
1686397923.2256184,232,147
1686397923.2411506,232,147
1686397923.2565477,270,149
1686397923.2716897,270,149
1686397923.2876863,310,150
1686397923.30368,310,150
1686397923.319576,362,157
1686397923.3356557,362,157
1686397923.351748,400,164
1686397923.3675694,400,164
1686397923.3827047,414,169
1686397923.398653,414,169
1686397923.4140327,414,169
1686397923.4299011,428,169
1686397923.4451609,428,169
1686397923.4611387,435,168
1686397923.476975,435,168
1686397923.4925163,437,165
1686397923.5079763,437,165
1686397923.5237634,437,165
1686397923.5389125,437,165
1686397923.554399,422,161
1686397923.570402,422,161
1686397923.5854006,376,158
1686397923.6014,376,158
1686397923.6163805,376,158
1686397923.6323812,309,152
1686397923.6489172,309,152
1686397923.6639419,254,151
1686397923.67894,254,151
1686397923.6939287,232,153
1686397923.709871,232,153
1686397923.725183,219,151
1686397923.7408204,219,151
1686397923.756251,213,152
1686397923.7717566,213,152
1686397923.7877562,205,153
1686397923.803345,205,153
1686397923.8184934,194,155
1686397923.8348722,194,155
1686397923.8508816,174,156
1686397923.8669667,174,156
1686397923.8823116,161,159
1686397923.8977742,161,159
1686397923.9131994,161,159
1686397923.928007,155,159
1686397923.9434314,155,159
1686397923.959513,147,159
1686397923.9752274,147,159
1686397923.9911153,136,158
1686397924.0071118,136,158
1686397924.0227487,121,152
1686397924.0379434,121,152
1686397924.0538304,114,151
1686397924.0698292,114,151
1686397924.085324,105,153
1686397924.1014118,105,153
1686397924.117422,120,155
1686397924.1334174,120,155
1686397924.149533,120,155
1686397924.1648245,264,166
1686397924.17983,264,166
1686397924.1957333,330,160
1686397924.2117877,330,160
1686397924.2277231,392,167
1686397924.2437274,392,167
1686397924.258934,439,177
1686397924.274934,439,177
1686397924.2897518,483,183
1686397924.305602,483,183
1686397924.320894,550,198
1686397924.3358088,550,198
1686397924.3516629,602,210
1686397924.36765,602,210
1686397924.3833253,625,216
1686397924.399329,625,216
1686397924.4150136,648,227
1686397924.4309604,648,227
1686397924.446555,648,227
1686397924.4620016,665,239
1686397924.477934,665,239
1686397924.4932163,682,245
1686397924.508819,682,245
1686397924.5239186,686,245
1686397924.5400035,686,245
1686397924.5557537,689,246
1686397924.57117,689,246
1686397924.586206,689,246
1686397924.6020212,689,246
1686397924.6175063,689,246
1686397924.6327374,687,249
1686397924.6485336,687,249
1686397924.663976,686,251
1686397924.6803513,686,251
1686397924.695669,685,251
1686397924.711682,685,251
1686397924.7268124,680,254
1686397924.7419379,680,254
1686397924.7575858,683,254
1686397924.773371,683,254
1686397924.7886145,762,250
1686397924.803929,762,250
1686397924.82008,762,250
1686397924.835562,845,262
1686397924.8509007,889,266
1686397924.8660347,889,266
1686397924.8820546,889,266
1686397924.8973296,912,272
1686397924.912454,912,272
1686397924.928401,940,274
1686397924.9438741,940,274
1686397924.9594245,970,270
1686397924.9749725,970,270
1686397924.9914155,994,258
1686397925.0066943,994,258
1686397925.0231378,1025,254
1686397925.0388234,1025,254
1686397925.054513,1026,253
1686397925.0693069,1026,253
1686397925.085181,1026,253
1686397925.100809,1025,251
1686397925.1170013,1025,251
1686397925.1322887,1017,251
1686397925.1477118,1017,251
1686397925.1641002,1003,252
1686397925.1788282,1003,252
1686397925.19536,983,246
1686397925.2104926,983,246
1686397925.2269306,971,243
1686397925.2430494,971,243
1686397925.2586336,952,240
1686397925.2742908,952,240
1686397925.289877,946,240
1686397925.3052933,946,240
1686397925.3209562,939,237
1686397925.3369465,939,237
1686397925.3524847,937,236
1686397925.3685837,937,236
1686397925.3845673,930,232
1686397925.400117,930,232
1686397925.4153976,930,232
1686397925.4314961,930,232
1686397925.4462764,931,228
1686397925.4619932,930,224
1686397925.4771183,930,224
1686397925.4920943,933,218
1686397925.5079086,933,218
1686397925.5238523,937,210
1686397925.5391502,937,210
1686397925.5551715,969,198
1686397925.5708237,969,198
1686397925.5861855,1059,188
1686397925.6020145,1059,188
1686397925.6181262,1127,181
1686397925.6343856,1127,181
1686397925.6497617,1127,181
1686397925.665355,1178,186
1686397925.6808074,1178,186
1686397925.6964288,1198,187
1686397925.7118282,1198,187
1686397925.7282012,1216,188
1686397925.7433732,1216,188
1686397925.7589283,1224,188
1686397925.7744045,1224,188
1686397925.790943,1239,188
1686397925.806528,1239,188
1686397925.8218606,1248,190
1686397925.8370771,1248,190
1686397925.852429,1271,194
1686397925.8680077,1271,194
1686397925.8841004,1292,195
1686397925.9003236,1292,195
1686397925.9155655,1292,195
1686397925.930932,1341,199
1686397925.9458396,1341,199
1686397925.9617996,1341,199
1686397925.977451,1366,201
1686397925.9929845,1383,199
1686397926.0086734,1383,199
1686397926.0238042,1394,197
1686397926.0394228,1394,197
1686397926.0548313,1403,194
1686397926.0700154,1403,194
