set,screen,num_of_jumps,intersections
1,1,27,2
1,2,3,0
1,3,10,1
1,4,7,0
1,5,4,2
1,6,7,0
1,7,6,0
1,8,3,0
1,9,3,0
1,10,5,0
2,1,3,0
2,2,9,0
2,3,20,0
2,4,25,0
2,5,16,2
2,6,9,4
2,7,13,0
2,8,6,2
2,9,29,10
2,10,38,12
3,1,10,0
3,2,5,1
3,3,6,1
3,4,8,2
3,5,27,12
3,6,45,10
3,7,9,0
3,8,3,2
3,9,23,2
3,10,15,2
4,1,6,0
4,2,50,9
4,3,22,4
4,4,12,2
4,5,3,0
4,6,28,0
4,7,12,4
4,8,11,0
4,9,46,14
4,10,6,0
5,1,11,0
5,2,30,4
5,3,9,3
5,4,23,2
5,5,17,2
5,6,19,0
5,7,9,3
5,8,12,0
5,9,20,12
5,10,11,0
6,1,18,2
6,2,15,0
6,3,21,0
6,4,11,0
6,5,26,0
6,6,22,2
6,7,7,4
6,8,37,13
6,9,8,2
6,10,14,0
8,1,16,4
8,2,20,0
8,3,9,0
8,4,38,0
8,5,11,0
8,6,23,0
8,7,7,0
8,8,18,6
8,9,21,2
8,10,37,2
9,1,23,0
9,2,44,16
9,3,23,2
9,4,15,4
9,5,33,9
9,6,61,2
9,7,33,18
9,8,24,2
9,9,16,0
9,10,55,0
10,1,102,4
10,2,24,0
10,3,40,4
10,4,23,0
10,5,17,0
10,6,24,0
10,7,29,2
10,8,49,18
10,9,22,4
10,10,22,0
