set,screen,num_of_fixes,intersections
2,1,3,2
2,2,2,1
2,3,3,0
2,4,2,0
2,5,1,0
2,6,1,0
2,7,2,0
2,8,3,0
2,9,2,0
2,10,2,0
3,1,1,2
3,2,3,0
3,3,2,0
3,4,5,0
3,5,2,0
3,6,3,0
3,7,44,1
3,8,1,0
3,9,7,2
3,10,4,0
4,1,12,3
4,2,1,0
4,3,5,0
4,4,2,0
4,5,22,3
4,6,5,0
4,7,46,13
4,8,1,0
4,9,2,0
4,10,46,71
5,1,6,1
5,2,5,0
5,3,6,2
5,4,1,2
5,5,4,0
5,6,4,0
5,7,7,0
5,8,2,2
5,9,7,0
5,10,1,0
6,1,2,0
6,2,3,1
6,3,3,3
6,4,7,1
6,5,6,1
6,6,2,0
6,8,8,0
6,9,2,3
6,10,1,0
7,1,3,2
7,2,8,1
7,3,16,0
7,4,6,0
7,5,11,0
7,6,9,3
7,7,17,0
7,8,18,0
7,9,5,0
7,10,2,0
8,1,1,1
8,2,4,0
8,3,6,2
8,4,3,0
8,5,2,0
8,6,61,27
8,7,4,0
8,8,4,2
8,9,4,0
8,10,3,0
9,1,4,1
9,2,2,0
9,3,5,0
9,4,2,0
9,5,6,0
9,6,3,0
9,7,2,0
9,8,4,2
9,9,1,0
9,10,3,0
10,1,7,0
10,2,5,0
10,3,2,0
10,5,4,0
10,6,7,0
10,7,3,0
10,8,4,0
10,9,1,0
10,10,4,1
