set,screen,num_of_jumps,intersections
2,1,7,4
2,2,9,2
2,3,15,2
2,4,6,2
2,5,9,0
2,6,1,0
2,7,8,0
2,8,17,2
2,9,13,2
2,10,10,0
3,1,5,2
3,2,6,0
3,3,5,0
3,4,8,5
3,5,31,7
3,6,30,4
3,7,9,2
3,8,6,3
3,9,36,2
3,10,18,2
4,1,3,1
4,2,32,15
4,3,25,1
4,4,9,0
4,5,5,0
4,6,30,2
4,7,8,2
4,8,13,0
4,9,23,15
4,10,9,2
5,1,11,3
5,2,7,4
5,3,4,6
5,4,5,2
5,5,8,0
5,6,7,1
5,7,10,6
5,8,6,0
5,9,18,4
5,10,4,0
6,1,12,0
6,2,9,2
6,3,15,8
6,4,18,2
6,5,9,4
6,6,9,10
6,8,12,0
6,9,14,2
6,10,5,0
7,1,19,2
7,2,34,4
7,3,45,4
7,4,37,0
7,5,47,0
7,6,28,10
7,7,50,16
7,8,31,2
7,9,14,0
7,10,6,3
8,1,11,0
8,2,8,0
8,3,9,6
8,4,14,4
8,5,6,1
8,6,2,0
8,7,13,2
8,8,4,2
8,9,17,0
8,10,17,5
9,1,21,8
9,2,44,6
9,3,19,4
9,4,12,0
9,5,45,12
9,6,37,4
9,7,16,6
9,8,23,4
9,9,13,0
9,10,27,6
10,1,22,0
10,2,22,2
10,3,15,8
10,5,11,0
10,6,39,12
10,7,23,4
10,8,29,11
10,9,15,0
10,10,36,26
