timestamp,x,y
1686482784.3360004,140,1448
1686482784.3622346,140,1448
1686482784.378091,141,1443
1686482784.392969,141,1443
1686482784.408293,142,1440
1686482784.423771,142,1440
1686482784.439003,143,1436
1686482784.4542348,143,1436
1686482784.4700925,144,1430
1686482784.4862826,144,1430
1686482784.5019333,340,969
1686482784.5179355,340,969
1686482784.5339365,656,372
1686482784.5497622,656,372
1686482784.5649705,715,262
1686482784.5809286,715,262
1686482784.5963118,715,262
1686482784.6122513,741,196
1686482784.6281788,741,196
1686482784.6437423,760,162
1686482784.66412,760,162
1686482784.6792054,768,138
1686482784.695143,768,138
1686482784.711997,776,119
1686482784.727807,776,119
1686482784.743434,776,98
1686482784.7590597,776,98
1686482784.774598,772,84
1686482784.7897956,772,84
1686482784.8108773,774,66
1686482784.8263984,774,66
1686482784.8416276,775,54
1686482784.8576348,775,54
1686482784.8732991,780,31
1686482784.8952487,780,31
1686482784.9108965,780,18
1686482784.9258294,780,18
1686482784.9409285,780,9
1686482784.9606876,780,9
1686482784.9765282,759,2
1686482784.9923387,759,2
1686482785.0114095,533,7
1686482785.027011,533,7
1686482785.042647,469,14
1686482785.0582519,469,14
1686482785.0737746,399,29
1686482785.0897448,399,29
1686482785.10549,377,33
1686482785.121073,377,33
1686482785.1368494,364,37
1686482785.1523924,364,37
1686482785.1680143,364,37
1686482785.1836452,354,41
1686482785.199533,343,42
1686482785.2154272,343,42
1686482785.2310207,343,42
1686482785.246483,323,43
1686482785.2622156,323,43
1686482785.2779126,301,42
1686482785.293801,301,42
1686482785.309671,290,41
1686482785.32529,290,41
1686482785.3408356,280,38
1686482785.3563259,280,38
1686482785.3719783,270,32
1686482785.3878152,270,32
1686482785.4041417,259,25
1686482785.4200103,259,25
1686482785.435646,259,25
1686482785.4511778,259,21
1686482785.4668999,259,21
1686482785.4824169,271,14
1686482785.4982839,271,14
1686482785.5141249,297,10
1686482785.5295603,297,10
1686482785.5453193,320,11
1686482785.5610292,320,11
1686482785.57663,338,16
1686482785.592542,338,16
1686482785.6083713,368,16
1686482785.6240485,368,16
1686482785.639673,403,13
1686482785.6553197,403,13
1686482785.6709194,428,9
1686482785.6865299,428,9
1686482785.7028046,460,6
1686482785.7185104,460,6
1686482785.734276,460,6
1686482785.749933,478,4
1686482785.7655392,478,4
1686482785.7809606,491,3
1686482785.797117,505,6
1686482785.8129082,505,6
1686482785.8285306,505,6
1686482785.8440158,512,9
1686482785.8598702,512,9
1686482785.8754866,522,11
1686482785.8914723,522,11
1686482785.9073544,539,16
1686482785.9229393,539,16
1686482785.9386022,556,19
1686482785.9542332,556,19
1686482785.969855,563,19
1686482785.9854808,563,19
1686482786.001486,570,19
1686482786.0172687,570,19
1686482786.0330026,570,19
1686482786.0485506,576,20
1686482786.064196,576,20
1686482786.0797708,577,21
1686482786.096032,577,21
1686482786.1119215,578,22
1686482786.1275387,578,22
1686482786.1431692,580,24
1686482786.1587906,580,24
1686482786.1744063,581,26
1686482786.1900282,581,26
1686482786.2062867,582,27
1686482786.2221732,582,27
1686482786.2377841,583,27
1686482786.2533853,583,27
1686482786.2690282,635,26
1686482786.2845914,635,26
1686482786.3005557,703,27
1686482786.3163922,703,27
1686482786.3320508,703,27
1686482786.3476493,770,37
1686482786.363226,770,37
1686482786.3788416,792,42
1686482786.3948398,792,42
1686482786.4107106,807,46
1686482786.42636,807,46
1686482786.4419763,814,48
1686482786.4575837,814,48
1686482786.473209,818,48
1686482786.4888248,818,48
1686482786.5051215,821,48
1686482786.5208657,821,48
1686482786.5365834,821,48
1686482786.5520911,823,50
1686482786.567718,823,50
1686482786.5833366,822,51
1686482786.599649,819,56
1686482786.6155236,819,56
1686482786.631133,819,56
1686482786.646728,814,58
1686482786.6623204,814,58
1686482786.6780174,811,59
1686482786.69403,811,59
1686482786.7099204,810,59
1686482786.7255418,810,59
1686482786.7411628,809,58
1686482786.7567477,809,58
1686482786.7723699,810,58
1686482786.7880476,810,58
1686482786.804021,955,42
1686482786.8197954,955,42
1686482786.8354197,1074,25
1686482786.8510776,1074,25
1686482786.86656,1074,25
1686482786.8823671,1121,21
1686482786.8983157,1121,21
1686482786.914158,1173,17
1686482786.929745,1173,17
1686482786.9453635,1204,13
1686482786.9610877,1204,13
1686482786.9766686,1221,11
1686482786.9922957,1221,11
1686482787.00852,1224,11
1686482787.0243528,1224,11
1686482787.040019,1225,10
1686482787.055658,1225,10
1686482787.0712802,1225,10
1686482787.0868225,1225,10
1686482787.1031866,1225,10
1686482787.1190443,1225,10
1686482787.1346638,1225,10
1686482787.1501963,1225,10
1686482787.1659184,1225,10
1686482787.1815507,1227,9
1686482787.1975105,1238,6
1686482787.2131596,1238,6
1686482787.2288275,1238,6
1686482787.2444534,1262,4
1686482787.2602491,1262,4
1686482787.2758536,1289,2
1686482787.291482,1289,2
