timestamp,x,y
1687084491.2361581,1406,125
1687084491.2515182,1406,125
1687084491.266939,1397,119
1687084491.2831378,1397,119
1687084491.298794,1378,106
1687084491.314098,1378,106
1687084491.3302712,1362,79
1687084491.3453112,1362,79
1687084491.3609345,1362,79
1687084491.3767908,1355,68
1687084491.391949,1348,61
1687084491.4067903,1348,61
1687084491.4226747,1341,56
1687084491.4387534,1341,56
1687084491.4545503,1329,49
1687084491.4698787,1329,49
1687084491.48552,1329,49
1687084491.5011241,1325,47
1687084491.5163069,1325,47
1687084491.5326767,1323,47
1687084491.5477946,1323,47
1687084491.5639613,1317,48
1687084491.5795937,1317,48
1687084491.5947769,1308,51
1687084491.6109164,1308,51
1687084491.6261399,1264,52
1687084491.6425543,1264,52
1687084491.6578162,1219,47
1687084491.673567,1219,47
1687084491.6893175,1175,37
1687084491.705031,1175,37
1687084491.7206094,1153,32
1687084491.7363389,1153,32
1687084491.7512848,1153,32
1687084491.7669158,1096,25
1687084491.7827418,1096,25
1687084491.7982204,1068,22
1687084491.8132422,1068,22
1687084491.8287382,1043,27
1687084491.844051,1043,27
1687084491.8599145,1033,27
1687084491.8754854,1033,27
1687084491.8914719,1023,24
1687084491.9075632,1023,24
1687084491.9228137,1022,23
1687084491.9386587,1022,23
1687084491.9539528,1026,21
1687084491.9699857,1026,21
1687084491.9860454,1061,6
1687084492.0016747,1061,6
1687084492.0170374,1061,6
1687084492.032558,1077,1
1687084492.0479288,1077,1
1687084492.0630605,1096,-1
1687084492.078656,1096,-1
1687084492.0945559,1117,1
1687084492.1098707,1117,1
1687084492.1255765,1131,13
1687084492.1401293,1131,13
1687084492.1557932,1142,40
1687084492.1712139,1142,40
1687084492.186654,1153,68
1687084492.2019815,1153,68
1687084492.2170386,1153,68
1687084492.2325964,1153,68
1687084492.2479522,1163,86
1687084492.2640986,1163,86
1687084492.2806785,1165,93
1687084492.2962286,1165,98
1687084492.3108726,1165,98
1687084492.327057,1165,98
1687084492.3432703,1179,101
1687084492.3587654,1217,94
1687084492.3740618,1217,94
1687084492.3896575,1242,93
1687084492.4050694,1242,93
1687084492.4201534,1242,93
1687084492.4361217,1242,93
1687084492.4514947,1260,90
1687084492.4670827,1260,90
1687084492.4823682,1270,90
1687084492.4975247,1280,95
1687084492.5131354,1280,95
1687084492.5285604,1312,102
1687084492.545041,1312,102
1687084492.5607004,1353,106
1687084492.5760353,1353,106
1687084492.5921514,1424,98
1687084492.6079392,1424,98
1687084492.6234362,1484,92
1687084492.6392689,1484,92
1687084492.654398,1484,92
1687084492.670176,1508,92
1687084492.6858587,1508,92
1687084492.7009723,1529,93
1687084492.717158,1529,93
1687084492.7326944,1568,93
1687084492.7479782,1568,93
1687084492.764416,1598,96
1687084492.779603,1598,96
1687084492.7954957,1598,96
1687084492.8113928,1623,101
1687084492.826958,1644,107
1687084492.8424268,1644,107
1687084492.8583345,1644,107
1687084492.873767,1653,111
1687084492.88968,1634,136
1687084492.905317,1634,136
1687084492.921741,1419,270
1687084492.9374428,1419,270
1687084492.9527636,1419,270
1687084492.9685795,1269,343
1687084492.984245,1269,343
1687084492.999664,1216,371
1687084493.0147357,1216,371
1687084493.030299,1192,387
1687084493.0462406,1192,387
1687084493.0612876,1182,394
1687084493.077219,1182,394
1687084493.092789,1173,403
1687084493.108778,1173,403
1687084493.1241343,1166,413
1687084493.1401298,1166,413
1687084493.1559596,1167,417
1687084493.1719496,1167,417
1687084493.1874833,1169,419
1687084493.2033432,1169,419
1687084493.2184975,1169,419
1687084493.2340622,1231,425
1687084493.249697,1231,425
1687084493.2651656,1329,414
1687084493.2806625,1329,414
1687084493.2960107,1367,408
1687084493.3112438,1367,408
1687084493.3268726,1397,390
1687084493.341979,1397,390
1687084493.3573134,1397,390
1687084493.3732293,1411,374
1687084493.3894024,1428,360
1687084493.4049177,1428,360
1687084493.420295,1428,360
1687084493.4365125,1434,354
1687084493.4509907,1434,353
1687084493.46625,1434,353
1687084493.4820578,1434,353
1687084493.4981678,1429,353
1687084493.5134416,1429,353
1687084493.5293362,1422,355
1687084493.5454082,1422,355
1687084493.5617604,1414,358
1687084493.5760932,1414,358
1687084493.5920625,1414,358
1687084493.607286,1410,362
1687084493.6222973,1393,372
1687084493.638043,1393,372
1687084493.65317,1371,387
1687084493.66923,1371,387
1687084493.685127,1361,397
1687084493.700487,1361,397
1687084493.7154021,1361,397
1687084493.7313974,1271,435
1687084493.7468598,1147,477
1687084493.7621057,1147,477
1687084493.7782102,1147,477
1687084493.793822,1075,519
1687084493.8091776,1075,519
1687084493.824424,1035,543
1687084493.8400636,1035,543
1687084493.8554337,1013,565
1687084493.871115,1013,565
1687084493.8871253,985,584
1687084493.9030335,985,584
1687084493.9190867,959,595
1687084493.9348752,959,595
1687084493.9502282,928,606
1687084493.9655814,928,606
1687084493.9809248,928,606
1687084493.9961503,900,617
1687084494.0118852,900,617
1687084494.027017,885,624
1687084494.0423198,885,624
1687084494.0581214,885,625
1687084494.0741875,885,625
1687084494.0896962,1062,623
1687084494.1045702,1062,623
1687084494.120565,1236,617
1687084494.1362972,1236,617
1687084494.152115,1312,615
1687084494.1680977,1312,615
1687084494.1840954,1351,608
1687084494.1997337,1351,608
1687084494.2157316,1351,608
1687084494.2316275,1378,605
1687084494.2470975,1411,596
1687084494.2630985,1411,596
1687084494.278614,1411,596
1687084494.2938519,1411,596
1687084494.3092794,1476,586
1687084494.32528,1508,579
1687084494.34028,1508,579
1687084494.3557096,1534,573
1687084494.3717153,1534,573
1687084494.3873339,1545,569
1687084494.40262,1545,569
1687084494.4186206,1558,564
1687084494.4346166,1558,564
1687084494.449774,1568,561
1687084494.4657943,1568,561
1687084494.4817276,1570,558
1687084494.4970694,1570,558
1687084494.512753,1571,554
1687084494.5282779,1571,554
1687084494.544226,1571,554
1687084494.559344,1571,549
1687084494.5749888,1571,549
1687084494.5904748,1568,550
1687084494.6059809,1568,550
1687084494.621832,1539,566
1687084494.637229,1539,566
1687084494.6533382,1486,590
1687084494.669212,1486,590
1687084494.6848252,1445,607
1687084494.7010376,1445,607
1687084494.7161665,1445,607
1687084494.7322755,1424,621
1687084494.7478936,1424,621
1687084494.7630908,1407,632
1687084494.7791016,1407,632
1687084494.7944114,1397,638
1687084494.8103285,1397,638
1687084494.8261666,1391,641
1687084494.8422844,1391,641
1687084494.8577633,1386,643
1687084494.8732064,1386,643
1687084494.888973,1386,643
1687084494.904739,1386,643
1687084494.9209502,1386,643
1687084494.936961,1377,646
1687084494.951986,1369,649
1687084494.9675376,1365,651
1687084494.9828215,1365,651
1687084494.9984803,1365,651
1687084495.0138643,1361,653
1687084495.0290937,1361,653
1687084495.0446298,1358,652
1687084495.0599155,1358,652
1687084495.0751262,1358,652
1687084495.0904043,1357,652
1687084495.1056247,1357,652
1687084495.121594,1357,652
1687084495.1376128,1356,654
1687084495.1535962,1353,657
1687084495.1689613,1353,657
1687084495.1848948,1351,659
1687084495.2008488,1351,659
1687084495.216131,1351,659
1687084495.2313356,1345,662
1687084495.2465293,1345,662
1687084495.2625735,1337,662
1687084495.278613,1337,662
1687084495.294127,1333,662
1687084495.3105378,1333,662
1687084495.3261518,1322,658
1687084495.3416054,1322,658
1687084495.357647,1322,658
1687084495.37366,1316,656
1687084495.389527,1293,630
1687084495.4054308,1293,630
