1686490556.043701 Coordinates x=174 px, y=1501 px
1686490556.0645564 Coordinates x=419 px, y=1088 px
1686490556.080235 Coordinates x=419 px, y=1088 px
1686490556.095983 Coordinates x=547 px, y=906 px
1686490556.1115737 Coordinates x=547 px, y=906 px
1686490556.1279104 Coordinates x=634 px, y=802 px
1686490556.1437025 Coordinates x=634 px, y=802 px
1686490556.1594112 Coordinates x=689 px, y=762 px
1686490556.174923 Coordinates x=689 px, y=762 px
1686490556.190669 Coordinates x=689 px, y=762 px
1686490556.2062924 Coordinates x=717 px, y=741 px
1686490556.2222893 Coordinates x=717 px, y=741 px
1686490556.2381768 Coordinates x=741 px, y=720 px
1686490556.253576 Coordinates x=741 px, y=720 px
1686490556.2690666 Coordinates x=756 px, y=703 px
1686490556.2850535 Coordinates x=756 px, y=703 px
1686490556.3010578 Coordinates x=767 px, y=692 px
1686490556.3165705 Coordinates x=767 px, y=692 px
1686490556.33157 Coordinates x=769 px, y=685 px
1686490556.3465705 Coordinates x=769 px, y=685 px
1686490556.3625686 Coordinates x=771 px, y=676 px
1686490556.3819928 Coordinates x=771 px, y=676 px
1686490556.3973536 Coordinates x=772 px, y=666 px
1686490556.4134865 Coordinates x=772 px, y=666 px
1686490556.4286838 Coordinates x=772 px, y=659 px
1686490556.443841 Coordinates x=772 px, y=659 px
1686490556.4591465 Coordinates x=775 px, y=642 px
1686490556.4752576 Coordinates x=775 px, y=642 px
1686490556.490965 Coordinates x=776 px, y=634 px
1686490556.5069902 Coordinates x=776 px, y=634 px
1686490556.5225296 Coordinates x=778 px, y=631 px
1686490556.5385947 Coordinates x=778 px, y=631 px
1686490556.5538678 Coordinates x=778 px, y=631 px
1686490556.5698197 Coordinates x=781 px, y=628 px
1686490556.585438 Coordinates x=781 px, y=628 px
1686490556.6014836 Coordinates x=783 px, y=626 px
1686490556.6169195 Coordinates x=783 px, y=626 px
1686490556.632415 Coordinates x=785 px, y=625 px
1686490556.6475408 Coordinates x=785 px, y=625 px
1686490556.662403 Coordinates x=786 px, y=623 px
1686490556.6777575 Coordinates x=786 px, y=623 px
1686490556.6933563 Coordinates x=787 px, y=622 px
1686490556.7093244 Coordinates x=787 px, y=622 px
1686490556.7248085 Coordinates x=787 px, y=622 px
1686490556.7464643 Coordinates x=788 px, y=621 px
1686490556.7621596 Coordinates x=790 px, y=620 px
1686490556.777786 Coordinates x=790 px, y=620 px
1686490556.7934034 Coordinates x=760 px, y=612 px
1686490556.8089364 Coordinates x=760 px, y=612 px
1686490556.8251626 Coordinates x=500 px, y=601 px
1686490556.8409247 Coordinates x=500 px, y=601 px
1686490556.8566325 Coordinates x=500 px, y=601 px
1686490556.87192 Coordinates x=422 px, y=596 px
1686490556.8872116 Coordinates x=422 px, y=596 px
1686490556.9030662 Coordinates x=361 px, y=584 px
1686490556.9191508 Coordinates x=361 px, y=584 px
1686490556.9352398 Coordinates x=317 px, y=574 px
1686490556.9509597 Coordinates x=317 px, y=574 px
1686490556.9662704 Coordinates x=292 px, y=560 px
