num,type,x1,y1,x2,y2
1,src,37.953125,40.0,2842.03125,220.0
1,tgt1,136.90625,370.0,2743.078125,550.0
1,tgt2,21.453125,707.0,2858.546875,887.0
2,src,21.46875,40.0,2842.015625,290.0
2,tgt1,87.453125,440.0,2792.546875,690.0
2,tgt2,87.453125,847.0,2792.546875,1097.0
3,src,21.46875,40.0,2858.53125,220.0
3,tgt1,70.9375,370.0,2809.046875,550.0
3,tgt2,169.90625,707.0,2710.078125,957.0
4,src,21.453125,40.0,2858.53125,220.0
4,tgt1,120.421875,370.0,2759.578125,480.0
4,tgt2,1885.34375,440.0,384.328125,817.0
5,src,54.46875,40.0,2825.53124,290.0
5,tgt1,120.4375,440.0,2759.5625,690.0
5,tgt2,21.46875,847.0,2858.515624,1027.0
6,src,136.921875,40.0,2743.078125,220.0
6,tgt1,37.953125,370.0,2842.03125,620.0
6,tgt2,21.46875,777.0,2858.515625,1027.0
7,src,120.421875,40.0,2759.5625,220.0
7,tgt1,54.46875,370.0,2825.53125,550.0
7,tgt2,37.953125,707.0,2842.03125,887.0
8,src,37.953125,40.0,2842.03125,290.0
8,tgt1,21.46875,440.0,2858.515625,690.0
8,tgt2,37.953125,847.0,2842.03125,1097.0
9,src,103.9375,40.0,2776.0625,220.0
9,tgt1,54.453125,370.0,2825.546875,550.0
9,tgt2,54.453125,707.0,2825.546875,887.0
10,src,54.46875,40.0,2825.53125,290.0
10,tgt1,54.453125,440.0,2825.546875,690.0
10,tgt2,70.9375,847.0,2809.046875,1097.0
