num,type,x1,y1,x2,y2
1,src,598.78125,40.0,2281.21875,150.0
1,tgt1,582.28125,300.0,2297.703125,410.0
1,tgt2,516.3125,567.0,2363.6875,677.0
2,src,70.953125,40.0,2809.03125,220.0
2,tgt1,103.9375,370.0,2776.0625,550.0
2,tgt2,120.421875,707.0,2759.5625,887.0
3,src,87.4375,40.0,2792.546875,220.0
3,tgt1,87.4375,370.0,2792.546875,550.0
3,tgt2,87.4375,707.0,2792.546875,817.0
4,src,37.953125,40.0,2842.03125,220.0
4,tgt1,21.46875,370.0,2858.515625,620.0
4,tgt2,21.484375,777.0,2858.515624,1027.0
5,src,54.453125,40.0,2825.546875,220.0
5,tgt1,37.953125,370.0,2842.03125,550.0
5,tgt2,169.90625,707.0,2710.09375,887.0
6,src,153.421875,40.0,2726.5625,220.0
6,tgt1,169.921875,370.0,2710.0625,480.0
6,tgt2,367.859375,637.0,2512.140625,747.0
7,src,87.453125,40.0,2792.53125,220.0
7,tgt1,37.953125,370.0,2842.03125,550.0
7,tgt2,136.921875,707.0,2743.0625,957.0
8,src,54.453125,40.0,2825.546875,220.0
8,tgt1,37.953125,370.0,2842.03125,550.0
8,tgt2,54.453125,707.0,2825.53125,887.0
9,src,103.9375,40.0,2776.046875,220.0
9,tgt1,21.46875,370.0,2858.53125,620.0
9,tgt2,21.46875,777.0,2858.53125,957.0
10,src,103.9375,40.0,2776.046875,220.0
10,tgt1,70.9375,370.0,2809.0625,620.0
10,tgt2,54.453125,777.0,2825.53125,957.0
