num,type,x1,y1,x2,y2
1,src,70.9375,40.0,2809.046875,220.0
1,tgt1,136.921875,370.0,2743.0625,550.0
1,tgt2,103.9375,707.0,2776.0625,887.0
2,src,136.921875,40.0,2743.078125,220.0
2,tgt1,70.953125,370.0,2809.046875,550.0
2,tgt2,70.9375,707.0,2809.046875,887.0
3,src,37.9375,40.0,2842.046875,220.0
3,tgt1,70.953125,370.0,2809.046875,550.0
3,tgt2,120.4375,707.0,2759.546875,887.0
4,src,70.953125,40.0,2809.03125,220.0
4,tgt1,136.9375,370.0,2743.046875,550.0
4,tgt2,268.890625,707.0,2611.109375,887.0
5,src,54.4375,40.0,2825.546875,220.0
5,tgt1,21.46875,370.0,2858.53125,550.0
5,tgt2,169.90625,707.0,2710.078125,887.0
6,src,54.453125,40.0,2825.546875,220.0
6,tgt1,87.4375,370.0,2792.546875,550.0
6,tgt2,87.453125,707.0,2792.546875,887.0
7,src,87.4375,40.0,2792.546875,220.0
7,tgt1,37.953125,370.0,2842.046875,550.0
7,tgt2,186.390625,707.0,2693.59375,887.0
8,src,70.9375,40.0,2809.046875,220.0
8,tgt1,37.96875,370.0,2842.03125,550.0
8,tgt2,252.390625,707.0,2627.609375,887.0
9,src,153.421875,40.0,2726.578125,220.0
9,tgt1,37.96875,370.0,2842.03125,620.0
9,tgt2,54.453125,777.0,2825.53125,1027.0
10,src,54.4375,40.0,2825.546875,220.0
10,tgt1,103.9375,370.0,2776.046875,620.0
10,tgt2,87.453125,777.0,2792.53125,887.0
