num,type,x1,y1,x2,y2
1,src,879.171875,40.0,2000.8125,150.0
1,tgt1,648.25,300.0,2231.734375,410.0
1,tgt2,829.703125,567.0,2050.296875,677.0
2,src,565.78125,40.0,2314.21875,150.0
2,tgt1,54.453125,300.0,2825.546875,410.0
2,tgt2,186.40625,567.0,2693.578125,677.0
3,src,895.671875,40.0,1984.328125,150.0
3,tgt1,928.671875,300.0,1951.328125,410.0
3,tgt2,994.640625,567.0,1885.34375,677.0
4,src,103.9375,40.0,2776.0625,150.0
4,tgt1,202.890625,300.0,2677.09375,480.0
4,tgt2,103.90625,637.0,2776.078125,817.0
5,src,70.9375,40.0,2759.5625,220.0
5,tgt1,37.953125,370.0,2842.046875,620.0
5,tgt2,37.953125,777.0,2842.03125,1027.0
6,src,70.9375,40.0,2809.0625,220.0
6,tgt1,70.921875,370.0,2809.0625,550.0
6,tgt2,37.9375,707.0,2842.0625,887.0
7,src,466.796875,40.0,2413.1875,150.0
7,tgt1,400.828125,300.0,2479.15625,410.0
7,tgt2,334.859375,567.0,2545.140625,677.0
8,src,598.78125,40.0,2281.21875,150.0
8,tgt1,301.875,300.0,2578.109375,410.0
8,tgt2,549.296875,567.0,2330.703125,677.0
9,src,54.453125,40.0,2825.546875,220.0
9,tgt1,219.40625,370.0,2660.59375,550.0
9,tgt2,54.4375,707.0,2825.546875,887.0
10,src,21.453125,40.0,2858.546875,220.0
10,tgt1,37.953125,370.0,2842.03125,550.0
10,tgt2,21.46875,707.0,2858.53125,887.0
