num,type,x1,y1,x2,y2
1,src,202.90625,40.0,2677.078125,150.0
1,tgt1,120.421875,300.0,2759.5625,480.0
1,tgt2,21.46875,637.0,2858.53125,747.0
2,src,153.421875,40.0,2726.578125,220.0
2,tgt1,37.953125,370.0,2842.03125,550.0
2,tgt2,37.953125,707.0,2842.046875,887.0
3,src,21.453125,40.0,2858.53125,220.0
3,tgt1,103.9375,370.0,2776.0625,550.0
3,tgt2,120.4375,707.0,2759.5625,887.0
4,src,37.96875,40.0,2842.03125,290.0
4,tgt1,21.46875,440.0,2858.515625,690.0
4,tgt2,37.96875,847.0,2842.015625,1097.0
5,src,21.46875,40.0,2858.53125,220.0
5,tgt1,21.484375,370.0,2858.515625,620.0
5,tgt2,37.984375,777.0,2842.015625,1027.0
6,src,37.953125,40.0,2842.046875,220.0
6,tgt1,87.4375,370.0,2792.5625,550.0
6,tgt2,70.953125,707.0,2809.046875,887.0
7,src,631.75,40.0,2248.234375,150.0
7,tgt1,681.25,300.0,2198.75,410.0
7,tgt2,516.296875,567.0,2363.6875,677.0
8,src,54.453125,40.0,2825.546875,290.0
8,tgt1,87.453125,440.0,2792.546875,690.0
8,tgt2,54.46875,847.0,2825.53125,1097.0
9,src,37.953125,40.0,2842.03125,220.0
9,tgt1,103.953125,370.0,2776.046875,550.0
9,tgt2,21.46875,707.0,858.515625,887.0
10,src,351.359375,40.0,2528.640625,150.0
10,tgt1,351.359375,300.0,2528.625,410.0
10,tgt2,87.453125,567.0,2792.546875,677.0
