num,type,x1,y1,x2,y2
1,src,582.265625,40.0,2297.71875,150.0
1,tgt1,549.28125,300.0,2330.703125,410.0
1,tgt2,681.25,567.0,2198.75,677.0
2,src,1027.640625,40.0,1852.359375,150.0
2,tgt1,681.25,300.0,2198.734375,410.0
2,tgt2,582.28125,567.0,2297.703125,677.0
3,src,714.234375,40.0,2165.765625,150.0
3,tgt1,846.203125,300.0,2033.796875,410.0
3,tgt2,483.3125,567.0,2396.6875,677.0
4,src,87.4375,40.0,2380.203125,220.0
4,tgt1,37.96875,370.0,2248.21875,550.0
4,tgt2,37.953125,707.0,2380.1875,887.0
5,src,1077.109375,40.0,1802.875,150.0
5,tgt1,1225.5625,300.0,1654.421875,410.0
5,tgt2,961.65625,567.0,1918.34375,677.0
6,src,1044.125,40.0,1835.859375,150.0
6,tgt1,1044.125,300.0,1835.875,410.0
6,tgt2,1060.609375,567.0,1819.375,677.0
7,src,1176.078125,40.0,1703.90625,150.0
7,tgt1,1093.609375,300.0,1786.375,410.0
7,tgt2,1093.609375,567.0,1786.375,677.0
8,src,87.4375,40.0,2792.5625,220.0
8,tgt1,103.953125,370.0,2776.03125,550.0
8,tgt2,54.46875,707.0,2825.515625,817.0
9,src,219.40625,40.0,2660.59375,150.0
9,tgt1,186.40625,300.0,2693.578125,410.0
9,tgt2,103.9375,567.0,2776.046875,677.0
10,src,1209.0625,40.0,1670.921875,150.0
10,tgt1,1159.578125,300.0,1720.40625,410.0
10,tgt2,1275.046875,567.0,1604.9375,677.0
