num,type,x1,y1,x2,y2
1,src,763.703125,40.0,2116.28125,150.0
1,tgt1,681.234375,300.0,2198.75,410.0
1,tgt2,747.21875,567.0,2132.78125,677.0
2,src,400.828125,40.0,2479.15625,150.0
2,tgt1,219.390625,300.0,2660.59375,410.0
2,tgt2,318.359375,567.0,2561.625,677.0
3,src,70.9375,40.0,2809.0625,220.0
3,tgt1,70.9375,370.0,2809.046875,550.0
3,tgt2,120.421875,707.0,2759.5625,887.0
4,src,1110.09375,40.0,1769.890625,150.0
4,tgt1,862.6875,300.0,2017.3125,410.0
4,tgt2,1027.625,567.0,1852.359375,677.0
5,src,714.234375,40.0,2165.765625,150.0
5,tgt1,202.90625,300.0,2677.078125,410.0
5,tgt2,153.421875,567.0,2726.5625,677.0
6,src,1275.046875,40.0,1604.9375,150.0
6,tgt1,994.640625,300.0,1885.34375,410.0
6,tgt2,1110.109375,567.0,1769.890625,677.0
7,src,1143.09375,40.0,1736.90625,150.0
7,tgt1,1044.125,300.0,1835.859375,410.0
7,tgt2,1077.125,567.0,1802.875,677.0
8,src,978.140625,40.0,1901.84375,150.0
8,tgt1,912.171875,300.0,1967.8125,410.0
8,tgt2,697.75,567.0,2182.25,677.0
9,src,70.953125,40.0,2809.03125,150.0
9,tgt1,186.421875,300.0,2693.5625,480.0
9,tgt2,169.9375,637.0,2710.0625,817.0
10,src,70.953125,40.0,2809.046875,220.0
10,tgt1,37.953125,370.0,2842.046875,550.0
10,tgt2,54.453125,707.0,2825.546875,887.0
