num,type,x1,y1,x2,y2
1,src,1077.125,40.0,1802.875,150.0
1,tgt1,1044.125,300.0,1835.875,410.0
1,tgt2,961.65625,567.0,1918.34375,677.0
2,src,21.46875,40.0,2858.515625,220.0
2,tgt1,153.421875,370.0,2726.59375,620.0
2,tgt2,120.4375,777.0,2759.5625,1027.0
3,src,70.9375,40.0,2809.046875,290.0
3,tgt1,37.953125,440.0,2842.03125,690.0
3,tgt2,87.4375,847.0,2792.546875,1097.0
4,src,153.421875,40.0,2726.578125,220.0
4,tgt1,21.46875,370.0,2858.53125,550.0
4,tgt2,21.46875,707.0,2858.515625,887.0
5,src,978.15625,40.0,1901.84375,150.0
5,tgt1,961.65625,300.0,1918.328125,410.0
5,tgt2,796.71875,567.0,2083.28125,677.0
6,src,54.4375,40.0,2825.546875,290.0
6,tgt1,21.46875,440.0,2858.515625,690.0
6,tgt2,21.46875,847.0,2842.03125,1097.0
7,src,483.296875,40.0,2396.6875,150.0
7,tgt1,367.859375,300.0,2512.140625,410.0
7,tgt2,219.40625,567.0,2660.578125,677.0
8,src,285.390625,40.0,2594.609375,150.0
8,tgt1,186.421875,300.0,2693.578125,480.0
8,tgt2,202.90625,637.0,2677.078125,817.0
9,src,70.953125,40.0,2809.03125,220.0
9,tgt1,21.46875,370.0,2858.53125,620.0
9,tgt2,21.46875,777.0,2858.515625,1027.0
10,src,235.890625,40.0,2644.09375,150.0
10,tgt1,351.375,300.0,2528.625,410.0
10,tgt2,219.40625,567.0,2660.578125,677.0
