1687605760.6830595 Coordinates x=50 px, y=844 px
1687605760.7133932 Coordinates x=51 px, y=840 px
1687605760.732963 Coordinates x=50 px, y=836 px
1687605760.747961 Coordinates x=50 px, y=836 px
1687605760.7670338 Coordinates x=50 px, y=836 px
1687605760.7828894 Coordinates x=50 px, y=836 px
1687605760.7985613 Coordinates x=49 px, y=835 px
1687605760.8141296 Coordinates x=49 px, y=835 px
1687605760.8297665 Coordinates x=49 px, y=835 px
1687605760.845372 Coordinates x=49 px, y=835 px
1687605760.8694062 Coordinates x=62 px, y=830 px
1687605760.8850515 Coordinates x=531 px, y=584 px
1687605760.900662 Coordinates x=531 px, y=584 px
1687605760.9163225 Coordinates x=531 px, y=584 px
1687605760.9315536 Coordinates x=672 px, y=497 px
1687605760.9469876 Coordinates x=770 px, y=407 px
1687605760.9628263 Coordinates x=770 px, y=407 px
1687605760.9778576 Coordinates x=800 px, y=380 px
1687605760.9938142 Coordinates x=800 px, y=380 px
1687605761.0097563 Coordinates x=800 px, y=380 px
1687605761.0246665 Coordinates x=825 px, y=364 px
1687605761.0407016 Coordinates x=839 px, y=352 px
1687605761.0562499 Coordinates x=839 px, y=352 px
1687605761.0720792 Coordinates x=839 px, y=352 px
1687605761.087295 Coordinates x=839 px, y=352 px
1687605761.1033146 Coordinates x=841 px, y=350 px
1687605761.1190016 Coordinates x=840 px, y=350 px
1687605761.1345778 Coordinates x=840 px, y=350 px
1687605761.1500945 Coordinates x=840 px, y=350 px
1687605761.1648092 Coordinates x=787 px, y=347 px
1687605761.1802433 Coordinates x=637 px, y=336 px
1687605761.1957417 Coordinates x=637 px, y=336 px
1687605761.2117708 Coordinates x=637 px, y=336 px
1687605761.2275457 Coordinates x=637 px, y=336 px
1687605761.2426949 Coordinates x=551 px, y=329 px
1687605761.2580926 Coordinates x=506 px, y=334 px
1687605761.2742982 Coordinates x=506 px, y=334 px
1687605761.289292 Coordinates x=506 px, y=334 px
1687605761.30521 Coordinates x=424 px, y=343 px
1687605761.3212347 Coordinates x=375 px, y=340 px
1687605761.3366187 Coordinates x=375 px, y=340 px
1687605761.352718 Coordinates x=375 px, y=340 px
1687605761.3677497 Coordinates x=342 px, y=336 px
1687605761.383581 Coordinates x=311 px, y=332 px
1687605761.399047 Coordinates x=311 px, y=332 px
1687605761.4149277 Coordinates x=290 px, y=331 px
1687605761.4306967 Coordinates x=290 px, y=331 px
1687605761.447142 Coordinates x=290 px, y=331 px
1687605761.4626815 Coordinates x=290 px, y=331 px
1687605761.4783823 Coordinates x=264 px, y=321 px
1687605761.493404 Coordinates x=244 px, y=310 px
1687605761.5093982 Coordinates x=244 px, y=310 px
1687605761.5254104 Coordinates x=244 px, y=310 px
1687605761.5407643 Coordinates x=227 px, y=303 px
1687605761.5561252 Coordinates x=220 px, y=303 px
1687605761.5828848 Coordinates x=220 px, y=303 px
1687605761.6004305 Coordinates x=220 px, y=303 px
1687605761.6156507 Coordinates x=216 px, y=303 px
1687605761.6310928 Coordinates x=216 px, y=303 px
1687605761.6475372 Coordinates x=215 px, y=302 px
1687605761.6629946 Coordinates x=215 px, y=302 px
1687605761.6789963 Coordinates x=215 px, y=302 px
1687605761.6950247 Coordinates x=228 px, y=303 px
1687605761.711123 Coordinates x=276 px, y=303 px
