fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
129,135,295,55,56,140,1
43,44,95,36,38,82,1
54,59,128,61,62,147,0
103,104,226,44,47,100,0
7,7,16,25,26,54,1
47,50,110,28,28,66,0
71,75,172,20,20,43,0
36,38,83,29,29,62,1
32,33,82,43,44,95,1
12,13,27,1,1,2,0
36,38,83,30,31,69,0
51,55,53,122,136,246,1
168,177,86,152,155,50,0
133,138,227,43,46,115,0
203,215,73,253,271,276,0
23,23,50,23,23,52,1
73,77,169,34,35,79,0
89,90,81,88,91,41,1
140,146,217,109,118,88,1
224,232,57,303,315,53,0
42,42,96,77,79,181,1
40,41,56,32,33,65,1
28,30,66,29,29,67,0
70,72,104,45,46,135,1
347,357,42,138,143,97,0
246,251,109,303,311,60,1
87,91,74,30,30,39,1
93,99,119,38,40,19,1
303,312,159,184,190,76,1
155,163,10,82,87,14,1
3,3,11,34,35,94,0
645,685,174,421,487,109,1
261,276,33,168,176,305,0
93,94,191,50,52,99,0
20,23,17,32,35,63,1
302,308,75,241,247,89,0
101,107,117,58,60,53,1
87,92,110,44,48,45,0
426,447,204,664,688,237,1
42,43,19,54,55,54,1
105,113,81,120,129,13,1
286,298,63,252,256,420,1
108,110,35,59,62,96,0
185,194,389,123,125,267,0
137,144,42,247,254,11,1
149,153,21,113,115,53,0
302,310,33,259,267,109,0
111,112,251,135,141,219,0
199,203,387,281,289,161,1
168,179,3,56,57,64,0
212,255,254,43,49,32,0
131,132,68,141,158,137,0
147,155,117,245,258,60,1
132,136,229,206,214,93,0
362,385,22,334,344,77,0
192,202,41,177,188,116,0
33,38,33,49,52,77,1
464,486,425,342,353,73,1
89,95,81,11,12,32,1
48,52,32,109,113,53,1
58,62,133,36,38,68,0
187,226,89,155,169,86,0
85,90,162,12,12,0,1
398,481,763,352,357,359,0
122,129,6,110,116,46,0
87,90,36,105,108,78,0
82,83,16,138,141,7,1
141,154,316,104,108,179,1
183,194,158,138,143,136,0
353,370,66,284,300,184,0
115,120,60,91,94,70,0
185,190,96,168,179,113,1
134,145,57,127,130,110,0
46,54,176,0,0,135,1
194,200,29,68,70,134,1
522,546,191,189,197,62,0
218,228,134,119,123,126,1
157,168,266,131,140,127,1
171,178,153,16,17,80,0
289,301,70,167,170,0,1
824,856,389,566,595,260,0
135,141,51,166,173,83,0
186,195,58,293,310,123,1
238,248,456,88,91,152,1
113,114,32,86,88,37,0
248,255,23,220,229,70,1
262,273,11,251,258,41,1
375,422,467,403,422,268,1
76,77,139,100,106,55,1
183,189,0,239,245,34,0
