fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
87,92,207,82,84,181,1
364,372,854,393,401,909,0
70,70,155,46,49,109,0
196,203,435,261,263,569,1
18,18,41,97,98,216,1
22,22,48,20,20,42,0
88,91,201,45,47,105,0
148,155,329,97,100,227,1
277,287,668,360,393,873,1
67,69,157,18,19,39,1
30,34,75,25,30,62,0
187,192,321,185,199,434,0
158,160,70,120,125,94,0
93,97,148,76,81,11,1
169,173,121,133,136,196,1
98,107,243,21,22,51,1
224,226,503,174,183,413,0
136,139,248,141,143,5,0
112,124,148,70,79,231,1
276,282,13,87,90,10,0
167,169,418,226,231,504,0
293,319,467,254,261,531,1
95,96,225,74,77,172,0
376,389,619,214,220,226,1
861,898,144,407,417,65,1
392,412,58,344,358,99,1
113,122,13,132,136,55,0
37,37,364,107,118,0,0
480,493,486,441,452,236,1
397,410,127,168,174,39,0
195,199,88,188,190,115,1
241,248,48,147,156,197,1
367,381,71,299,305,252,0
485,498,994,183,187,404,1
306,319,2,298,310,159,0
228,239,115,10,10,11,1
199,204,24,174,178,134,0
333,349,782,272,281,446,1
1025,1052,473,616,627,389,0
281,282,44,84,85,2,0
413,430,652,198,202,251,0
307,326,227,167,173,246,0
883,909,91,789,823,637,0
439,455,600,483,488,444,0
573,600,43,499,517,179,1
372,383,82,396,410,130,1
137,140,140,153,161,101,0
645,666,1156,457,474,348,1
228,238,387,0,0,305,1
202,210,218,179,188,66,1
197,202,432,134,145,319,0
782,812,84,322,345,857,1
1000,1028,71,699,730,529,1
525,533,366,502,512,477,0
526,531,17,377,391,201,0
479,498,130,545,555,420,1
1155,1202,26,740,764,313,1
183,187,432,129,132,197,1
538,558,866,357,371,526,1
135,141,43,59,61,11,1
96,99,215,57,60,138,1
632,683,610,277,293,333,0
313,324,126,214,220,172,1
385,392,698,211,223,584,0
238,254,80,62,64,85,0
105,112,24,151,153,51,0
581,611,226,476,498,108,1
403,441,1014,344,367,721,1
321,333,115,83,88,273,0
141,146,0,36,37,36,0
267,272,175,221,229,157,1
293,307,76,199,204,225,0
235,246,21,59,65,104,0
209,218,531,0,0,270,1
411,435,10,314,335,186,1
601,631,159,540,563,376,1
208,219,35,152,158,17,1
528,583,677,603,614,176,1
162,167,61,98,100,178,0
238,250,17,214,230,39,1
681,733,582,393,418,321,0
245,250,107,265,275,334,0
278,287,136,184,194,170,1
401,412,904,339,358,741,0
144,146,32,282,297,15,1
481,506,229,409,433,101,1
580,627,20,498,510,242,0
950,979,673,713,726,556,1
327,338,310,242,249,148,1
627,649,37,695,713,88,1
