fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
31,32,68,132,137,306,1
89,91,196,1,1,2,0
11,11,23,62,63,133,0
304,314,687,108,111,240,0
143,146,390,8,8,22,0
29,29,64,194,199,563,0
140,151,453,18,18,42,1
121,128,280,77,80,229,1
159,172,389,1,2,4,1
75,78,174,5,6,15,0
49,54,116,25,27,57,0
59,66,121,85,89,193,0
215,220,34,188,194,257,0
53,53,311,67,70,57,0
129,135,87,109,110,100,0
131,136,315,0,0,0,1
50,53,138,0,0,0,0
44,53,124,43,44,0,1
107,111,105,123,125,181,1
146,152,40,114,121,72,0
147,153,346,215,221,604,1
198,208,400,99,102,212,1
63,65,165,11,11,24,1
70,73,115,24,28,114,1
471,526,54,343,376,77,0
198,210,130,91,94,69,1
75,78,87,137,143,175,1
nan,nan,nan,nan,nan,nan,nan
651,769,968,290,356,745,0
162,228,93,115,157,43,1
1,1,2,55,70,161,0
482,499,352,180,185,632,0
359,370,131,189,194,570,0
184,193,422,92,96,202,0
34,35,61,0,0,0,1
354,381,0,311,320,98,1
115,117,201,82,83,18,1
268,276,612,79,83,55,0
192,195,74,169,184,76,1
158,162,137,30,30,30,1
865,912,555,246,266,596,0
282,293,309,296,299,419,0
215,220,0,388,399,482,0
317,326,733,120,128,295,0
382,393,0,129,132,176,1
240,246,4,118,121,193,1
224,234,30,117,119,172,0
478,488,1110,232,241,398,0
853,883,111,388,405,772,1
348,383,153,221,226,27,0
257,263,283,138,146,47,1
338,355,312,221,236,226,0
339,351,62,346,363,424,1
535,559,711,380,402,475,0
946,1002,52,590,607,552,0
154,158,96,109,113,169,0
62,73,143,28,31,47,1
488,592,748,377,460,486,1
95,102,93,14,14,133,1
60,85,168,123,166,62,1
98,104,221,138,144,367,1
483,505,104,114,115,364,1
471,483,100,474,491,434,0
528,606,551,375,392,718,0
513,548,6,552,573,222,1
265,313,65,138,143,151,1
159,234,94,206,304,70,1
222,231,516,167,178,377,1
297,371,475,52,53,243,1
42,62,55,21,34,66,1
171,185,339,98,104,18,1
299,305,271,276,279,193,1
122,127,110,265,268,120,1
214,236,633,0,0,398,1
333,339,57,186,188,127,1
624,639,335,136,139,131,0
185,187,23,473,494,198,1
462,477,833,334,342,468,1
183,192,80,136,138,263,1
971,980,30,270,275,215,1
583,607,562,397,415,379,0
356,366,2,356,374,171,0
284,296,177,169,175,212,1
170,219,456,197,217,534,1
159,168,114,88,91,82,0
659,683,48,600,630,192,0
666,689,456,456,469,228,1
613,623,883,350,367,314,1
195,210,521,176,185,325,1
375,390,4,150,156,7,1
