fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
142,151,346,111,116,285,1
254,276,616,132,137,312,1
46,48,115,28,37,78,0
171,182,404,142,158,352,0
19,21,46,62,66,160,0
24,40,92,10,26,70,0
126,135,305,104,111,267,1
63,92,200,27,35,83,1
186,204,454,212,224,505,1
46,46,110,6,7,22,0
32,34,74,4,5,12,0
121,127,229,140,151,281,0
197,205,102,197,208,77,1
36,37,113,51,55,42,1
76,82,66,111,120,143,0
56,65,137,44,50,119,0
87,94,208,43,46,99,0
103,130,317,120,130,167,0
190,196,172,173,179,214,1
319,336,18,228,236,34,0
27,29,66,37,42,95,1
200,209,402,212,228,368,1
45,46,99,30,33,69,0
312,329,492,178,183,266,1
169,179,84,268,295,19,0
508,534,693,445,519,230,1
118,120,59,178,184,206,1
90,98,295,49,51,35,1
483,536,374,279,301,216,0
234,245,40,201,225,26,0
89,93,204,107,112,241,0
343,422,25,150,197,158,1
716,776,84,711,745,686,0
194,205,453,116,119,248,0
87,91,126,103,104,209,1
468,497,407,396,410,352,0
119,123,60,146,152,57,1
298,306,583,175,183,65,0
273,318,209,217,221,125,0
48,55,16,209,242,101,1
91,92,108,102,108,161,0
106,116,110,105,113,98,0
218,226,122,111,115,166,0
42,47,114,92,101,220,0
265,280,97,142,144,193,1
154,158,46,105,114,57,1
283,298,71,290,297,40,1
295,312,718,194,203,374,0
408,426,532,338,362,128,1
170,206,45,115,139,12,0
112,116,246,81,90,208,1
331,347,240,304,342,451,0
685,733,315,616,643,753,1
427,500,372,291,327,609,1
614,772,64,443,549,653,0
423,448,342,287,297,260,1
385,406,59,381,415,178,1
nan,nan,nan,nan,nan,nan,nan
227,236,319,257,264,249,1
170,177,117,103,105,19,1
90,102,220,17,17,39,0
225,269,255,146,187,114,0
92,105,136,76,81,82,1
296,332,635,188,207,164,1
404,428,82,268,284,84,0
66,75,42,59,61,6,1
150,195,113,175,204,5,0
206,238,578,169,202,424,1
465,521,230,215,242,349,0
363,416,95,168,188,58,0
140,148,120,96,99,39,1
431,447,127,331,344,140,1
171,172,337,377,403,57,1
63,66,157,0,0,253,1
137,184,57,124,130,105,1
511,539,332,477,522,48,0
182,193,49,184,193,16,1
469,532,884,293,370,89,1
199,221,218,122,128,93,0
259,296,2,207,223,36,1
557,658,259,503,585,97,1
224,234,117,191,199,179,0
350,354,427,328,337,283,1
437,453,956,295,309,683,1
542,611,58,334,351,185,0
636,675,135,828,878,271,1
916,982,203,619,664,260,0
634,686,1099,490,529,382,1
145,151,150,210,222,212,0
908,992,197,984,1056,84,1
