fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
69,71,171,82,83,187,0
73,75,140,103,106,211,0
223,227,75,153,165,10,1
9,9,43,2,2,54,1
64,69,53,30,31,4,0
8,9,5,9,9,46,1
75,76,167,44,44,111,1
124,130,379,85,88,0,1
160,162,235,127,136,265,0
107,110,54,56,62,19,0
27,29,65,23,28,60,1
40,42,52,42,43,96,1
25,26,58,21,22,53,1
116,150,186,13,23,80,1
231,240,21,203,214,71,0
192,203,169,118,124,91,0
47,51,72,55,58,46,0
18,22,128,24,28,0,1
167,173,401,138,145,424,0
119,123,51,104,106,33,1
11,11,52,7,7,16,0
132,138,202,150,160,81,1
202,220,39,179,184,210,1
65,67,152,51,53,117,0
15,15,15,24,24,56,1
161,167,9,124,125,40,1
41,43,21,36,37,43,1
110,111,179,73,73,63,0
236,244,428,93,100,122,1
97,98,52,7,7,0,1
135,140,74,153,158,46,1
115,120,19,94,99,57,0
69,69,0,74,75,141,0
50,54,96,68,69,139,0
146,153,15,60,62,13,1
73,77,30,82,86,8,1
113,116,5,81,82,5,1
75,79,168,63,69,109,0
247,259,86,128,131,68,1
142,147,0,94,96,4,1
115,125,176,64,65,117,0
112,119,210,73,73,114,0
213,221,226,177,184,155,1
321,332,214,189,195,235,0
247,254,163,203,212,146,0
116,131,19,96,98,42,1
nan,nan,nan,nan,nan,nan,nan
262,273,404,121,130,101,0
178,184,149,15,15,82,1
55,56,15,63,64,17,0
155,165,335,86,87,166,0
329,335,128,164,174,190,1
475,496,82,210,219,293,0
425,442,646,146,160,303,1
463,476,118,179,184,327,0
329,336,111,178,180,138,1
380,404,181,213,235,173,1
213,219,444,514,537,795,1
170,175,218,74,75,78,1
69,74,4,53,59,23,1
92,93,209,45,47,103,0
218,225,40,215,228,103,0
108,108,34,51,52,58,1
128,132,147,132,139,160,1
99,100,0,74,76,59,0
50,51,0,31,33,46,1
139,145,63,179,185,27,1
60,61,118,48,50,107,1
158,166,41,90,96,139,0
238,253,12,172,179,5,1
84,90,30,58,62,61,1
150,152,41,148,151,106,1
154,160,139,105,109,145,1
65,75,311,0,0,225,1
152,153,10,132,137,82,1
205,236,71,106,113,68,0
131,134,139,71,73,11,1
127,136,180,110,115,99,1
114,116,115,44,45,113,0
181,184,25,138,141,21,1
112,122,69,139,149,24,1
203,210,170,208,215,185,0
139,143,67,85,91,105,1
nan,nan,nan,nan,nan,nan,nan
115,120,27,50,52,41,0
250,261,21,264,267,91,1
189,199,9,243,250,63,0
243,251,396,138,141,236,0
44,44,154,37,37,77,1
213,221,8,182,189,44,1
