fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
0,2,68,2,2,306,1
2,4,196,0,2,2,0
0,4,23,0,8,133,0
3,15,687,1,4,240,0
2,5,390,0,6,22,0
0,2,64,2,2,563,0
2,3,453,0,0,42,1
2,5,280,0,0,229,1
3,4,389,0,3,4,1
1,3,174,1,0,15,0
0,3,116,0,0,57,0
0,5,121,1,3,193,0
0,8,34,1,18,257,0
2,2,311,0,5,57,0
2,2,87,0,0,100,0
0,1,315,1,0,0,1
0,1,138,1,0,0,0
1,6,346,2,7,604,1
3,6,400,1,6,212,1
0,0,2,1,0,161,0
1,30,352,2,10,632,0
4,13,131,2,4,570,0
3,2,422,0,2,202,0
3,0,61,3,0,0,1
1,8,0,1,7,98,1
1,5,201,1,6,18,1
1,9,612,2,7,55,0
5,6,74,0,7,76,1
13,17,555,3,14,596,0
6,4,309,3,2,419,0
1,4,0,3,4,482,0
5,4,733,0,1,295,0
8,4,0,0,2,176,1
4,4,4,2,0,193,1
3,0,30,1,3,172,0
8,4,1110,4,3,398,0
7,7,111,3,12,772,1
5,2,153,1,0,27,0
1,6,283,2,8,47,1
5,2,312,2,10,226,0
7,4,62,5,10,424,1
6,16,711,2,7,475,0
11,16,52,9,32,552,0
1,2,96,1,4,169,0
1,0,143,0,2,47,1
7,14,748,6,11,486,1
1,2,93,1,4,133,1
0,6,221,1,4,367,1
6,6,104,3,8,364,1
3,18,100,4,10,434,0
7,24,551,4,12,718,0
7,15,6,5,12,222,1
5,10,65,1,4,151,1
0,12,94,3,10,70,1
1,7,516,2,4,377,1
3,10,475,0,6,243,1
1,0,55,2,3,66,1
0,4,339,2,3,18,1
2,11,271,2,14,193,1
0,6,110,3,5,120,1
3,0,633,0,0,398,1
3,13,57,1,15,127,1
3,14,335,1,4,131,0
3,6,23,3,9,198,1
3,13,833,3,8,468,1
2,1,80,3,2,263,1
3,19,30,1,8,215,1
4,31,562,4,15,379,0
5,6,2,1,3,171,0
1,13,177,2,8,212,1
0,17,456,3,8,534,1
1,7,114,2,4,82,0
6,42,48,4,19,192,0
8,23,456,3,14,228,1
5,24,883,7,14,314,1
1,13,521,3,8,325,1
3,20,4,2,12,7,1
