fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
1,9,346,1,9,285,1
3,7,616,1,4,312,1
0,6,115,0,2,78,0
3,6,404,1,0,352,0
1,0,46,2,2,160,0
1,7,92,1,3,70,0
1,13,305,1,7,267,1
1,3,200,0,0,83,1
3,0,454,2,0,505,1
1,0,110,0,0,22,0
0,0,74,0,0,12,0
0,14,229,1,13,281,0
2,15,102,3,6,77,1
1,4,113,1,4,42,1
1,4,66,0,9,143,0
0,2,137,1,0,119,0
1,8,208,0,2,99,0
0,14,317,2,6,167,0
0,10,172,0,15,214,1
2,16,18,1,20,34,0
0,1,66,1,2,95,1
3,4,402,2,11,368,1
2,0,99,0,0,69,0
2,10,492,1,8,266,1
0,6,84,2,7,19,0
4,20,693,7,16,230,1
2,2,59,2,0,206,1
3,0,295,0,2,35,1
8,7,374,2,11,216,0
1,14,40,2,4,26,0
1,6,204,1,0,241,0
4,11,25,1,2,158,1
11,28,84,9,26,686,0
4,2,453,1,3,248,0
0,2,126,2,3,209,1
6,19,407,4,4,352,0
1,6,60,2,7,57,1
1,13,583,1,11,65,0
4,5,209,2,6,125,0
0,8,16,3,5,101,1
1,14,108,0,12,161,0
1,8,110,0,2,98,0
3,10,122,2,2,166,0
1,3,114,2,0,220,0
5,2,97,1,13,193,1
4,10,46,0,3,57,1
3,18,71,4,7,40,1
4,20,718,2,10,374,0
2,25,532,8,21,128,1
2,10,45,1,0,12,0
0,8,246,1,9,208,1
3,2,240,7,3,451,0
1,0,220,0,0,39,0
2,27,255,1,8,114,0
2,5,136,0,6,82,1
1,19,635,3,12,164,1
3,24,82,2,18,84,0
0,11,42,0,9,6,1
3,8,113,0,10,5,0
5,12,578,3,6,424,1
3,25,230,1,19,349,0
5,13,95,3,9,58,0
1,5,120,1,8,39,1
2,25,127,3,10,140,1
1,5,337,4,10,57,1
0,0,157,0,0,253,1
2,4,57,0,2,105,1
1,41,332,4,25,48,0
2,2,49,2,4,16,1
4,27,884,4,20,89,1
4,16,218,0,4,93,0
0,13,2,2,8,36,1
12,24,259,4,12,97,1
3,14,117,2,4,179,0
2,18,427,3,11,283,1
4,29,956,3,22,683,1
8,26,58,2,8,185,0
7,27,135,6,26,271,1
10,35,203,14,22,260,0
7,42,1099,6,28,382,1
2,8,150,2,0,212,0
13,64,197,5,34,84,1
