fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
56,57,136,25,27,62,1
171,175,425,38,41,120,1
44,44,116,16,16,36,0
96,100,220,119,126,282,0
25,25,55,66,69,153,0
52,53,115,0,0,0,0
95,99,224,19,19,41,1
124,129,304,35,42,88,1
129,129,289,72,88,200,1
54,54,134,2,2,4,0
60,63,138,20,20,51,1
155,163,320,107,110,192,1
73,74,162,41,41,86,0
191,193,289,66,67,62,1
380,390,44,399,416,11,0
280,291,242,214,225,171,1
191,208,95,74,83,33,0
165,178,547,81,84,172,1
391,402,115,229,232,119,1
238,247,64,244,255,15,1
42,42,88,33,34,75,0
402,422,106,430,442,18,1
380,395,3,275,316,315,1
159,162,315,90,92,180,0
74,76,77,31,31,63,1
444,450,80,288,295,121,0
47,48,22,44,49,34,1
154,164,277,143,147,187,1
253,264,71,175,182,27,0
52,57,38,56,62,48,1
210,217,227,151,158,77,0
219,237,160,140,142,135,0
294,302,231,101,104,23,0
226,234,505,174,181,425,1
233,269,38,142,148,21,0
244,250,92,91,95,24,1
383,388,0,411,427,100,0
179,180,421,131,135,242,0
436,456,102,397,421,263,0
255,258,4,128,135,27,1
309,321,458,164,171,305,0
371,380,321,235,242,154,0
504,516,417,328,334,183,1
292,306,224,466,477,297,0
461,504,114,299,310,256,1
229,243,33,84,86,133,0
52,55,98,66,70,144,0
789,806,1072,316,328,385,0
404,405,403,24,29,206,1
163,165,176,207,218,111,1
132,138,310,120,121,297,0
482,521,100,302,308,494,1
1025,1061,80,854,891,905,0
166,171,675,275,284,253,1
257,270,19,220,244,91,1
286,296,42,228,237,118,1
595,638,56,451,463,218,1
241,249,553,285,300,617,0
458,479,660,329,336,394,1
161,164,112,69,70,17,1
107,109,240,68,71,161,0
247,253,156,187,193,243,1
67,70,23,78,84,189,1
533,557,859,376,379,483,1
193,195,44,181,197,139,0
295,314,218,201,209,181,0
340,355,104,467,497,159,1
349,357,802,210,217,390,1
278,288,285,223,228,294,0
311,317,66,150,155,5,0
71,74,40,119,121,80,1
301,310,71,246,249,307,0
308,323,326,192,204,62,0
198,203,577,0,0,533,1
225,231,27,104,141,129,1
588,599,321,297,302,133,1
179,189,33,351,363,36,1
494,550,456,678,718,247,0
234,242,147,101,110,65,0
557,576,211,357,367,35,1
413,429,305,313,330,134,1
308,320,429,227,237,246,0
215,222,174,136,137,357,1
440,446,916,318,324,710,1
153,158,0,143,144,104,0
434,449,149,471,481,248,1
784,817,143,645,674,195,1
900,934,1153,83,85,507,0
311,327,374,118,124,311,0
396,407,52,201,208,128,1
