fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
1,3,252,0,0,40,1
1,1,170,0,0,27,1
2,0,202,0,4,46,0
3,1,411,1,4,161,0
1,6,164,2,8,165,1
1,1,120,0,2,109,0
0,6,115,1,3,143,1
3,7,334,0,2,89,1
3,8,212,1,0,118,1
1,10,106,0,4,60,1
1,3,71,1,2,107,0
1,2,130,2,0,61,0
1,10,165,0,4,177,0
2,0,131,1,3,93,1
1,0,82,0,0,47,0
3,5,100,2,0,53,1
2,0,135,4,4,87,0
0,4,53,2,2,151,0
2,12,85,1,25,103,1
2,6,31,2,8,315,0
3,10,352,0,2,102,0
0,0,21,0,0,39,1
3,34,45,5,26,169,0
1,4,94,1,7,103,1
0,10,222,0,4,83,0
1,11,383,2,8,202,0
0,0,23,1,2,42,1
1,13,72,1,2,145,0
1,4,199,4,6,133,0
0,8,175,0,8,192,1
1,12,387,1,4,298,0
2,16,17,6,18,116,1
2,11,34,0,2,36,1
3,10,85,0,15,83,1
2,4,420,0,12,175,0
2,13,251,1,20,331,0
2,29,111,0,6,18,1
0,8,168,2,2,93,1
2,11,256,1,6,114,0
3,8,66,0,4,55,1
5,16,485,1,11,240,1
3,27,141,2,8,99,0
0,8,194,0,2,87,0
1,0,76,1,6,101,0
3,10,273,2,9,200,1
4,4,228,0,4,115,1
1,4,82,0,5,6,0
1,0,143,0,0,67,0
1,17,87,5,8,121,1
1,19,16,2,13,174,0
6,29,571,1,30,291,1
6,11,0,2,20,247,1
5,20,15,1,20,94,1
3,18,11,6,19,45,1
2,18,486,1,9,203,0
4,12,482,2,10,116,0
1,10,7,0,0,11,1
0,4,126,1,2,117,1
0,6,22,0,10,80,0
4,7,59,0,6,34,1
3,18,508,2,17,269,0
0,6,13,2,0,6,0
6,0,90,3,0,2,1
1,10,30,0,28,45,0
1,8,249,2,10,71,1
5,32,222,4,17,116,0
1,8,152,0,6,116,1
8,34,142,5,23,419,1
2,8,38,0,12,88,0
3,8,564,0,0,272,1
5,20,48,4,6,174,1
6,14,60,3,8,94,1
1,13,171,5,6,93,1
1,14,476,5,6,33,1
0,3,34,2,6,58,1
4,10,17,0,7,43,0
1,8,91,1,12,94,0
2,31,99,1,26,235,0
0,8,133,0,16,183,1
1,12,261,2,14,448,0
0,9,25,0,2,35,0
4,40,72,3,18,107,1
6,28,27,0,20,78,1
1,28,257,1,15,254,1
1,6,36,0,7,98,0
2,15,45,0,8,24,1
