fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
1,5,171,2,3,187,0
0,0,140,2,6,211,0
0,10,75,2,2,10,1
0,2,43,0,0,54,1
1,4,53,0,0,4,0
0,0,5,1,1,46,1
1,0,167,1,2,111,1
1,7,379,1,0,0,1
1,8,235,1,9,265,0
1,8,54,0,2,19,0
1,0,65,0,0,60,1
1,6,52,1,0,96,1
3,1,58,1,0,53,1
1,7,186,1,5,80,1
1,17,21,0,9,71,0
0,18,169,0,10,91,0
0,2,72,3,5,46,0
2,3,128,1,0,0,1
0,0,52,0,1,16,0
1,11,202,2,18,81,1
0,6,39,1,16,210,1
1,2,152,1,6,117,0
0,0,15,0,3,56,1
1,12,9,0,16,40,1
1,7,74,2,4,46,1
2,3,19,1,4,57,0
1,0,0,2,3,141,0
0,1,96,1,2,139,0
0,1,15,0,4,13,1
1,1,30,3,4,8,1
1,6,5,1,0,5,1
1,2,168,1,2,109,0
1,6,86,2,10,68,1
1,4,0,0,0,4,1
1,12,176,0,0,117,0
2,6,210,1,2,114,0
2,0,226,1,0,155,1
1,7,335,1,6,166,0
4,19,128,1,12,190,1
4,20,82,1,8,293,0
2,31,646,0,8,303,1
4,30,118,1,9,327,0
4,11,111,2,15,138,1
2,30,181,2,20,173,1
1,10,444,9,12,795,1
1,10,218,0,6,78,1
2,6,4,0,4,23,1
0,10,209,1,4,103,0
2,6,40,1,7,103,0
1,4,34,0,6,58,1
1,8,147,2,6,160,1
2,2,0,0,5,59,0
0,1,0,4,0,46,1
1,13,63,0,8,27,1
3,2,118,0,2,107,1
3,17,41,0,5,139,0
2,12,30,1,6,61,1
1,22,41,1,15,106,1
3,11,139,0,4,145,1
2,0,311,0,0,225,1
2,26,10,1,14,82,1
3,22,71,0,14,68,0
0,6,139,1,8,11,1
2,11,180,0,9,99,1
0,7,115,0,6,113,0
2,11,25,0,16,21,1
2,8,69,3,0,24,1
2,21,170,0,10,185,0
1,16,67,0,17,105,1
3,11,27,0,17,41,0
1,7,21,3,2,91,1
0,32,9,1,10,63,0
