fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
1,16,207,0,6,181,1
3,18,854,3,16,909,0
1,3,155,0,2,109,0
0,26,435,3,24,569,1
0,0,41,0,6,216,1
0,1,48,0,0,42,0
1,0,201,0,0,105,0
1,17,329,0,2,227,1
3,16,668,2,16,873,1
1,0,157,0,2,39,1
1,0,75,0,3,62,0
4,20,321,1,6,434,0
1,20,70,1,5,94,0
2,0,148,0,0,11,1
2,12,121,1,2,196,1
0,8,243,1,2,51,1
2,20,503,1,13,413,0
1,6,248,1,7,5,0
0,14,148,1,2,231,1
3,18,13,0,2,10,0
1,4,418,1,16,504,0
1,30,467,3,18,531,1
2,0,225,1,1,172,0
3,29,619,1,9,226,1
9,61,144,4,21,65,1
3,34,58,6,9,99,1
1,4,13,0,2,55,0
1,10,364,3,3,0,0
5,47,486,3,28,236,1
4,26,127,1,8,39,0
0,19,88,2,7,115,1
2,33,48,2,12,197,1
2,33,71,4,10,252,0
4,20,994,2,16,404,1
1,13,2,3,4,159,0
3,16,115,0,4,11,1
4,17,24,2,6,134,0
5,18,782,1,15,446,1
10,109,473,5,27,389,0
3,22,44,0,2,2,0
4,27,652,1,5,251,0
3,9,227,3,10,246,0
8,31,91,9,38,637,0
4,36,600,4,21,444,0
5,34,43,4,24,179,1
5,28,82,3,21,130,1
1,4,140,1,8,101,0
5,60,1156,5,10,348,1
2,23,387,0,0,305,1
3,0,218,3,2,66,1
0,14,432,2,12,319,0
9,41,84,2,16,857,1
11,66,71,8,64,529,1
7,47,366,5,41,477,0
5,42,17,5,20,201,0
5,27,130,6,22,420,1
5,62,26,6,39,313,1
4,11,432,2,11,197,1
3,37,866,5,16,526,1
0,2,43,1,3,11,1
0,0,215,1,2,138,1
6,44,610,3,14,333,0
4,26,126,3,10,172,1
5,26,698,2,7,584,0
2,24,80,0,3,85,0
1,12,24,1,9,51,0
2,41,226,4,18,108,1
5,52,1014,5,24,721,1
2,37,115,0,5,273,0
2,22,0,0,2,36,0
2,34,175,4,8,157,1
5,42,76,1,12,225,0
5,13,21,1,6,104,0
2,6,531,0,0,270,1
4,38,10,2,19,186,1
2,38,159,4,36,376,1
1,10,35,0,12,17,1
4,59,677,5,32,176,1
2,12,61,2,2,178,0
2,19,17,2,12,39,1
10,70,582,6,13,321,0
7,18,107,4,11,334,0
7,23,136,2,4,170,1
4,30,904,4,23,741,0
1,18,32,3,7,15,1
5,50,229,2,21,101,1
5,41,20,5,19,242,0
7,53,673,5,51,556,1
3,38,310,2,13,148,1
8,45,37,8,30,88,1
