fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
106,114,252,17,19,40,1
72,74,170,12,12,27,1
91,91,202,21,22,46,0
174,181,411,70,71,161,0
56,58,164,71,75,165,1
50,55,120,50,51,109,0
52,53,115,63,64,143,1
144,146,334,40,40,89,1
85,89,212,50,53,118,1
38,41,106,24,26,60,1
31,31,71,42,44,107,0
58,60,130,40,43,61,0
141,160,165,112,117,177,0
50,51,131,20,21,93,1
79,82,82,38,39,47,0
38,42,100,23,23,53,1
59,61,135,39,40,87,0
68,70,132,54,57,0,1
176,182,197,163,166,186,1
163,168,37,276,293,52,0
22,22,53,56,59,151,0
142,143,85,328,342,103,1
276,283,31,319,325,315,0
150,170,352,46,51,102,0
22,30,21,19,19,39,1
477,490,45,450,467,169,0
68,70,94,115,116,103,1
110,116,222,96,99,83,0
271,308,383,147,159,202,0
39,41,23,60,61,42,1
111,124,72,130,131,145,0
200,205,199,215,222,133,0
153,160,175,38,39,192,1
184,189,387,143,147,298,0
278,282,17,355,358,116,1
225,234,34,56,56,36,1
282,291,85,148,160,83,1
177,187,420,105,113,175,0
425,433,251,328,335,331,0
465,470,111,98,102,18,1
136,145,168,145,153,93,1
317,330,256,115,120,114,0
191,197,66,39,42,55,1
341,356,485,173,190,240,1
527,541,141,117,123,99,0
158,161,194,87,89,87,0
49,49,76,80,81,101,0
241,251,273,254,278,200,1
223,229,228,25,26,115,1
93,97,82,22,22,6,0
61,63,143,29,32,67,0
254,265,87,266,298,121,1
234,246,16,194,207,174,0
427,446,571,344,363,291,1
352,376,0,274,285,247,1
316,332,15,263,274,94,1
293,304,11,312,364,45,1
211,219,486,97,100,203,0
242,270,482,157,161,116,0
50,53,7,49,49,11,1
53,53,126,45,45,117,1
124,128,22,39,40,80,0
167,169,59,12,13,34,1
260,270,508,232,240,269,0
88,97,13,72,73,6,0
33,33,90,20,21,2,1
375,390,30,336,349,45,0
109,110,249,81,81,71,1
224,230,222,149,155,116,0
437,447,156,370,382,44,0
150,159,152,126,134,116,1
561,580,142,447,455,419,1
138,144,38,96,102,88,0
159,164,564,0,0,272,1
464,487,48,299,311,174,1
301,309,60,215,221,94,1
239,249,171,154,162,93,1
331,343,476,292,303,33,1
25,26,34,87,94,58,1
257,296,17,31,57,43,0
142,144,91,91,91,94,0
330,339,99,165,169,235,0
158,167,133,134,136,183,1
173,186,261,242,250,448,0
158,163,25,90,92,35,0
420,439,72,224,239,107,1
342,359,27,156,160,78,1
312,318,257,162,165,254,1
80,82,36,81,84,98,0
157,162,45,137,140,24,1
