fixations_tgt1,jumps_tgt1,time_tgt1,fixations_tgt2,jumps_tgt2,time_tgt2,choice
0,4,136,0,3,62,1
3,5,425,0,6,120,1
1,0,116,0,0,36,0
0,8,220,1,4,282,0
0,5,55,0,0,153,0
0,5,115,0,0,0,0
1,7,224,0,0,41,1
1,4,304,0,0,88,1
1,2,289,0,4,200,1
1,0,134,0,2,4,0
1,0,138,0,0,51,1
3,1,320,1,0,192,1
1,4,162,0,0,86,0
2,3,289,0,2,62,1
4,25,44,5,14,11,0
5,10,242,0,2,171,1
4,6,95,0,4,33,0
3,6,547,1,7,172,1
6,4,115,7,4,119,1
4,14,64,3,10,15,1
0,4,88,0,0,75,0
5,18,106,5,12,18,1
6,14,3,3,14,315,1
3,2,315,0,2,180,0
2,0,77,0,1,63,1
5,15,80,4,6,121,0
0,2,22,0,1,34,1
2,4,277,3,3,187,1
2,4,71,3,2,27,0
1,0,38,0,2,48,1
3,6,227,2,0,77,0
5,8,160,1,6,135,0
5,10,231,3,3,23,0
3,6,505,2,2,425,1
4,4,38,2,4,21,0
4,6,92,1,0,24,1
5,11,0,4,4,100,0
3,2,421,4,2,242,0
5,9,102,5,11,263,0
4,6,4,1,3,27,1
1,17,458,3,6,305,0
3,3,321,2,4,154,0
6,13,417,4,12,183,1
5,8,224,5,17,297,0
6,24,114,7,11,256,1
3,9,33,0,6,133,0
1,8,98,2,4,144,0
7,20,1072,5,5,385,0
3,2,403,0,2,206,1
2,4,176,2,5,111,1
2,0,310,3,7,297,0
8,14,100,4,9,494,1
8,35,80,9,8,905,0
2,23,675,3,16,253,1
4,5,19,1,17,91,1
4,7,42,5,2,118,1
8,8,56,6,8,218,1
2,22,553,4,8,617,0
4,20,660,4,27,394,1
2,6,112,0,6,17,1
1,6,240,2,1,161,0
4,7,156,0,6,243,1
1,6,23,0,5,189,1
9,6,859,6,3,483,1
1,6,44,2,5,139,0
1,7,218,1,9,181,0
5,25,104,6,17,159,1
5,14,802,4,6,390,1
2,14,285,0,14,294,0
2,14,66,1,1,5,0
0,3,40,2,2,80,1
4,10,71,3,3,307,0
2,0,326,5,5,62,0
3,6,577,0,0,533,1
1,4,27,2,2,129,1
7,29,321,5,14,133,1
2,6,33,3,5,36,1
4,36,456,9,24,247,0
5,2,147,0,6,65,0
5,30,211,1,15,35,1
3,32,305,3,18,134,1
5,4,429,1,10,246,0
1,11,174,1,2,357,1
3,26,916,3,8,710,1
1,11,0,2,4,104,0
3,29,149,6,23,248,1
5,28,143,3,22,195,1
8,36,1153,1,8,507,0
5,18,374,0,15,311,0
5,30,52,1,14,128,1
