1687695312.9545925 Coordinates x=1816 px, y=826 px
1687695312.9698768 Coordinates x=1816 px, y=826 px
1687695312.985107 Coordinates x=1821 px, y=818 px
1687695313.0001104 Coordinates x=1821 px, y=818 px
1687695313.02016 Coordinates x=1832 px, y=812 px
1687695313.0381603 Coordinates x=1832 px, y=812 px
1687695313.0535963 Coordinates x=1835 px, y=811 px
1687695313.0713348 Coordinates x=1835 px, y=811 px
1687695313.0867515 Coordinates x=1838 px, y=809 px
1687695313.104937 Coordinates x=1838 px, y=809 px
1687695313.121191 Coordinates x=1841 px, y=807 px
1687695313.1368375 Coordinates x=1841 px, y=807 px
1687695313.1527534 Coordinates x=1843 px, y=806 px
1687695313.1682875 Coordinates x=1843 px, y=806 px
1687695313.1839027 Coordinates x=1843 px, y=806 px
1687695313.1994908 Coordinates x=1843 px, y=806 px
1687695313.2153687 Coordinates x=1843 px, y=806 px
1687695313.2312124 Coordinates x=1843 px, y=806 px
1687695313.2468362 Coordinates x=1843 px, y=805 px
1687695313.2624578 Coordinates x=1843 px, y=805 px
1687695313.2780788 Coordinates x=1841 px, y=805 px
1687695313.2936423 Coordinates x=1841 px, y=805 px
1687695313.3095431 Coordinates x=1660 px, y=671 px
1687695313.3253925 Coordinates x=1660 px, y=671 px
1687695313.3409426 Coordinates x=1181 px, y=443 px
1687695313.3566158 Coordinates x=1181 px, y=443 px
1687695313.372086 Coordinates x=1111 px, y=365 px
1687695313.3877017 Coordinates x=1111 px, y=365 px
1687695313.403474 Coordinates x=1040 px, y=329 px
1687695313.4191756 Coordinates x=1040 px, y=329 px
1687695313.4350057 Coordinates x=1040 px, y=329 px
1687695313.4506497 Coordinates x=961 px, y=303 px
1687695313.4662733 Coordinates x=961 px, y=303 px
1687695313.4819026 Coordinates x=908 px, y=299 px
1687695313.4975252 Coordinates x=908 px, y=299 px
1687695313.5134544 Coordinates x=707 px, y=286 px
1687695313.5293045 Coordinates x=707 px, y=286 px
1687695313.5449226 Coordinates x=623 px, y=292 px
1687695313.5605388 Coordinates x=623 px, y=292 px
1687695313.5761898 Coordinates x=531 px, y=301 px
1687695313.5917842 Coordinates x=531 px, y=301 px
1687695313.6073825 Coordinates x=505 px, y=302 px
1687695313.6235797 Coordinates x=505 px, y=302 px
1687695313.6392922 Coordinates x=436 px, y=304 px
1687695313.6549633 Coordinates x=436 px, y=304 px
1687695313.671024 Coordinates x=354 px, y=299 px
1687695313.6863997 Coordinates x=354 px, y=299 px
1687695313.7043364 Coordinates x=354 px, y=299 px
1687695313.719988 Coordinates x=314 px, y=307 px
1687695313.7358074 Coordinates x=303 px, y=304 px
1687695313.7514327 Coordinates x=303 px, y=304 px
1687695313.7670596 Coordinates x=303 px, y=304 px
1687695313.7826974 Coordinates x=265 px, y=309 px
1687695313.7983332 Coordinates x=265 px, y=309 px
1687695313.8142605 Coordinates x=243 px, y=302 px
1687695313.829459 Coordinates x=243 px, y=302 px
1687695313.8448582 Coordinates x=223 px, y=293 px
1687695313.8603687 Coordinates x=223 px, y=293 px
1687695313.8759162 Coordinates x=218 px, y=288 px
1687695313.9040716 Coordinates x=218 px, y=288 px
1687695313.9189155 Coordinates x=222 px, y=286 px
1687695313.934034 Coordinates x=222 px, y=286 px
1687695313.9537437 Coordinates x=249 px, y=279 px
1687695313.969714 Coordinates x=300 px, y=280 px
1687695313.9853597 Coordinates x=300 px, y=280 px
1687695314.0004325 Coordinates x=300 px, y=280 px
1687695314.0157797 Coordinates x=338 px, y=280 px
1687695314.0317678 Coordinates x=338 px, y=280 px
1687695314.0462022 Coordinates x=368 px, y=276 px
1687695314.062172 Coordinates x=368 px, y=276 px
1687695314.0773857 Coordinates x=405 px, y=266 px
1687695314.093347 Coordinates x=405 px, y=266 px
1687695314.1097584 Coordinates x=429 px, y=258 px
1687695314.1252031 Coordinates x=429 px, y=258 px
1687695314.1405816 Coordinates x=449 px, y=253 px
1687695314.1544635 Coordinates x=449 px, y=253 px
1687695314.1700032 Coordinates x=449 px, y=253 px
1687695314.1851492 Coordinates x=462 px, y=251 px
1687695314.2012763 Coordinates x=462 px, y=251 px
1687695314.2205856 Coordinates x=478 px, y=250 px
1687695314.2365446 Coordinates x=478 px, y=250 px
1687695314.252068 Coordinates x=487 px, y=248 px
1687695314.2677276 Coordinates x=487 px, y=248 px
1687695314.2833076 Coordinates x=498 px, y=249 px
1687695314.2989538 Coordinates x=498 px, y=249 px
1687695314.3149412 Coordinates x=507 px, y=248 px
1687695314.330826 Coordinates x=507 px, y=248 px
1687695314.346436 Coordinates x=577 px, y=240 px
1687695314.362066 Coordinates x=577 px, y=240 px
1687695314.377693 Coordinates x=674 px, y=249 px
1687695314.39333 Coordinates x=674 px, y=249 px
1687695314.4089463 Coordinates x=742 px, y=251 px
1687695314.424648 Coordinates x=742 px, y=251 px
1687695314.4404945 Coordinates x=784 px, y=257 px
1687695314.455957 Coordinates x=784 px, y=257 px
1687695314.4716606 Coordinates x=797 px, y=260 px
1687695314.487254 Coordinates x=797 px, y=260 px
1687695314.502982 Coordinates x=797 px, y=260 px
1687695314.5189295 Coordinates x=803 px, y=258 px
1687695314.5348086 Coordinates x=803 px, y=258 px
1687695314.5504246 Coordinates x=890 px, y=264 px
1687695314.566065 Coordinates x=890 px, y=264 px
1687695314.5816765 Coordinates x=984 px, y=256 px
1687695314.5972 Coordinates x=984 px, y=256 px
1687695314.6132214 Coordinates x=1013 px, y=253 px
1687695314.6290863 Coordinates x=1013 px, y=253 px
1687695314.644922 Coordinates x=1032 px, y=252 px
1687695314.661055 Coordinates x=1032 px, y=252 px
1687695314.6767097 Coordinates x=1050 px, y=248 px
1687695314.6926956 Coordinates x=1050 px, y=248 px
1687695314.7081008 Coordinates x=1068 px, y=242 px
1687695314.7233427 Coordinates x=1068 px, y=242 px
1687695314.7384741 Coordinates x=1083 px, y=240 px
1687695314.7547104 Coordinates x=1083 px, y=240 px
1687695314.770015 Coordinates x=1102 px, y=238 px
1687695314.7859495 Coordinates x=1102 px, y=238 px
1687695314.8007374 Coordinates x=1161 px, y=243 px
1687695314.816213 Coordinates x=1161 px, y=243 px
1687695314.8319633 Coordinates x=1161 px, y=243 px
1687695314.847622 Coordinates x=1315 px, y=237 px
1687695314.8633463 Coordinates x=1315 px, y=237 px
1687695314.8789086 Coordinates x=1373 px, y=234 px
1687695314.894355 Coordinates x=1373 px, y=234 px
1687695314.9103737 Coordinates x=1404 px, y=229 px
1687695314.9259334 Coordinates x=1404 px, y=229 px
1687695314.9414062 Coordinates x=1438 px, y=228 px
1687695314.9572413 Coordinates x=1438 px, y=228 px
1687695314.9732482 Coordinates x=1465 px, y=235 px
1687695314.9882293 Coordinates x=1465 px, y=235 px
1687695315.003468 Coordinates x=1475 px, y=240 px
1687695315.0190284 Coordinates x=1475 px, y=240 px
1687695315.0345895 Coordinates x=1475 px, y=240 px
1687695315.0499363 Coordinates x=1486 px, y=249 px
1687695315.0661774 Coordinates x=1486 px, y=249 px
1687695315.081227 Coordinates x=1513 px, y=254 px
1687695315.097079 Coordinates x=1513 px, y=254 px
1687695315.1123927 Coordinates x=1565 px, y=244 px
1687695315.128362 Coordinates x=1565 px, y=244 px
1687695315.1531765 Coordinates x=1618 px, y=235 px
1687695315.1684842 Coordinates x=1618 px, y=235 px
1687695315.1845164 Coordinates x=1648 px, y=227 px
1687695315.2 Coordinates x=1648 px, y=227 px
1687695315.2157085 Coordinates x=1666 px, y=224 px
1687695315.2314641 Coordinates x=1666 px, y=224 px
1687695315.2469206 Coordinates x=1674 px, y=220 px
1687695315.262408 Coordinates x=1674 px, y=220 px
1687695315.2784255 Coordinates x=1678 px, y=219 px
1687695315.3037057 Coordinates x=1678 px, y=219 px
1687695315.319582 Coordinates x=1686 px, y=212 px
1687695315.3353896 Coordinates x=1686 px, y=212 px
1687695315.351033 Coordinates x=1694 px, y=207 px
1687695315.3666706 Coordinates x=1694 px, y=207 px
1687695315.382296 Coordinates x=1717 px, y=194 px
1687695315.3979194 Coordinates x=1717 px, y=194 px
1687695315.4131308 Coordinates x=1756 px, y=180 px
1687695315.4289763 Coordinates x=1756 px, y=180 px
1687695315.4445941 Coordinates x=1790 px, y=168 px
1687695315.460225 Coordinates x=1790 px, y=168 px
1687695315.4758306 Coordinates x=1809 px, y=161 px
1687695315.491452 Coordinates x=1809 px, y=161 px
1687695315.5070467 Coordinates x=1821 px, y=159 px
1687695315.5229177 Coordinates x=1821 px, y=159 px
1687695315.5386665 Coordinates x=1826 px, y=159 px
1687695315.5541902 Coordinates x=1826 px, y=159 px
1687695315.570028 Coordinates x=1826 px, y=159 px
1687695315.5854435 Coordinates x=1838 px, y=160 px
1687695315.6012585 Coordinates x=1914 px, y=164 px
1687695315.6171925 Coordinates x=1914 px, y=164 px
1687695315.633039 Coordinates x=1914 px, y=164 px
1687695315.6486661 Coordinates x=1999 px, y=165 px
1687695315.6642969 Coordinates x=1999 px, y=165 px
1687695315.6799073 Coordinates x=2065 px, y=168 px
1687695315.6954918 Coordinates x=2065 px, y=168 px
1687695315.7111113 Coordinates x=2096 px, y=170 px
1687695315.7269866 Coordinates x=2096 px, y=170 px
1687695315.7428317 Coordinates x=2114 px, y=171 px
1687695315.7584536 Coordinates x=2114 px, y=171 px
1687695315.7740734 Coordinates x=2132 px, y=170 px
1687695315.7896628 Coordinates x=2132 px, y=170 px
1687695315.8052335 Coordinates x=2158 px, y=168 px
1687695315.8209631 Coordinates x=2158 px, y=168 px
1687695315.8367965 Coordinates x=2165 px, y=173 px
1687695315.852438 Coordinates x=2165 px, y=173 px
1687695315.8680553 Coordinates x=2165 px, y=173 px
1687695315.8836675 Coordinates x=2165 px, y=174 px
1687695315.8992622 Coordinates x=2165 px, y=174 px
1687695315.914919 Coordinates x=2167 px, y=177 px
1687695315.9305525 Coordinates x=2167 px, y=177 px
1687695315.94609 Coordinates x=2176 px, y=182 px
1687695315.961794 Coordinates x=2176 px, y=182 px
1687695315.9774323 Coordinates x=2202 px, y=189 px
1687695315.9930527 Coordinates x=2202 px, y=189 px
1687695316.0084822 Coordinates x=2224 px, y=197 px
1687695316.024614 Coordinates x=2224 px, y=197 px
1687695316.0403643 Coordinates x=2237 px, y=197 px
1687695316.056024 Coordinates x=2237 px, y=197 px
1687695316.071609 Coordinates x=2253 px, y=200 px
1687695316.0872347 Coordinates x=2253 px, y=200 px
1687695316.1029565 Coordinates x=2259 px, y=200 px
1687695316.1188323 Coordinates x=2259 px, y=200 px
1687695316.1346757 Coordinates x=2266 px, y=199 px
1687695316.1503005 Coordinates x=2266 px, y=199 px
1687695316.165929 Coordinates x=2266 px, y=199 px
1687695316.1815555 Coordinates x=2281 px, y=197 px
1687695316.1971729 Coordinates x=2281 px, y=197 px
1687695316.2128067 Coordinates x=2301 px, y=200 px
1687695316.2290292 Coordinates x=2301 px, y=200 px
1687695316.2446818 Coordinates x=2314 px, y=202 px
1687695316.2603216 Coordinates x=2314 px, y=202 px
1687695316.276095 Coordinates x=2325 px, y=202 px
1687695316.291739 Coordinates x=2325 px, y=202 px
1687695316.3073533 Coordinates x=2349 px, y=200 px
1687695316.323216 Coordinates x=2349 px, y=200 px
1687695316.3389516 Coordinates x=2369 px, y=203 px
1687695316.3544898 Coordinates x=2369 px, y=203 px
1687695316.3703055 Coordinates x=2383 px, y=206 px
1687695316.3857462 Coordinates x=2383 px, y=206 px
1687695316.4015553 Coordinates x=2383 px, y=206 px
1687695316.4178336 Coordinates x=2257 px, y=202 px
1687695316.4336746 Coordinates x=2257 px, y=202 px
1687695316.4492967 Coordinates x=1523 px, y=241 px
1687695316.4649177 Coordinates x=1523 px, y=241 px
1687695316.4805472 Coordinates x=1424 px, y=248 px
1687695316.4961698 Coordinates x=1424 px, y=248 px
1687695316.5118093 Coordinates x=1295 px, y=242 px
1687695316.527701 Coordinates x=1295 px, y=242 px
1687695316.5435143 Coordinates x=1258 px, y=247 px
1687695316.5591304 Coordinates x=1258 px, y=247 px
1687695316.5748024 Coordinates x=1246 px, y=248 px
1687695316.5902948 Coordinates x=1246 px, y=248 px
1687695316.6058438 Coordinates x=1232 px, y=255 px
1687695316.6218898 Coordinates x=1232 px, y=255 px
1687695316.6377418 Coordinates x=1215 px, y=266 px
1687695316.653177 Coordinates x=1215 px, y=266 px
1687695316.6689541 Coordinates x=1180 px, y=278 px
1687695316.6845727 Coordinates x=1180 px, y=278 px
1687695316.7001975 Coordinates x=1180 px, y=278 px
