1686392073.6864915 Coordinates x=61 px, y=62 px
1686392073.7020428 Coordinates x=61 px, y=62 px
1686392073.7172475 Coordinates x=61 px, y=62 px
1686392073.7327945 Coordinates x=60 px, y=60 px
1686392073.7480822 Coordinates x=60 px, y=60 px
1686392073.7627351 Coordinates x=59 px, y=59 px
1686392073.7781992 Coordinates x=59 px, y=59 px
1686392073.7941432 Coordinates x=58 px, y=56 px
1686392073.8101683 Coordinates x=58 px, y=56 px
1686392073.8255618 Coordinates x=56 px, y=55 px
1686392073.8415732 Coordinates x=56 px, y=55 px
1686392073.8566809 Coordinates x=55 px, y=54 px
1686392073.872355 Coordinates x=55 px, y=54 px
1686392073.888623 Coordinates x=55 px, y=54 px
1686392073.904423 Coordinates x=61 px, y=54 px
1686392073.9203339 Coordinates x=61 px, y=54 px
1686392073.9364336 Coordinates x=78 px, y=52 px
1686392073.951366 Coordinates x=78 px, y=52 px
1686392073.9663515 Coordinates x=101 px, y=51 px
1686392073.9815753 Coordinates x=101 px, y=51 px
1686392073.997109 Coordinates x=112 px, y=50 px
1686392074.0131211 Coordinates x=112 px, y=50 px
1686392074.0291438 Coordinates x=120 px, y=47 px
1686392074.0451024 Coordinates x=120 px, y=47 px
1686392074.0611 Coordinates x=120 px, y=47 px
1686392074.0770996 Coordinates x=120 px, y=47 px
1686392074.0931647 Coordinates x=120 px, y=47 px
1686392074.1088295 Coordinates x=120 px, y=47 px
1686392074.1247299 Coordinates x=119 px, y=47 px
1686392074.1406865 Coordinates x=119 px, y=47 px
1686392074.1567113 Coordinates x=119 px, y=47 px
1686392074.1727257 Coordinates x=112 px, y=46 px
1686392074.188818 Coordinates x=112 px, y=46 px
1686392074.203514 Coordinates x=103 px, y=45 px
1686392074.2195222 Coordinates x=103 px, y=45 px
1686392074.235457 Coordinates x=103 px, y=43 px
1686392074.251518 Coordinates x=103 px, y=43 px
1686392074.2671645 Coordinates x=105 px, y=42 px
1686392074.2831886 Coordinates x=105 px, y=42 px
1686392074.2988098 Coordinates x=115 px, y=39 px
1686392074.3141518 Coordinates x=115 px, y=39 px
1686392074.3292775 Coordinates x=126 px, y=35 px
1686392074.3447332 Coordinates x=126 px, y=35 px
1686392074.3607063 Coordinates x=146 px, y=31 px
1686392074.3760715 Coordinates x=146 px, y=31 px
1686392074.3921409 Coordinates x=146 px, y=31 px
1686392074.4072876 Coordinates x=230 px, y=17 px
1686392074.4224145 Coordinates x=289 px, y=10 px
1686392074.4383914 Coordinates x=289 px, y=10 px
1686392074.4535584 Coordinates x=289 px, y=10 px
1686392074.469405 Coordinates x=332 px, y=9 px
1686392074.4856308 Coordinates x=332 px, y=9 px
1686392074.5015924 Coordinates x=360 px, y=13 px
