timestamp,x,y
1687690416.4560256,4,759
1687690416.47159,4,758
1687690416.4870195,4,758
1687690416.5028038,4,758
1687690416.5180664,4,758
1687690416.5336385,3,757
1687690416.550064,3,757
1687690416.5653248,3,757
1687690416.5805328,3,757
1687690416.5963311,3,757
1687690416.612349,3,753
1687690416.6275182,3,753
1687690416.643397,3,751
1687690416.658083,3,751
1687690416.6734385,3,751
1687690416.6889749,3,751
1687690416.7041552,3,752
1687690416.7194748,3,752
1687690416.7349668,3,752
1687690416.7506328,3,753
1687690416.7664046,3,753
1687690416.7816136,3,753
1687690416.7979136,219,660
1687690416.8130527,219,660
1687690416.8288102,219,660
1687690416.844935,456,490
1687690416.8601873,456,490
1687690416.8757477,515,415
1687690416.8906505,515,415
1687690416.9065626,542,387
1687690416.9217503,542,387
1687690416.937736,553,378
1687690416.9529643,553,378
1687690416.9682615,562,371
1687690416.9835823,562,371
1687690416.9996068,562,371
1687690417.0151522,582,352
1687690417.030844,582,352
1687690417.0461385,602,324
1687690417.0621362,602,324
1687690417.077418,623,301
1687690417.0929549,623,301
1687690417.1088166,631,296
1687690417.1242914,631,296
1687690417.1398213,638,295
1687690417.1552284,638,295
1687690417.1705716,642,295
1687690417.1858869,642,295
1687690417.201872,642,295
1687690417.2173493,644,294
1687690417.2332788,644,294
1687690417.2488148,643,293
1687690417.265008,643,293
1687690417.2804663,632,292
1687690417.2964709,632,292
1687690417.3123713,616,291
1687690417.3283136,616,291
1687690417.3434145,591,285
1687690417.359379,591,285
1687690417.3743415,563,281
1687690417.3900924,563,281
1687690417.4054966,518,273
1687690417.4213784,518,273
1687690417.437307,475,266
1687690417.4533083,475,266
1687690417.468541,451,262
1687690417.4846148,451,262
1687690417.5003533,423,258
1687690417.5162811,423,258
1687690417.5318441,404,252
1687690417.5476322,404,252
1687690417.5635936,377,247
1687690417.579527,377,247
1687690417.5950572,377,247
1687690417.610343,368,245
1687690417.625577,368,245
1687690417.6415744,358,244
1687690417.657614,358,244
1687690417.6728842,353,245
1687690417.6882179,353,245
1687690417.7039206,350,245
1687690417.7198122,350,245
1687690417.7346404,351,245
1687690417.750038,351,245
1687690417.7655196,477,248
1687690417.7809186,477,248
1687690417.797041,477,248
1687690417.812362,601,253
1687690417.8282192,601,253
1687690417.8438013,661,259
1687690417.8588765,661,259
1687690417.8743434,699,262
1687690417.8899603,699,262
1687690417.9058533,720,266
1687690417.9213529,720,266
1687690417.9366684,738,268
1687690417.9519167,738,268
1687690417.9674914,753,269
1687690417.9830122,753,269
1687690417.998756,845,274
1687690418.01388,845,274
1687690418.02895,845,274
1687690418.0442252,915,278
1687690418.0599005,915,278
1687690418.0750065,957,278
1687690418.09037,957,278
1687690418.1064916,982,277
1687690418.1222742,982,277
1687690418.1374657,1001,278
1687690418.1531706,1001,278
1687690418.1691625,1018,278
1687690418.1847477,1018,278
1687690418.2002583,1031,279
1687690418.216196,1031,279
1687690418.2322059,1037,278
1687690418.247341,1037,278
1687690418.262519,1060,277
1687690418.2784436,1060,277
1687690418.2938645,1060,277
1687690418.3097856,1100,275
1687690418.3248937,1100,275
1687690418.3406243,1147,271
1687690418.3556206,1147,271
1687690418.3716216,1147,271
1687690418.3866217,1187,266
1687690418.4026158,1187,266
1687690418.4186194,1212,265
1687690418.4343567,1226,265
1687690418.4504788,1226,265
1687690418.466474,1238,266
1687690418.4824677,1238,266
1687690418.4974706,1238,266
1687690418.5134664,1246,266
1687690418.5295987,1252,268
1687690418.5450122,1252,268
1687690418.560077,1252,268
1687690418.5753508,1278,272
1687690418.5911136,1278,272
1687690418.606307,1351,278
1687690418.6217542,1351,278
1687690418.6367836,1415,282
1687690418.6525805,1415,282
1687690418.6687915,1450,287
1687690418.6835377,1450,287
1687690418.698735,1450,287
1687690418.7150385,1469,291
1687690418.730483,1469,291
1687690418.7458124,1494,295
1687690418.761218,1494,295
1687690418.7766683,1494,295
1687690418.791975,1509,299
1687690418.8077033,1517,301
1687690418.8229387,1517,301
1687690418.839092,1523,302
1687690418.8546388,1523,302
1687690418.8707683,1528,304
1687690418.8860998,1528,304
1687690418.9013684,1549,306
1687690418.9166782,1549,306
1687690418.932713,1593,307
1687690418.9475975,1593,307
1687690418.9630046,1644,306
1687690418.978226,1644,306
1687690418.9937565,1669,305
1687690419.009109,1669,305
1687690419.0247433,1669,305
1687690419.0400035,1669,305
1687690419.055068,1694,303
1687690419.070795,1705,301
1687690419.0865088,1705,301
1687690419.102129,1711,299
1687690419.1172411,1711,299
1687690419.1326687,1715,297
1687690419.1486638,1715,297
1687690419.1639605,1719,296
1687690419.179195,1719,296
1687690419.1945684,1737,293
1687690419.2107441,1737,293
1687690419.226127,1737,293
1687690419.2420325,1784,289
1687690419.257944,1784,289
1687690419.2732697,1827,281
1687690419.2892835,1827,281
1687690419.3046963,1856,277
1687690419.320661,1856,277
1687690419.3361452,1876,275
1687690419.3512356,1876,275
1687690419.3669076,1876,275
1687690419.3822007,1891,274
1687690419.3976846,1891,274
1687690419.4130054,1903,274
1687690419.4288182,1903,274
1687690419.4453645,1910,274
1687690419.4604805,1910,274
1687690419.4758003,1915,275
1687690419.4910731,1915,275
1687690419.5074162,1919,275
1687690419.5226018,1919,275
1687690419.5383162,1956,273
1687690419.5540915,1956,273
1687690419.569327,2005,271
1687690419.585448,2005,271
1687690419.60137,2065,270
1687690419.6171896,2065,270
1687690419.6331575,2103,267
1687690419.6483734,2103,267
1687690419.6643398,2124,263
1687690419.6796453,2124,263
1687690419.6950629,2140,255
1687690419.710593,2140,255
1687690419.7263305,2140,255
1687690419.7424269,2157,251
1687690419.7573333,2157,251
1687690419.7727146,2175,247
1687690419.7888818,2175,247
1687690419.8043895,2206,244
1687690419.81975,2206,244
1687690419.8354228,2233,241
1687690419.8512707,2233,241
1687690419.8671606,2247,236
1687690419.8831148,2247,236
1687690419.8984628,2262,227
1687690419.9142776,2262,227
1687690419.9301836,2262,227
1687690419.9453545,2271,219
1687690419.9604943,2271,219
1687690419.9758484,1861,217
1687690419.9913244,1861,217
1687690420.0076952,1028,250
1687690420.0234773,1028,250
1687690420.0388064,877,264
1687690420.0548818,877,264
1687690420.0702024,800,271
1687690420.0859814,800,271
1687690420.101177,764,276
1687690420.116538,764,276
1687690420.132259,764,276
1687690420.1484656,739,280
1687690420.164096,739,280
1687690420.1793473,648,296
1687690420.1949148,648,296
1687690420.2107635,599,305
1687690420.2261715,599,305
1687690420.2418032,581,311
1687690420.2576046,581,311
1687690420.2727823,572,315
1687690420.28875,572,315
1687690420.3041945,563,322
1687690420.3202374,563,322
1687690420.3364053,526,332
1687690420.3523986,526,332
1687690420.3686078,483,346
1687690420.3837924,483,346
1687690420.399716,470,348
1687690420.4147046,470,348
1687690420.4301689,464,347
1687690420.445895,464,347
1687690420.4609919,464,347
1687690420.4761386,451,343
1687690420.4912872,451,343
1687690420.5072818,444,336
1687690420.5227664,444,336
1687690420.538906,457,326
1687690420.5549102,457,326
1687690420.5700579,547,308
1687690420.5862615,547,308
1687690420.6019695,639,298
1687690420.6180177,639,298
1687690420.6333075,686,295
1687690420.6489227,686,295
1687690420.6642232,717,298
1687690420.6803505,717,298
1687690420.6958487,764,319
1687690420.7112749,764,319
1687690420.7265682,764,319
1687690420.7420733,891,458
1687690420.7582607,891,458
1687690420.7745717,1071,542
1687690420.790004,1071,542
1687690420.8054223,1118,554
1687690420.821039,1118,554
1687690420.8368118,1161,556
1687690420.8520157,1161,556
1687690420.8680515,1190,558
1687690420.883232,1190,558
1687690420.8989637,1206,559
1687690420.9148953,1206,559
1687690420.9300365,1219,559
1687690420.9455354,1219,559
1687690420.9608603,1223,556
1687690420.9765885,1223,556
1687690420.9926014,1223,556
1687690421.0079696,1231,551
1687690421.023011,1231,551
1687690421.0387177,1299,528
1687690421.0541759,1299,528
1687690421.069237,1377,498
1687690421.0850277,1377,498
1687690421.1004233,1416,478
1687690421.115672,1416,478
1687690421.1314485,1435,465
1687690421.1475039,1435,465
1687690421.163313,1443,461
1687690421.1784308,1443,461
1687690421.194008,1443,461
1687690421.2101855,1450,458
1687690421.2256038,1450,458
1687690421.2408814,1457,455
1687690421.2564511,1457,455
1687690421.2717001,1462,450
1687690421.287056,1462,450
1687690421.3028872,1508,435
1687690421.3189778,1508,435
1687690421.3343346,1560,420
1687690421.3497393,1560,420
1687690421.365364,1601,410
1687690421.3813958,1601,410
1687690421.3968954,1622,403
1687690421.4121876,1622,403
1687690421.4281244,1622,403
1687690421.4435346,1638,394
1687690421.4590044,1638,394
1687690421.4741387,1653,386
1687690421.4898038,1653,386
1687690421.5045671,1667,382
1687690421.5200953,1667,382
1687690421.5360518,1679,375
1687690421.5519404,1679,375
1687690421.5674567,1708,372
1687690421.5833557,1708,372
1687690421.598482,1820,368
1687690421.613577,1820,368
1687690421.6290648,1820,368
1687690421.6452951,1896,368
1687690421.66031,1896,368
1687690421.6759255,1932,367
1687690421.6915362,1932,367
1687690421.7072756,1960,366
1687690421.7223954,1960,366
1687690421.7383714,1977,365
1687690421.7536135,1977,365
1687690421.7693248,1977,365
1687690421.7848356,2028,367
1687690421.8009346,2075,367
1687690421.8160481,2075,367
1687690421.8316498,2107,364
1687690421.8476682,2107,364
1687690421.863029,2107,364
1687690421.878794,2134,360
1687690421.8940036,2134,360
1687690421.9094536,2162,355
1687690421.9246936,2162,355
1687690421.9399285,2164,354
1687690421.95531,2164,354
1687690421.9710946,1814,366
1687690421.986218,1814,366
1687690422.0013785,1672,370
1687690422.0165527,1672,370
1687690422.031723,1600,380
1687690422.0479147,1600,380
1687690422.0631535,1549,393
1687690422.0783842,1549,393
1687690422.093903,1509,407
1687690422.109088,1509,407
1687690422.12451,1509,407
1687690422.1403904,1490,413
1687690422.1560218,1463,419
1687690422.1719275,1463,419
1687690422.1867352,1463,419
1687690422.2021377,1429,425
1687690422.2181582,1429,425
1687690422.2343132,1413,430
1687690422.2491531,1413,430
1687690422.264985,1408,433
1687690422.280996,1408,433
1687690422.2970526,1408,434
1687690422.3126185,1408,434
1687690422.328249,1420,438
1687690422.343968,1420,438
1687690422.3596063,1420,438
1687690422.3751595,1444,437
1687690422.3911593,1444,437
1687690422.4062722,1480,434
1687690422.4221058,1480,434
1687690422.4375908,1516,429
1687690422.4534726,1516,429
1687690422.4689014,1539,426
1687690422.4842618,1539,426
1687690422.499198,1555,423
1687690422.5151193,1555,423
1687690422.529882,1555,423
1687690422.545759,1176,449
1687690422.5615644,1176,449
1687690422.5771258,655,494
1687690422.5931323,655,494
1687690422.6088903,616,508
1687690422.6245852,616,508
1687690422.6400878,560,526
1687690422.6558528,560,526
1687690422.671333,510,536
1687690422.6869307,510,536
1687690422.7021277,494,546
1687690422.717778,494,546
1687690422.733849,470,556
1687690422.7491753,470,556
1687690422.7649431,438,561
1687690422.7809658,438,561
1687690422.795852,426,566
1687690422.8109913,426,566
1687690422.8268209,426,566
1687690422.841501,419,569
1687690422.8570154,419,569
1687690422.872141,408,572
1687690422.8878405,408,572
1687690422.9038885,400,574
1687690422.9186623,400,574
1687690422.9340575,386,581
1687690422.9495187,386,581
1687690422.9655404,425,592
1687690422.9806623,425,592
1687690422.9954147,425,592
1687690423.0114853,563,604
1687690423.0270371,563,604
1687690423.0426817,563,604
1687690423.0586536,657,604
1687690423.073657,657,604
1687690423.0889397,710,607
1687690423.1040876,710,607
1687690423.1196432,730,607
1687690423.1348677,745,602
1687690423.1508515,745,602
1687690423.166352,753,600
1687690423.1824882,753,600
1687690423.1981497,761,599
1687690423.214152,761,599
1687690423.2288268,870,594
1687690423.2442634,870,594
1687690423.260002,870,594
1687690423.2751718,970,602
1687690423.2908335,970,602
1687690423.3059428,1046,612
1687690423.3215132,1046,612
1687690423.3371892,1100,622
1687690423.3533957,1100,622
1687690423.368508,1126,627
1687690423.3836942,1126,627
1687690423.399662,1126,627
1687690423.4151027,1146,630
1687690423.4306035,1146,630
