1686486788.5845628 Coordinates x=187 px, y=1103 px
1686486788.600307 Coordinates x=186 px, y=1102 px
1686486788.6207592 Coordinates x=186 px, y=1102 px
1686486788.6365445 Coordinates x=185 px, y=1101 px
1686486788.6522593 Coordinates x=185 px, y=1101 px
1686486788.6678536 Coordinates x=184 px, y=1098 px
1686486788.6833947 Coordinates x=184 px, y=1098 px
1686486788.6990578 Coordinates x=182 px, y=1085 px
1686486788.7149334 Coordinates x=182 px, y=1085 px
1686486788.7307851 Coordinates x=302 px, y=784 px
1686486788.7464027 Coordinates x=302 px, y=784 px
1686486788.7620335 Coordinates x=386 px, y=663 px
1686486788.7776568 Coordinates x=386 px, y=663 px
1686486788.7932744 Coordinates x=440 px, y=588 px
1686486788.8090317 Coordinates x=440 px, y=588 px
1686486788.8244298 Coordinates x=468 px, y=546 px
1686486788.8400576 Coordinates x=468 px, y=546 px
1686486788.8553548 Coordinates x=489 px, y=532 px
1686486788.8714724 Coordinates x=489 px, y=532 px
1686486788.887329 Coordinates x=510 px, y=515 px
1686486788.9029474 Coordinates x=510 px, y=515 px
1686486788.9221706 Coordinates x=529 px, y=499 px
1686486788.93797 Coordinates x=529 px, y=499 px
1686486788.9529767 Coordinates x=542 px, y=481 px
1686486788.9688802 Coordinates x=542 px, y=481 px
1686486788.9843705 Coordinates x=542 px, y=481 px
1686486789.0000172 Coordinates x=550 px, y=464 px
1686486789.015523 Coordinates x=554 px, y=455 px
1686486789.0315802 Coordinates x=554 px, y=455 px
1686486789.0470424 Coordinates x=554 px, y=455 px
1686486789.0626814 Coordinates x=556 px, y=451 px
1686486789.0786495 Coordinates x=556 px, y=451 px
1686486789.0939984 Coordinates x=559 px, y=447 px
1686486789.1095655 Coordinates x=559 px, y=447 px
1686486789.1257393 Coordinates x=560 px, y=445 px
1686486789.1412992 Coordinates x=560 px, y=445 px
1686486789.1572196 Coordinates x=561 px, y=444 px
1686486789.1731026 Coordinates x=561 px, y=444 px
1686486789.1889882 Coordinates x=564 px, y=440 px
1686486789.20415 Coordinates x=564 px, y=440 px
1686486789.2198892 Coordinates x=566 px, y=437 px
1686486789.236047 Coordinates x=566 px, y=437 px
1686486789.2511194 Coordinates x=832 px, y=415 px
1686486789.267229 Coordinates x=832 px, y=415 px
1686486789.282455 Coordinates x=832 px, y=415 px
1686486789.2976122 Coordinates x=986 px, y=424 px
1686486789.3130858 Coordinates x=986 px, y=424 px
1686486789.3287356 Coordinates x=1045 px, y=430 px
1686486789.3440316 Coordinates x=1045 px, y=430 px
1686486789.3596542 Coordinates x=1106 px, y=430 px
1686486789.3753464 Coordinates x=1106 px, y=430 px
1686486789.389045 Coordinates x=1134 px, y=433 px
1686486789.4041147 Coordinates x=1134 px, y=433 px
1686486789.419936 Coordinates x=1154 px, y=435 px
1686486789.4354916 Coordinates x=1154 px, y=435 px
1686486789.4511616 Coordinates x=1173 px, y=434 px
1686486789.4670956 Coordinates x=1173 px, y=434 px
1686486789.4821365 Coordinates x=1186 px, y=434 px
1686486789.4972885 Coordinates x=1186 px, y=434 px
