1687013274.4683125 Coordinates x=763 px, y=630 px
1687013274.4893072 Coordinates x=760 px, y=623 px
1687013274.5044513 Coordinates x=760 px, y=623 px
1687013274.519708 Coordinates x=758 px, y=615 px
1687013274.5355577 Coordinates x=758 px, y=615 px
1687013274.551549 Coordinates x=757 px, y=602 px
1687013274.5670922 Coordinates x=757 px, y=602 px
1687013274.5822632 Coordinates x=757 px, y=602 px
1687013274.597636 Coordinates x=753 px, y=592 px
1687013274.6132042 Coordinates x=753 px, y=592 px
1687013274.6284347 Coordinates x=751 px, y=579 px
1687013274.6442356 Coordinates x=751 px, y=579 px
1687013274.6594322 Coordinates x=751 px, y=565 px
1687013274.6755252 Coordinates x=751 px, y=565 px
1687013274.6912105 Coordinates x=750 px, y=560 px
1687013274.7063582 Coordinates x=750 px, y=560 px
1687013274.721262 Coordinates x=747 px, y=558 px
1687013274.7364805 Coordinates x=747 px, y=558 px
1687013274.7523592 Coordinates x=741 px, y=558 px
1687013274.7682443 Coordinates x=741 px, y=558 px
1687013274.7833617 Coordinates x=735 px, y=556 px
1687013274.7993639 Coordinates x=735 px, y=556 px
1687013274.815382 Coordinates x=735 px, y=552 px
1687013274.8314242 Coordinates x=735 px, y=552 px
1687013274.8463655 Coordinates x=735 px, y=552 px
1687013274.8617892 Coordinates x=908 px, y=511 px
1687013274.877463 Coordinates x=908 px, y=511 px
1687013274.892718 Coordinates x=1029 px, y=480 px
1687013274.9088867 Coordinates x=1029 px, y=480 px
1687013274.9245737 Coordinates x=1126 px, y=454 px
1687013274.940233 Coordinates x=1126 px, y=454 px
1687013274.9557915 Coordinates x=1152 px, y=445 px
1687013274.9714541 Coordinates x=1152 px, y=445 px
1687013274.9872332 Coordinates x=1178 px, y=440 px
1687013275.0024517 Coordinates x=1178 px, y=440 px
1687013275.0179627 Coordinates x=1179 px, y=431 px
1687013275.0337563 Coordinates x=1179 px, y=431 px
1687013275.049709 Coordinates x=1155 px, y=399 px
1687013275.0646248 Coordinates x=1155 px, y=399 px
1687013275.0804675 Coordinates x=1120 px, y=356 px
1687013275.096557 Coordinates x=1120 px, y=356 px
1687013275.1116939 Coordinates x=1069 px, y=325 px
1687013275.1274152 Coordinates x=1069 px, y=325 px
1687013275.143274 Coordinates x=1069 px, y=325 px
1687013275.1590626 Coordinates x=1029 px, y=317 px
1687013275.1745741 Coordinates x=1029 px, y=317 px
1687013275.1903336 Coordinates x=983 px, y=317 px
1687013275.2058349 Coordinates x=983 px, y=317 px
1687013275.2215695 Coordinates x=960 px, y=317 px
1687013275.2374806 Coordinates x=960 px, y=317 px
1687013275.2528934 Coordinates x=936 px, y=318 px
1687013275.2690463 Coordinates x=936 px, y=318 px
1687013275.2843359 Coordinates x=922 px, y=318 px
1687013275.3002977 Coordinates x=922 px, y=318 px
1687013275.3155148 Coordinates x=904 px, y=304 px
1687013275.331185 Coordinates x=904 px, y=304 px
1687013275.3465252 Coordinates x=896 px, y=298 px
1687013275.361682 Coordinates x=896 px, y=298 px
1687013275.3772635 Coordinates x=896 px, y=298 px
1687013275.3935268 Coordinates x=894 px, y=293 px
1687013275.4095073 Coordinates x=894 px, y=293 px
1687013275.425619 Coordinates x=897 px, y=292 px
1687013275.4407673 Coordinates x=897 px, y=292 px
1687013275.4567378 Coordinates x=917 px, y=285 px
1687013275.4726238 Coordinates x=917 px, y=285 px
1687013275.488716 Coordinates x=967 px, y=272 px
1687013275.5038533 Coordinates x=967 px, y=272 px
1687013275.519613 Coordinates x=1009 px, y=266 px
1687013275.5347555 Coordinates x=1009 px, y=266 px
1687013275.5510151 Coordinates x=1038 px, y=259 px
1687013275.5662389 Coordinates x=1038 px, y=259 px
1687013275.5816886 Coordinates x=1080 px, y=250 px
1687013275.5974584 Coordinates x=1080 px, y=250 px
1687013275.6125906 Coordinates x=1080 px, y=250 px
1687013275.628583 Coordinates x=1181 px, y=238 px
1687013275.6443267 Coordinates x=1181 px, y=238 px
1687013275.659654 Coordinates x=1219 px, y=229 px
1687013275.67496 Coordinates x=1219 px, y=229 px
1687013275.6903667 Coordinates x=1235 px, y=229 px
1687013275.7055554 Coordinates x=1235 px, y=229 px
1687013275.7209392 Coordinates x=1241 px, y=231 px
