set,screen,num_of_jumps,intersections
1,1,23,10
1,2,41,6
1,3,11,2
1,4,49,6
1,5,15,2
1,6,3,0
1,7,11,2
1,8,27,4
1,9,53,0
1,10,11,1
2,1,6,0
2,2,31,6
2,3,21,3
2,4,8,0
2,5,17,4
2,6,14,8
2,7,30,0
2,8,18,1
2,9,29,10
2,10,26,3
3,1,28,8
3,2,42,24
3,3,9,0
3,4,29,7
3,5,78,12
3,6,55,12
3,7,14,0
3,8,12,4
3,9,82,15
3,10,33,4
5,1,33,12
5,2,37,4
5,3,36,4
5,4,47,4
5,5,24,0
5,6,23,12
5,7,19,4
5,8,41,0
5,9,128,12
5,10,30,3
6,1,37,2
6,2,21,2
6,3,70,14
6,4,52,4
6,5,48,19
6,6,52,6
6,7,21,8
6,8,81,38
6,9,30,11
6,10,12,4
7,1,22,8
7,2,55,8
7,3,107,8
7,4,69,8
7,5,57,2
7,6,50,16
7,7,95,21
7,8,26,7
7,9,51,4
7,10,16,8
8,1,9,1
8,2,56,0
8,3,39,8
8,4,37,2
8,5,28,0
8,6,19,2
8,7,72,6
8,8,71,10
8,9,40,2
8,10,25,6
9,1,50,16
9,2,43,0
9,3,24,8
9,4,32,2
9,5,44,10
9,6,60,6
9,7,28,4
9,8,81,15
9,9,15,0
9,10,29,12
10,1,74,9
10,2,26,0
10,3,29,13
10,4,67,0
10,5,30,6
10,6,65,12
10,7,69,4
10,8,101,15
10,9,42,8
10,10,69,6
