set,screen,num_of_jumps,intersections
1,1,7,0
1,2,4,0
1,3,5,0
1,4,11,0
1,5,10,7
1,6,4,2
1,7,3,0
1,8,10,4
1,9,9,0
1,10,7,2
2,1,2,0
2,2,8,0
2,3,7,0
2,4,9,8
2,5,5,4
2,6,3,0
2,7,4,0
2,8,7,0
2,9,8,2
2,10,13,4
3,1,7,8
3,2,8,4
3,3,9,6
3,4,13,13
3,5,22,7
3,6,13,0
3,7,8,0
3,8,9,6
3,9,9,0
3,10,16,2
4,1,11,2
4,2,37,4
4,3,31,0
4,4,11,6
4,5,2,2
4,6,31,0
4,7,14,4
4,8,11,0
4,9,3,0
4,10,8,0
6,1,38,12
6,2,17,0
6,3,29,10
6,4,40,4
6,5,19,0
6,6,24,4
6,7,8,0
6,8,36,10
6,9,10,0
6,10,5,5
7,1,4,0
7,2,10,2
7,3,22,12
7,4,34,2
7,5,19,2
7,6,16,4
7,7,17,2
7,8,16,2
7,9,16,0
7,10,4,0
8,1,10,4
8,2,12,2
8,3,16,2
8,4,20,0
8,5,10,0
8,6,13,2
8,7,17,0
8,8,4,0
8,9,26,2
9,1,16,6
9,2,19,4
9,3,12,0
9,4,16,4
9,5,24,4
9,6,27,0
9,7,19,6
9,8,18,2
9,9,19,0
9,10,29,0
10,1,27,0
10,2,14,2
10,3,15,2
10,4,27,0
10,5,15,0
10,6,30,0
10,7,32,0
10,8,27,2
10,9,15,0
10,10,28,4
