set,screen,num_of_fixes,intersections
1,1,1,0
1,2,2,0
1,3,1,0
1,4,6,1
1,5,1,2
1,6,1,0
1,7,2,1
1,8,5,1
1,9,2,0
1,10,2,0
2,1,35,10
2,2,1,0
2,3,4,0
2,4,2,1
2,5,3,0
2,6,1,0
2,7,1,0
2,8,38,9
2,9,3,0
2,10,2,0
3,1,2,2
3,2,2,1
3,3,25,27
3,4,2,2
3,5,6,0
3,6,6,0
3,7,5,0
3,8,3,2
3,9,5,1
3,10,1,1
4,1,2,0
4,2,3,0
4,3,10,1
4,4,3,0
4,5,1,0
4,6,13,0
4,7,4,1
4,8,4,0
4,9,3,0
4,10,3,0
6,1,6,3
6,2,7,0
6,3,12,1
6,4,15,3
6,5,7,1
6,6,4,0
6,7,1,0
6,8,8,0
6,9,2,0
6,10,1,0
7,1,4,1
7,2,6,3
7,3,7,3
7,4,3,0
7,5,7,0
7,6,11,1
7,7,9,3
7,8,5,1
7,9,4,0
7,10,1,0
8,1,3,0
8,2,3,0
8,3,2,2
8,4,8,0
8,5,186,1
8,6,2,0
8,7,9,0
8,8,3,0
8,9,5,0
9,1,9,2
9,2,4,0
9,3,5,0
9,4,1,0
9,5,8,1
9,6,6,0
9,7,13,4
9,8,4,0
9,9,3,0
9,10,10,0
10,1,12,0
10,2,9,0
10,3,3,0
10,4,5,0
10,5,2,0
10,6,12,0
10,7,14,0
10,8,3,0
10,9,1,0
10,10,4,0
