num,Nataly,Andrey,Anya,Dima,Masha,Dasha,Max,Cyril
1,2,1,1,2,2,1,1,1
2,1,1,1,2,2,1,1,1
3,1,1,2,1,1,1,1,1
4,1,2,1,2,1,1,1,1
5,2,1,2,1,2,1,2,2
6,2,2,2,2,1,2,2,2
7,2,1,2,1,1,1,2,1
8,1,1,1,2,1,1,1,1
9,2,1,1,1,2,1,2,2
10,2,2,2,1,1,1,1,1
