num,Nataly,Andrey,Anya,Dima,Masha,Dasha,Max,Cyril
1,1,1,2,2,1,1,1,1
2,1,2,1,1,1,1,1,1
3,2,2,2,2,2,2,2,2
4,2,2,1,1,1,2,2,1
5,1,1,1,1,1,1,1,1
6,2,1,2,1,1,1,2,1
7,2,2,1,2,2,2,1,2
8,2,2,2,2,2,2,2,2
9,1,1,1,1,1,1,1,1
10,2,1,1,1,1,1,1,1
