set,screen,num_of_fixes,intersections
1,1,2,0
1,2,3,0
1,3,2,0
1,4,6,0
1,5,3,0
1,6,3,2
1,7,3,3
1,8,2,0
1,9,3,1
1,10,2,1
2,1,48,15
2,2,2,0
2,3,1,0
2,4,1,1
2,5,1,0
2,7,2,0
2,9,1,0
2,10,1,0
3,1,3,1
3,2,4,1
3,3,2,0
3,4,1,1
3,5,5,2
3,6,3,0
3,7,2,0
3,9,13,0
3,10,10,1
4,1,1,1
4,2,5,0
4,3,6,0
4,4,3,0
4,5,17,17
4,6,6,0
4,7,2,1
4,8,2,1
4,9,7,0
4,10,5,5
5,1,16,0
5,2,9,2
5,3,4,0
5,4,5,0
5,5,8,3
5,6,6,0
5,7,4,0
5,8,12,3
5,9,10,0
5,10,6,1
6,1,3,0
6,2,7,0
6,3,12,4
6,4,8,0
6,5,20,1
6,6,2,1
6,7,1,1
6,8,13,3
6,9,1,0
7,1,2,0
7,2,10,1
7,3,12,1
7,4,11,0
7,5,12,0
7,6,6,3
7,7,5,0
7,8,3,0
7,9,3,1
7,10,3,1
9,1,5,0
9,2,8,0
9,3,3,0
9,4,3,1
9,5,5,0
9,6,4,0
9,7,7,3
9,8,6,2
9,9,5,0
9,10,4,0
10,1,12,3
10,2,11,0
10,3,3,0
10,4,6,0
10,5,3,0
10,6,15,0
10,7,11,3
10,8,13,0
10,9,4,0
10,10,11,0
