set,screen,num_of_jumps,intersections
1,1,20,2
1,2,6,2
1,3,21,10
1,4,24,2
1,5,16,6
1,6,9,2
1,7,10,6
1,8,5,0
1,9,5,0
1,10,3,0
2,1,9,0
2,2,5,0
2,3,32,2
2,4,9,5
2,5,6,0
2,7,1,0
2,9,21,2
2,10,17,3
3,1,36,2
3,2,5,5
3,3,12,0
3,4,6,0
3,5,32,8
3,6,5,0
3,7,3,0
3,9,19,2
3,10,12,0
4,1,4,0
4,2,41,0
4,3,10,0
4,4,4,2
4,5,3,0
4,6,12,2
4,7,6,3
4,8,12,4
4,9,19,0
4,10,4,0
5,1,25,0
5,2,7,0
5,3,14,4
5,4,5,0
5,5,7,4
5,6,4,0
5,7,4,0
5,8,7,2
5,9,17,0
5,10,7,0
6,1,22,0
6,2,13,0
6,3,11,0
6,4,16,1
6,5,48,7
6,6,7,6
6,7,5,0
6,8,22,8
6,9,8,0
7,1,7,0
7,2,15,2
7,3,27,0
7,4,26,0
7,5,17,8
7,6,14,0
7,7,13,0
7,8,11,1
7,9,14,0
7,10,5,0
9,1,10,2
9,2,27,1
9,3,8,2
9,4,4,0
9,5,26,4
9,6,18,0
9,7,11,6
9,8,20,10
9,9,3,0
9,10,17,0
10,1,61,11
10,2,10,0
10,3,20,0
10,4,24,0
10,5,10,0
10,6,54,0
10,7,33,0
10,8,40,0
10,9,19,2
10,10,26,8
