1687605844.4616811 Coordinates x=13 px, y=1200 px
1687605844.4776847 Coordinates x=220 px, y=1177 px
1687605844.4982188 Coordinates x=966 px, y=1007 px
1687605844.5142148 Coordinates x=966 px, y=1007 px
1687605844.52931 Coordinates x=1179 px, y=938 px
1687605844.5446684 Coordinates x=1179 px, y=938 px
1687605844.5607073 Coordinates x=1179 px, y=938 px
1687605844.5817032 Coordinates x=1238 px, y=919 px
1687605844.597568 Coordinates x=1238 px, y=919 px
1687605844.613177 Coordinates x=1238 px, y=919 px
1687605844.6288123 Coordinates x=1238 px, y=919 px
1687605844.6442358 Coordinates x=1292 px, y=903 px
1687605844.6600575 Coordinates x=1315 px, y=900 px
1687605844.6759868 Coordinates x=1341 px, y=892 px
1687605844.691809 Coordinates x=1341 px, y=892 px
1687605844.7074134 Coordinates x=1341 px, y=892 px
1687605844.7230923 Coordinates x=1354 px, y=885 px
1687605844.7387154 Coordinates x=1358 px, y=879 px
1687605844.7543309 Coordinates x=1358 px, y=879 px
1687605844.7695124 Coordinates x=1360 px, y=876 px
1687605844.7848785 Coordinates x=1360 px, y=876 px
1687605844.7999163 Coordinates x=1365 px, y=869 px
1687605844.8158102 Coordinates x=1372 px, y=851 px
1687605844.832971 Coordinates x=1372 px, y=851 px
1687605844.848455 Coordinates x=1372 px, y=851 px
1687605844.8642204 Coordinates x=1377 px, y=842 px
1687605844.8800292 Coordinates x=1377 px, y=842 px
1687605844.8957212 Coordinates x=1377 px, y=842 px
1687605844.911408 Coordinates x=1381 px, y=835 px
1687605844.9271119 Coordinates x=1384 px, y=827 px
1687605844.9426422 Coordinates x=1384 px, y=827 px
1687605844.958326 Coordinates x=1390 px, y=819 px
1687605844.974109 Coordinates x=1390 px, y=819 px
1687605844.9899774 Coordinates x=1391 px, y=816 px
1687605845.005574 Coordinates x=1391 px, y=816 px
1687605845.0212393 Coordinates x=1391 px, y=816 px
1687605845.0368536 Coordinates x=1391 px, y=816 px
1687605845.0524764 Coordinates x=1391 px, y=815 px
1687605845.0683403 Coordinates x=1391 px, y=815 px
1687605845.0840402 Coordinates x=1393 px, y=812 px
1687605845.0997498 Coordinates x=1393 px, y=812 px
1687605845.1154234 Coordinates x=1206 px, y=783 px
1687605845.131107 Coordinates x=1206 px, y=783 px
1687605845.1465197 Coordinates x=1206 px, y=783 px
1687605845.1622818 Coordinates x=1099 px, y=771 px
1687605845.1785705 Coordinates x=1099 px, y=771 px
1687605845.1944146 Coordinates x=992 px, y=753 px
1687605845.2100883 Coordinates x=992 px, y=753 px
1687605845.2257166 Coordinates x=716 px, y=684 px
1687605845.2413313 Coordinates x=716 px, y=684 px
1687605845.2569492 Coordinates x=672 px, y=669 px
1687605845.2732706 Coordinates x=672 px, y=669 px
1687605845.2891617 Coordinates x=649 px, y=651 px
1687605845.304768 Coordinates x=649 px, y=651 px
1687605845.320395 Coordinates x=626 px, y=629 px
1687605845.3360043 Coordinates x=626 px, y=629 px
1687605845.3515992 Coordinates x=562 px, y=599 px
1687605845.3672297 Coordinates x=562 px, y=599 px
1687605845.3830197 Coordinates x=562 px, y=599 px
1687605845.3985245 Coordinates x=446 px, y=592 px
1687605845.4143734 Coordinates x=446 px, y=592 px
1687605845.4299922 Coordinates x=405 px, y=588 px
1687605845.4456182 Coordinates x=405 px, y=588 px
1687605845.4611998 Coordinates x=372 px, y=583 px
1687605845.4775786 Coordinates x=372 px, y=583 px
1687605845.4933672 Coordinates x=355 px, y=582 px
1687605845.5090914 Coordinates x=355 px, y=582 px
1687605845.524684 Coordinates x=333 px, y=580 px
1687605845.5403342 Coordinates x=333 px, y=580 px
1687605845.5559285 Coordinates x=308 px, y=574 px
1687605845.5722733 Coordinates x=308 px, y=574 px
1687605845.588142 Coordinates x=308 px, y=574 px
1687605845.6036758 Coordinates x=284 px, y=568 px
1687605845.6193666 Coordinates x=284 px, y=568 px
1687605845.6350086 Coordinates x=276 px, y=567 px
1687605845.6505358 Coordinates x=266 px, y=566 px
1687605845.6660528 Coordinates x=266 px, y=566 px
1687605845.6819396 Coordinates x=266 px, y=566 px
1687605845.697718 Coordinates x=260 px, y=564 px
1687605845.7134378 Coordinates x=260 px, y=564 px
1687605845.7290807 Coordinates x=254 px, y=557 px
1687605845.7447069 Coordinates x=254 px, y=557 px
1687605845.7601142 Coordinates x=245 px, y=551 px
1687605845.7760744 Coordinates x=245 px, y=551 px
1687605845.7919312 Coordinates x=243 px, y=549 px
1687605845.807565 Coordinates x=243 px, y=549 px
1687605845.8231974 Coordinates x=241 px, y=546 px
1687605845.838822 Coordinates x=241 px, y=546 px
1687605845.8544533 Coordinates x=248 px, y=537 px
1687605845.8704474 Coordinates x=248 px, y=537 px
1687605845.886324 Coordinates x=279 px, y=527 px
1687605845.9019468 Coordinates x=279 px, y=527 px
1687605845.9174693 Coordinates x=306 px, y=514 px
1687605845.93311 Coordinates x=306 px, y=514 px
1687605845.9488242 Coordinates x=344 px, y=505 px
1687605845.9643888 Coordinates x=344 px, y=505 px
1687605845.9807513 Coordinates x=344 px, y=505 px
1687605845.9965842 Coordinates x=357 px, y=500 px
1687605846.0122445 Coordinates x=357 px, y=500 px
1687605846.0278351 Coordinates x=375 px, y=492 px
1687605846.0434647 Coordinates x=375 px, y=492 px
