1687083412.9027936 Coordinates x=643 px, y=260 px
1687083412.9188035 Coordinates x=643 px, y=260 px
1687083412.9339437 Coordinates x=604 px, y=237 px
1687083412.949904 Coordinates x=604 px, y=237 px
1687083412.9655757 Coordinates x=575 px, y=224 px
1687083412.9815142 Coordinates x=575 px, y=224 px
1687083412.9966252 Coordinates x=576 px, y=224 px
1687083413.0126262 Coordinates x=576 px, y=224 px
1687083413.0287387 Coordinates x=572 px, y=224 px
1687083413.0447068 Coordinates x=572 px, y=224 px
1687083413.0596113 Coordinates x=572 px, y=224 px
1687083413.0754366 Coordinates x=572 px, y=224 px
1687083413.0908072 Coordinates x=571 px, y=223 px
1687083413.1068132 Coordinates x=571 px, y=223 px
1687083413.1228585 Coordinates x=571 px, y=223 px
1687083413.1388898 Coordinates x=570 px, y=222 px
1687083413.1550107 Coordinates x=570 px, y=222 px
1687083413.1701386 Coordinates x=569 px, y=219 px
1687083413.1850564 Coordinates x=569 px, y=219 px
1687083413.201134 Coordinates x=567 px, y=214 px
1687083413.2172148 Coordinates x=567 px, y=214 px
1687083413.2326453 Coordinates x=524 px, y=200 px
1687083413.2485597 Coordinates x=524 px, y=200 px
1687083413.264555 Coordinates x=456 px, y=174 px
1687083413.280493 Coordinates x=456 px, y=174 px
1687083413.295852 Coordinates x=421 px, y=171 px
1687083413.311838 Coordinates x=421 px, y=171 px
1687083413.3270385 Coordinates x=394 px, y=177 px
1687083413.3429413 Coordinates x=394 px, y=177 px
1687083413.3584273 Coordinates x=394 px, y=177 px
1687083413.3741658 Coordinates x=394 px, y=177 px
1687083413.3891728 Coordinates x=370 px, y=187 px
1687083413.4045098 Coordinates x=370 px, y=187 px
1687083413.420219 Coordinates x=353 px, y=192 px
1687083413.4356427 Coordinates x=353 px, y=192 px
1687083413.4508712 Coordinates x=340 px, y=195 px
1687083413.466216 Coordinates x=340 px, y=195 px
1687083413.4815636 Coordinates x=325 px, y=198 px
1687083413.497668 Coordinates x=314 px, y=202 px
1687083413.5131023 Coordinates x=314 px, y=202 px
1687083413.5288823 Coordinates x=293 px, y=206 px
1687083413.5440989 Coordinates x=293 px, y=206 px
1687083413.5602362 Coordinates x=283 px, y=206 px
1687083413.5756392 Coordinates x=283 px, y=206 px
1687083413.5908062 Coordinates x=283 px, y=206 px
1687083413.6068523 Coordinates x=285 px, y=213 px
1687083413.6223962 Coordinates x=285 px, y=213 px
1687083413.6384954 Coordinates x=316 px, y=246 px
1687083413.6536686 Coordinates x=316 px, y=246 px
1687083413.6696613 Coordinates x=358 px, y=271 px
1687083413.6854527 Coordinates x=358 px, y=271 px
1687083413.700941 Coordinates x=358 px, y=271 px
1687083413.7163122 Coordinates x=379 px, y=278 px
1687083413.7324111 Coordinates x=379 px, y=278 px
1687083413.7475555 Coordinates x=414 px, y=277 px
1687083413.7629464 Coordinates x=414 px, y=277 px
1687083413.7782147 Coordinates x=437 px, y=274 px
1687083413.7938979 Coordinates x=445 px, y=271 px
1687083413.809611 Coordinates x=445 px, y=271 px
1687083413.824673 Coordinates x=491 px, y=268 px
1687083413.8409173 Coordinates x=491 px, y=268 px
1687083413.8564155 Coordinates x=491 px, y=268 px
1687083413.8718777 Coordinates x=542 px, y=270 px
1687083413.8873346 Coordinates x=542 px, y=270 px
1687083413.9032626 Coordinates x=613 px, y=263 px
1687083413.9185936 Coordinates x=613 px, y=263 px
1687083413.934642 Coordinates x=660 px, y=264 px
1687083413.9503932 Coordinates x=660 px, y=264 px
1687083413.9662757 Coordinates x=685 px, y=262 px
1687083413.9817965 Coordinates x=685 px, y=262 px
1687083413.9970832 Coordinates x=714 px, y=256 px
1687083414.0124133 Coordinates x=714 px, y=256 px
1687083414.0285962 Coordinates x=996 px, y=276 px
1687083414.0446446 Coordinates x=996 px, y=276 px
1687083414.0605927 Coordinates x=1082 px, y=290 px
1687083414.0758562 Coordinates x=1082 px, y=290 px
1687083414.0918717 Coordinates x=1157 px, y=302 px
1687083414.1074562 Coordinates x=1157 px, y=302 px
