1686395086.573087 Coordinates x=1240 px, y=739 px
1686395086.5882251 Coordinates x=1248 px, y=732 px
1686395086.6042035 Coordinates x=1248 px, y=732 px
1686395086.6194875 Coordinates x=1259 px, y=726 px
1686395086.6352537 Coordinates x=1259 px, y=726 px
1686395086.6508627 Coordinates x=1261 px, y=724 px
1686395086.6663592 Coordinates x=1261 px, y=724 px
1686395086.6821883 Coordinates x=1261 px, y=724 px
1686395086.697903 Coordinates x=1275 px, y=722 px
1686395086.7135422 Coordinates x=1283 px, y=721 px
1686395086.728795 Coordinates x=1283 px, y=721 px
1686395086.7442834 Coordinates x=1283 px, y=721 px
1686395086.7595336 Coordinates x=1286 px, y=722 px
1686395086.7745733 Coordinates x=1286 px, y=722 px
1686395086.7901828 Coordinates x=1287 px, y=722 px
1686395086.8058007 Coordinates x=1287 px, y=722 px
1686395086.821163 Coordinates x=1286 px, y=722 px
1686395086.8373804 Coordinates x=1288 px, y=719 px
1686395086.8530867 Coordinates x=1288 px, y=719 px
1686395086.8683314 Coordinates x=1288 px, y=719 px
1686395086.8840592 Coordinates x=1288 px, y=719 px
1686395086.9001338 Coordinates x=1287 px, y=719 px
1686395086.9158652 Coordinates x=1283 px, y=723 px
1686395086.9314206 Coordinates x=1283 px, y=723 px
1686395086.9471571 Coordinates x=1202 px, y=730 px
1686395086.9624608 Coordinates x=1202 px, y=730 px
1686395086.9783554 Coordinates x=1166 px, y=722 px
1686395086.9935682 Coordinates x=1166 px, y=722 px
1686395087.0087686 Coordinates x=604 px, y=692 px
1686395087.0239575 Coordinates x=604 px, y=692 px
1686395087.0401824 Coordinates x=604 px, y=692 px
1686395087.0555835 Coordinates x=604 px, y=692 px
1686395087.0707588 Coordinates x=501 px, y=693 px
1686395087.086007 Coordinates x=370 px, y=636 px
1686395087.1018744 Coordinates x=370 px, y=636 px
1686395087.1175945 Coordinates x=338 px, y=585 px
1686395087.1328695 Coordinates x=338 px, y=585 px
1686395087.1487558 Coordinates x=310 px, y=530 px
1686395087.1639278 Coordinates x=310 px, y=530 px
1686395087.1786053 Coordinates x=281 px, y=471 px
1686395087.1942227 Coordinates x=281 px, y=471 px
1686395087.2097454 Coordinates x=248 px, y=438 px
1686395087.2247589 Coordinates x=248 px, y=438 px
1686395087.2406704 Coordinates x=217 px, y=405 px
1686395087.2566707 Coordinates x=217 px, y=405 px
1686395087.2728078 Coordinates x=217 px, y=405 px
1686395087.2885404 Coordinates x=201 px, y=387 px
1686395087.303949 Coordinates x=201 px, y=387 px
1686395087.3198657 Coordinates x=194 px, y=383 px
1686395087.3358316 Coordinates x=194 px, y=383 px
1686395087.3514042 Coordinates x=188 px, y=380 px
1686395087.3665984 Coordinates x=188 px, y=380 px
1686395087.3822231 Coordinates x=180 px, y=378 px
1686395087.397421 Coordinates x=180 px, y=378 px
1686395087.4134066 Coordinates x=171 px, y=376 px
1686395087.4289577 Coordinates x=171 px, y=376 px
1686395087.4450743 Coordinates x=167 px, y=376 px
1686395087.4610014 Coordinates x=167 px, y=376 px
1686395087.476592 Coordinates x=165 px, y=377 px
1686395087.4921193 Coordinates x=165 px, y=377 px
1686395087.5076797 Coordinates x=149 px, y=377 px
1686395087.522417 Coordinates x=149 px, y=377 px
1686395087.5387678 Coordinates x=149 px, y=377 px
1686395087.554424 Coordinates x=143 px, y=378 px
1686395087.5701938 Coordinates x=143 px, y=378 px
1686395087.585537 Coordinates x=133 px, y=379 px
1686395087.60116 Coordinates x=133 px, y=379 px
1686395087.61657 Coordinates x=130 px, y=377 px
1686395087.6323714 Coordinates x=130 px, y=377 px
1686395087.6476316 Coordinates x=129 px, y=374 px
1686395087.6629698 Coordinates x=129 px, y=374 px
1686395087.6783514 Coordinates x=136 px, y=368 px
1686395087.694068 Coordinates x=136 px, y=368 px
1686395087.7099767 Coordinates x=153 px, y=359 px
1686395087.7250957 Coordinates x=153 px, y=359 px
1686395087.740657 Coordinates x=164 px, y=352 px
1686395087.7560384 Coordinates x=164 px, y=352 px
1686395087.7716246 Coordinates x=164 px, y=352 px
1686395087.78711 Coordinates x=197 px, y=336 px
1686395087.8025892 Coordinates x=197 px, y=336 px
1686395087.8186758 Coordinates x=227 px, y=324 px
1686395087.833893 Coordinates x=227 px, y=324 px
1686395087.8491805 Coordinates x=234 px, y=323 px
1686395087.8652887 Coordinates x=234 px, y=323 px
1686395087.8805506 Coordinates x=253 px, y=316 px
1686395087.8957248 Coordinates x=253 px, y=316 px
1686395087.910869 Coordinates x=265 px, y=313 px
1686395087.9263086 Coordinates x=265 px, y=313 px
1686395087.9421442 Coordinates x=267 px, y=312 px
1686395087.957911 Coordinates x=267 px, y=312 px
1686395087.973746 Coordinates x=270 px, y=311 px
1686395087.9888818 Coordinates x=270 px, y=311 px
1686395088.004835 Coordinates x=270 px, y=311 px
1686395088.0199027 Coordinates x=270 px, y=311 px
1686395088.0357642 Coordinates x=270 px, y=311 px
1686395088.050817 Coordinates x=271 px, y=310 px
1686395088.0659525 Coordinates x=271 px, y=310 px
1686395088.0810804 Coordinates x=272 px, y=312 px
1686395088.0968027 Coordinates x=272 px, y=312 px
1686395088.1126692 Coordinates x=278 px, y=311 px
1686395088.1284602 Coordinates x=278 px, y=311 px
1686395088.1440988 Coordinates x=286 px, y=313 px
1686395088.1591122 Coordinates x=286 px, y=313 px
1686395088.1746125 Coordinates x=288 px, y=315 px
1686395088.1900747 Coordinates x=288 px, y=315 px
1686395088.2057877 Coordinates x=288 px, y=315 px
1686395088.221479 Coordinates x=288 px, y=315 px
1686395088.2373781 Coordinates x=288 px, y=315 px
1686395088.2526271 Coordinates x=288 px, y=318 px
1686395088.268206 Coordinates x=288 px, y=318 px
1686395088.2832384 Coordinates x=278 px, y=323 px
1686395088.2993455 Coordinates x=278 px, y=323 px
1686395088.315075 Coordinates x=276 px, y=331 px
1686395088.3304 Coordinates x=276 px, y=331 px
1686395088.3455703 Coordinates x=277 px, y=344 px
1686395088.3613517 Coordinates x=277 px, y=344 px
1686395088.3774242 Coordinates x=279 px, y=348 px
1686395088.3934093 Coordinates x=279 px, y=348 px
1686395088.409406 Coordinates x=286 px, y=351 px
1686395088.4254172 Coordinates x=286 px, y=351 px
1686395088.4415169 Coordinates x=297 px, y=355 px
1686395088.4572794 Coordinates x=297 px, y=355 px
1686395088.4732783 Coordinates x=331 px, y=358 px
1686395088.4892683 Coordinates x=331 px, y=358 px
1686395088.5042367 Coordinates x=331 px, y=358 px
1686395088.5202186 Coordinates x=430 px, y=355 px
1686395088.5362635 Coordinates x=430 px, y=355 px
1686395088.5518932 Coordinates x=497 px, y=350 px
1686395088.5670393 Coordinates x=497 px, y=350 px
1686395088.5830085 Coordinates x=550 px, y=349 px
1686395088.598762 Coordinates x=550 px, y=349 px
1686395088.6137607 Coordinates x=595 px, y=348 px
1686395088.629035 Coordinates x=595 px, y=348 px
1686395088.6441665 Coordinates x=612 px, y=349 px
1686395088.6601887 Coordinates x=612 px, y=349 px
1686395088.6759744 Coordinates x=618 px, y=350 px
1686395088.6916065 Coordinates x=618 px, y=350 px
1686395088.707627 Coordinates x=629 px, y=356 px
1686395088.7234187 Coordinates x=629 px, y=356 px
1686395088.7394402 Coordinates x=629 px, y=356 px
1686395088.7555003 Coordinates x=638 px, y=362 px
1686395088.7707608 Coordinates x=638 px, y=362 px
1686395088.7860758 Coordinates x=644 px, y=363 px
1686395088.801762 Coordinates x=644 px, y=363 px
1686395088.8170729 Coordinates x=646 px, y=363 px
1686395088.8325377 Coordinates x=646 px, y=363 px
