1686389268.3140807 Coordinates x=531 px, y=361 px
1686389268.3291614 Coordinates x=537 px, y=358 px
1686389268.3444307 Coordinates x=537 px, y=358 px
1686389268.3602426 Coordinates x=541 px, y=355 px
1686389268.3764489 Coordinates x=541 px, y=355 px
1686389268.3917294 Coordinates x=541 px, y=354 px
1686389268.4075801 Coordinates x=541 px, y=354 px
1686389268.423182 Coordinates x=540 px, y=352 px
1686389268.4391804 Coordinates x=540 px, y=352 px
1686389268.4551759 Coordinates x=531 px, y=347 px
1686389268.4710076 Coordinates x=531 px, y=347 px
1686389268.4867105 Coordinates x=512 px, y=335 px
1686389268.502545 Coordinates x=512 px, y=335 px
1686389268.5181098 Coordinates x=494 px, y=322 px
1686389268.534012 Coordinates x=494 px, y=322 px
1686389268.5496936 Coordinates x=489 px, y=316 px
1686389268.565209 Coordinates x=489 px, y=316 px
1686389268.581066 Coordinates x=489 px, y=316 px
1686389268.5968633 Coordinates x=487 px, y=312 px
1686389268.6129746 Coordinates x=487 px, y=312 px
1686389268.6281786 Coordinates x=487 px, y=312 px
1686389268.643342 Coordinates x=487 px, y=312 px
1686389268.659453 Coordinates x=425 px, y=299 px
1686389268.6754844 Coordinates x=425 px, y=299 px
1686389268.6914964 Coordinates x=176 px, y=254 px
1686389268.707417 Coordinates x=176 px, y=254 px
1686389268.7235098 Coordinates x=108 px, y=236 px
1686389268.7388716 Coordinates x=108 px, y=236 px
1686389268.754455 Coordinates x=76 px, y=219 px
1686389268.7702947 Coordinates x=76 px, y=219 px
1686389268.7854764 Coordinates x=76 px, y=219 px
1686389268.801212 Coordinates x=56 px, y=201 px
1686389268.816339 Coordinates x=45 px, y=188 px
1686389268.8319204 Coordinates x=45 px, y=188 px
1686389268.8471115 Coordinates x=45 px, y=188 px
1686389268.8623133 Coordinates x=36 px, y=177 px
1686389268.8782861 Coordinates x=36 px, y=177 px
1686389268.8936296 Coordinates x=30 px, y=169 px
1686389268.9089649 Coordinates x=30 px, y=169 px
1686389268.9245858 Coordinates x=26 px, y=161 px
1686389268.9401348 Coordinates x=26 px, y=161 px
1686389268.9562466 Coordinates x=23 px, y=159 px
1686389268.9721553 Coordinates x=23 px, y=159 px
1686389268.9875963 Coordinates x=22 px, y=159 px
1686389269.0030167 Coordinates x=22 px, y=159 px
1686389269.0191646 Coordinates x=21 px, y=159 px
1686389269.0340655 Coordinates x=21 px, y=159 px
1686389269.050126 Coordinates x=20 px, y=160 px
1686389269.0658872 Coordinates x=20 px, y=160 px
1686389269.08112 Coordinates x=18 px, y=160 px
1686389269.0968645 Coordinates x=18 px, y=160 px
1686389269.1120064 Coordinates x=18 px, y=160 px
1686389269.1272058 Coordinates x=18 px, y=160 px
1686389269.1423004 Coordinates x=18 px, y=160 px
1686389269.158022 Coordinates x=16 px, y=157 px
1686389269.1732721 Coordinates x=16 px, y=157 px
1686389269.1891277 Coordinates x=14 px, y=153 px
1686389269.2041364 Coordinates x=14 px, y=153 px
1686389269.2203882 Coordinates x=12 px, y=143 px
1686389269.2359211 Coordinates x=12 px, y=143 px
1686389269.251138 Coordinates x=12 px, y=143 px
1686389269.2669215 Coordinates x=11 px, y=139 px
1686389269.2825038 Coordinates x=11 px, y=137 px
1686389269.298033 Coordinates x=11 px, y=137 px
1686389269.3134496 Coordinates x=11 px, y=137 px
1686389269.3292 Coordinates x=27 px, y=130 px
1686389269.345019 Coordinates x=27 px, y=130 px
1686389269.360689 Coordinates x=192 px, y=100 px
1686389269.3765893 Coordinates x=192 px, y=100 px
1686389269.392375 Coordinates x=269 px, y=93 px
1686389269.4075153 Coordinates x=269 px, y=93 px
1686389269.4233925 Coordinates x=291 px, y=89 px
1686389269.4392638 Coordinates x=291 px, y=89 px
1686389269.4542909 Coordinates x=291 px, y=89 px
1686389269.4696953 Coordinates x=297 px, y=88 px
1686389269.4846008 Coordinates x=307 px, y=79 px
1686389269.5006173 Coordinates x=307 px, y=79 px
1686389269.5156198 Coordinates x=307 px, y=79 px
1686389269.531164 Coordinates x=311 px, y=63 px
1686389269.5471678 Coordinates x=311 px, y=63 px
1686389269.563164 Coordinates x=311 px, y=53 px
1686389269.5791662 Coordinates x=311 px, y=53 px
1686389269.595168 Coordinates x=312 px, y=46 px
1686389269.6111736 Coordinates x=312 px, y=46 px
1686389269.6266985 Coordinates x=311 px, y=40 px
1686389269.6426969 Coordinates x=311 px, y=40 px
1686389269.6586993 Coordinates x=309 px, y=36 px
1686389269.6738434 Coordinates x=309 px, y=36 px
1686389269.6898232 Coordinates x=306 px, y=32 px
1686389269.705888 Coordinates x=306 px, y=32 px
1686389269.721503 Coordinates x=306 px, y=32 px
1686389269.7375517 Coordinates x=319 px, y=26 px
1686389269.7534556 Coordinates x=342 px, y=21 px
1686389269.76958 Coordinates x=342 px, y=21 px
1686389269.7847135 Coordinates x=374 px, y=23 px
1686389269.800714 Coordinates x=374 px, y=23 px
1686389269.8160286 Coordinates x=374 px, y=23 px
1686389269.8312407 Coordinates x=463 px, y=72 px
1686389269.8472407 Coordinates x=485 px, y=83 px
1686389269.8632412 Coordinates x=485 px, y=83 px
1686389269.8792167 Coordinates x=485 px, y=83 px
1686389269.8951666 Coordinates x=498 px, y=91 px
1686389269.910355 Coordinates x=498 px, y=91 px
1686389269.9260285 Coordinates x=502 px, y=96 px
1686389269.9420216 Coordinates x=502 px, y=96 px
1686389269.9575229 Coordinates x=505 px, y=100 px
1686389269.9729984 Coordinates x=505 px, y=100 px
1686389269.989023 Coordinates x=508 px, y=104 px
1686389270.0046866 Coordinates x=508 px, y=104 px
1686389270.020112 Coordinates x=518 px, y=107 px
1686389270.036082 Coordinates x=518 px, y=107 px
1686389270.0516658 Coordinates x=538 px, y=114 px
1686389270.0674167 Coordinates x=538 px, y=114 px
1686389270.0835896 Coordinates x=573 px, y=131 px
1686389270.0991054 Coordinates x=573 px, y=131 px
1686389270.1144083 Coordinates x=573 px, y=131 px
1686389270.1299362 Coordinates x=580 px, y=141 px
1686389270.1453207 Coordinates x=580 px, y=141 px
1686389270.1615176 Coordinates x=582 px, y=145 px
1686389270.1768742 Coordinates x=582 px, y=145 px
1686389270.1922174 Coordinates x=582 px, y=147 px
1686389270.2078774 Coordinates x=582 px, y=147 px
1686389270.2234254 Coordinates x=582 px, y=151 px
1686389270.2389805 Coordinates x=582 px, y=151 px
1686389270.2549784 Coordinates x=582 px, y=156 px
1686389270.270306 Coordinates x=582 px, y=156 px
1686389270.2857199 Coordinates x=583 px, y=156 px
1686389270.3011186 Coordinates x=583 px, y=156 px
1686389270.3170102 Coordinates x=592 px, y=158 px
1686389270.3330684 Coordinates x=592 px, y=158 px
1686389270.3483436 Coordinates x=606 px, y=160 px
1686389270.3643458 Coordinates x=606 px, y=160 px
1686389270.380344 Coordinates x=606 px, y=160 px
1686389270.396008 Coordinates x=629 px, y=161 px
1686389270.411605 Coordinates x=629 px, y=161 px
1686389270.4272296 Coordinates x=650 px, y=157 px
1686389270.4424438 Coordinates x=650 px, y=157 px
1686389270.4579356 Coordinates x=671 px, y=155 px
1686389270.4736114 Coordinates x=671 px, y=155 px
1686389270.4896462 Coordinates x=680 px, y=153 px
1686389270.5058684 Coordinates x=680 px, y=153 px
1686389270.5214744 Coordinates x=715 px, y=152 px
1686389270.5367944 Coordinates x=715 px, y=152 px
1686389270.5526943 Coordinates x=764 px, y=137 px
1686389270.568801 Coordinates x=764 px, y=137 px
1686389270.5850198 Coordinates x=803 px, y=111 px
1686389270.6006167 Coordinates x=803 px, y=111 px
1686389270.6161366 Coordinates x=828 px, y=105 px
1686389270.6319716 Coordinates x=828 px, y=105 px
1686389270.64739 Coordinates x=828 px, y=105 px
1686389270.6628094 Coordinates x=854 px, y=104 px
1686389270.6778228 Coordinates x=854 px, y=104 px
1686389270.6930602 Coordinates x=871 px, y=111 px
1686389270.7082305 Coordinates x=871 px, y=111 px
1686389270.7233737 Coordinates x=883 px, y=117 px
1686389270.7386193 Coordinates x=883 px, y=117 px
1686389270.7547376 Coordinates x=890 px, y=123 px
1686389270.7697163 Coordinates x=890 px, y=123 px
1686389270.78589 Coordinates x=922 px, y=134 px
1686389270.801149 Coordinates x=922 px, y=134 px
1686389270.8169637 Coordinates x=959 px, y=146 px
1686389270.833066 Coordinates x=959 px, y=146 px
1686389270.848457 Coordinates x=959 px, y=146 px
1686389270.863883 Coordinates x=979 px, y=152 px
1686389270.8799162 Coordinates x=979 px, y=152 px
1686389270.895839 Coordinates x=995 px, y=151 px
1686389270.9109893 Coordinates x=995 px, y=151 px
1686389270.9262016 Coordinates x=1002 px, y=150 px
1686389270.9421976 Coordinates x=1002 px, y=150 px
1686389270.9579053 Coordinates x=1003 px, y=150 px
1686389270.9737582 Coordinates x=1003 px, y=150 px
1686389270.9894428 Coordinates x=1007 px, y=151 px
1686389271.0056171 Coordinates x=1007 px, y=151 px
1686389271.021103 Coordinates x=1009 px, y=152 px
1686389271.0367165 Coordinates x=1009 px, y=152 px
1686389271.051818 Coordinates x=1009 px, y=157 px
1686389271.067048 Coordinates x=1009 px, y=157 px
1686389271.0821197 Coordinates x=1009 px, y=163 px
1686389271.0980394 Coordinates x=1009 px, y=163 px
1686389271.1135867 Coordinates x=1009 px, y=163 px
1686389271.1294873 Coordinates x=1010 px, y=165 px
1686389271.1450453 Coordinates x=1010 px, y=165 px
1686389271.1602373 Coordinates x=1015 px, y=170 px
1686389271.1758332 Coordinates x=1015 px, y=170 px
1686389271.1915753 Coordinates x=1017 px, y=173 px
1686389271.207311 Coordinates x=1017 px, y=173 px
1686389271.2232187 Coordinates x=1026 px, y=176 px
1686389271.239317 Coordinates x=1026 px, y=176 px
1686389271.2546246 Coordinates x=1042 px, y=184 px
1686389271.2706606 Coordinates x=1042 px, y=184 px
1686389271.2859082 Coordinates x=1057 px, y=191 px
1686389271.3016734 Coordinates x=1057 px, y=191 px
1686389271.3176754 Coordinates x=1069 px, y=194 px
1686389271.3329763 Coordinates x=1069 px, y=194 px
1686389271.3485906 Coordinates x=1080 px, y=197 px
1686389271.3639214 Coordinates x=1080 px, y=197 px
1686389271.3795831 Coordinates x=1080 px, y=197 px
1686389271.395138 Coordinates x=1118 px, y=204 px
1686389271.411146 Coordinates x=1118 px, y=204 px
1686389271.4267972 Coordinates x=1153 px, y=212 px
1686389271.442368 Coordinates x=1153 px, y=212 px
1686389271.4572723 Coordinates x=1193 px, y=211 px
1686389271.473218 Coordinates x=1193 px, y=211 px
1686389271.489311 Coordinates x=1235 px, y=217 px
1686389271.5053866 Coordinates x=1235 px, y=217 px
1686389271.5212781 Coordinates x=1248 px, y=223 px
1686389271.5365868 Coordinates x=1248 px, y=223 px
1686389271.5522914 Coordinates x=1262 px, y=229 px
1686389271.5676582 Coordinates x=1262 px, y=229 px
1686389271.583446 Coordinates x=1279 px, y=235 px
1686389271.599088 Coordinates x=1279 px, y=235 px
1686389271.6140273 Coordinates x=1279 px, y=235 px
1686389271.6297188 Coordinates x=1316 px, y=239 px
1686389271.645492 Coordinates x=1316 px, y=239 px
1686389271.6607063 Coordinates x=1355 px, y=241 px
1686389271.676723 Coordinates x=1355 px, y=241 px
1686389271.6921163 Coordinates x=1386 px, y=247 px
1686389271.7075176 Coordinates x=1386 px, y=247 px
1686389271.7227626 Coordinates x=1399 px, y=247 px
1686389271.7380998 Coordinates x=1399 px, y=247 px
1686389271.753391 Coordinates x=1408 px, y=247 px
1686389271.7684038 Coordinates x=1408 px, y=247 px
1686389271.7844937 Coordinates x=1416 px, y=246 px
1686389271.799683 Coordinates x=1416 px, y=246 px
1686389271.815478 Coordinates x=1426 px, y=247 px
1686389271.8316314 Coordinates x=1426 px, y=247 px
1686389271.8474681 Coordinates x=1426 px, y=247 px
1686389271.863153 Coordinates x=1457 px, y=254 px
1686389271.878586 Coordinates x=1457 px, y=254 px
