set,screen,num_of_fixes,intersections
1,1,4,3
1,2,5,1
1,3,4,0
1,4,9,2
1,5,3,4
1,6,2,1
1,7,3,2
1,8,4,0
1,9,6,4
1,10,1,0
2,1,2,0
2,2,5,0
2,3,7,1
2,4,2,2
2,5,2,0
2,6,1,1
2,7,1,0
2,8,2,3
2,9,2,0
2,10,6,0
3,1,2,0
3,2,7,3
3,3,4,0
3,4,6,1
3,5,7,0
3,6,17,0
3,7,5,2
3,8,5,0
3,9,17,1
3,10,9,1
4,1,2,2
4,2,5,1
4,3,25,3
4,4,5,0
4,5,2,0
4,6,15,1
4,7,3,1
4,8,2,0
4,9,12,4
4,10,3,0
5,1,1,0
5,2,3,0
5,3,10,0
5,4,3,1
5,5,6,5
5,6,5,1
5,7,14,0
5,8,8,0
5,9,13,0
5,10,6,1
7,1,1,0
7,2,12,3
7,3,21,3
7,4,18,4
7,5,16,0
7,6,8,1
7,7,16,0
7,9,1,0
7,10,2,0
8,1,3,0
8,2,4,0
8,3,3,1
8,4,11,2
8,5,12,0
8,6,4,0
8,7,4,0
8,8,11,5
8,9,7,0
8,10,13,1
9,1,4,0
9,2,5,0
9,3,7,0
9,4,4,0
9,5,4,0
9,6,9,2
9,7,6,2
9,8,18,0
9,9,5,0
9,10,10,0
10,1,23,4
10,2,21,0
10,3,5,0
10,4,14,2
10,5,18,0
10,6,27,0
10,7,25,0
10,8,20,5
10,9,5,1
10,10,24,5
