set,screen,num_of_fixes,intersections
1,1,2,0
1,2,4,2
1,3,2,0
1,4,2,2
1,5,1,0
1,6,1,0
1,7,2,1
1,8,1,0
1,9,1,2
1,10,2,0
3,1,1,0
3,2,4,6
3,3,4,0
3,4,2,1
3,5,16,3
3,6,6,0
3,7,5,0
3,8,5,3
3,9,18,2
3,10,9,2
4,1,1,0
4,2,14,0
4,3,21,1
4,4,7,0
4,5,4,3
4,6,21,0
4,7,5,0
4,8,6,0
4,9,7,5
4,10,3,2
5,1,5,1
5,2,8,1
5,3,18,1
5,4,9,1
5,5,14,2
5,6,10,2
5,7,13,5
5,8,14,8
5,9,11,1
5,10,10,0
6,1,4,3
6,2,5,0
6,3,17,0
6,4,15,2
6,5,18,0
6,6,5,0
6,7,3,4
6,8,27,0
6,9,6,2
6,10,6,1
7,1,5,4
7,2,20,0
7,3,31,0
7,4,10,0
7,5,10,0
7,6,17,3
7,7,20,4
7,8,10,0
7,9,10,1
7,10,2,1
8,1,3,3
8,2,9,1
8,3,5,2
8,4,17,4
8,5,3,0
8,6,5,0
8,7,14,3
8,8,13,2
8,9,6,0
8,10,8,0
9,1,2,0
9,2,15,0
9,3,7,0
9,4,7,0
9,5,9,0
9,6,13,0
9,7,5,0
9,8,22,2
9,9,5,0
9,10,10,1
10,1,10,0
10,2,12,0
10,3,5,1
10,4,10,3
10,5,5,1
10,6,11,0
10,7,16,1
10,8,19,0
10,9,5,0
