1687084364.560081 Coordinates x=983 px, y=379 px
1687084364.5819526 Coordinates x=983 px, y=379 px
1687084364.5978692 Coordinates x=976 px, y=377 px
1687084364.613869 Coordinates x=976 px, y=377 px
1687084364.6293125 Coordinates x=971 px, y=376 px
1687084364.645172 Coordinates x=971 px, y=376 px
1687084364.661019 Coordinates x=970 px, y=377 px
1687084364.6770966 Coordinates x=970 px, y=377 px
1687084364.69303 Coordinates x=969 px, y=377 px
1687084364.7084358 Coordinates x=969 px, y=377 px
1687084364.7237883 Coordinates x=948 px, y=387 px
1687084364.739643 Coordinates x=948 px, y=387 px
1687084364.7547567 Coordinates x=348 px, y=720 px
1687084364.7701917 Coordinates x=348 px, y=720 px
1687084364.7856221 Coordinates x=270 px, y=796 px
1687084364.801549 Coordinates x=270 px, y=796 px
1687084364.8170254 Coordinates x=270 px, y=796 px
1687084364.8326335 Coordinates x=188 px, y=869 px
1687084364.847997 Coordinates x=188 px, y=869 px
1687084364.863792 Coordinates x=127 px, y=918 px
1687084364.8785722 Coordinates x=127 px, y=918 px
1687084364.893463 Coordinates x=94 px, y=941 px
1687084364.9094684 Coordinates x=94 px, y=941 px
1687084364.9249482 Coordinates x=76 px, y=954 px
1687084364.9408 Coordinates x=76 px, y=954 px
1687084364.9559488 Coordinates x=75 px, y=956 px
1687084364.9719067 Coordinates x=75 px, y=956 px
1687084364.9871068 Coordinates x=539 px, y=917 px
1687084365.0030444 Coordinates x=539 px, y=917 px
1687084365.0184364 Coordinates x=921 px, y=764 px
1687084365.0340383 Coordinates x=921 px, y=764 px
1687084365.0500376 Coordinates x=983 px, y=717 px
1687084365.0652287 Coordinates x=983 px, y=717 px
1687084365.081224 Coordinates x=983 px, y=717 px
1687084365.0972257 Coordinates x=1044 px, y=669 px
1687084365.113226 Coordinates x=1044 px, y=669 px
1687084365.1292365 Coordinates x=1070 px, y=650 px
1687084365.1447694 Coordinates x=1070 px, y=650 px
1687084365.1608064 Coordinates x=1083 px, y=633 px
1687084365.175812 Coordinates x=1083 px, y=633 px
1687084365.1918185 Coordinates x=1088 px, y=621 px
1687084365.2077672 Coordinates x=1088 px, y=621 px
1687084365.222784 Coordinates x=1089 px, y=604 px
1687084365.2380376 Coordinates x=1089 px, y=604 px
1687084365.2540376 Coordinates x=1090 px, y=601 px
1687084365.2690365 Coordinates x=1090 px, y=601 px
1687084365.2850342 Coordinates x=1092 px, y=599 px
1687084365.3000345 Coordinates x=1092 px, y=599 px
1687084365.3160462 Coordinates x=1093 px, y=596 px
1687084365.3320885 Coordinates x=1093 px, y=596 px
1687084365.3480887 Coordinates x=1093 px, y=596 px
1687084365.3641067 Coordinates x=1096 px, y=564 px
1687084365.3798335 Coordinates x=1096 px, y=564 px
1687084365.395024 Coordinates x=1114 px, y=504 px
1687084365.410988 Coordinates x=1114 px, y=504 px
1687084365.4261339 Coordinates x=1128 px, y=458 px
1687084365.4421737 Coordinates x=1128 px, y=458 px
1687084365.457304 Coordinates x=1135 px, y=433 px
1687084365.472672 Coordinates x=1135 px, y=433 px
1687084365.4879057 Coordinates x=1142 px, y=403 px
1687084365.5036569 Coordinates x=1142 px, y=403 px
1687084365.519138 Coordinates x=1149 px, y=381 px
