set,screen,num_of_jumps,intersections
1,1,4,1
1,2,1,0
1,3,7,0
1,4,10,4
1,5,19,4
1,6,10,2
1,7,6,6
1,8,9,0
1,9,13,8
1,10,13,18
2,1,7,4
2,2,4,0
2,3,15,2
2,4,10,4
2,5,1,0
2,6,5,7
2,7,6,2
2,8,8,8
2,9,16,7
2,10,22,2
4,1,8,4
4,2,33,6
4,3,18,2
4,4,20,2
4,5,12,0
4,6,53,8
4,7,15,4
4,8,14,0
4,9,21,6
4,10,8,0
5,1,14,0
5,2,24,4
5,3,23,4
5,4,30,2
5,5,33,8
5,6,14,5
5,7,33,2
5,8,22,10
5,9,28,12
5,10,31,8
6,1,27,2
6,2,13,2
6,3,19,2
6,4,29,0
6,5,41,2
6,6,13,2
6,7,8,4
6,8,23,4
6,9,9,4
6,10,9,3
7,1,8,0
7,2,20,0
7,3,31,7
7,4,50,10
7,5,28,0
7,6,36,6
7,7,46,8
7,8,25,2
7,9,21,5
7,10,20,4
8,1,7,0
8,2,17,2
8,3,18,3
8,4,33,2
8,5,14,0
8,6,11,0
8,7,40,8
8,8,21,4
8,9,46,2
8,10,63,8
9,1,16,2
9,2,56,10
9,3,15,4
9,4,17,0
9,5,27,4
9,6,24,6
9,7,22,6
9,8,24,5
9,9,11,0
9,10,15,3
10,1,21,14
10,2,49,0
10,3,35,8
10,4,36,9
10,5,13,0
10,6,45,28
10,7,44,2
10,8,42,2
10,9,13,0
10,10,28,4
