1687083722.2455919 Coordinates x=1030 px, y=369 px
1687083722.2610471 Coordinates x=1030 px, y=369 px
1687083722.276265 Coordinates x=1028 px, y=371 px
1687083722.2924824 Coordinates x=1028 px, y=371 px
1687083722.307964 Coordinates x=1025 px, y=370 px
1687083722.3239765 Coordinates x=1025 px, y=370 px
1687083722.3391185 Coordinates x=1022 px, y=369 px
1687083722.354941 Coordinates x=1022 px, y=369 px
1687083722.3706524 Coordinates x=1017 px, y=367 px
1687083722.386493 Coordinates x=1017 px, y=367 px
1687083722.4016175 Coordinates x=1017 px, y=367 px
1687083722.4169219 Coordinates x=1012 px, y=364 px
1687083722.4326665 Coordinates x=1012 px, y=364 px
1687083722.447983 Coordinates x=1010 px, y=365 px
1687083722.4639714 Coordinates x=1010 px, y=365 px
1687083722.480188 Coordinates x=1009 px, y=365 px
1687083722.4963307 Coordinates x=1009 px, y=365 px
1687083722.511618 Coordinates x=1002 px, y=365 px
1687083722.5275443 Coordinates x=1002 px, y=365 px
1687083722.5430834 Coordinates x=916 px, y=342 px
1687083722.5583441 Coordinates x=916 px, y=342 px
1687083722.5744398 Coordinates x=677 px, y=261 px
1687083722.5894835 Coordinates x=677 px, y=261 px
1687083722.6052115 Coordinates x=565 px, y=217 px
1687083722.6202266 Coordinates x=565 px, y=217 px
1687083722.6365826 Coordinates x=528 px, y=193 px
1687083722.6524825 Coordinates x=528 px, y=193 px
1687083722.6678944 Coordinates x=489 px, y=173 px
1687083722.6835794 Coordinates x=489 px, y=173 px
1687083722.6987116 Coordinates x=468 px, y=157 px
1687083722.714602 Coordinates x=468 px, y=157 px
1687083722.7303066 Coordinates x=439 px, y=146 px
1687083722.746389 Coordinates x=439 px, y=146 px
1687083722.762364 Coordinates x=439 px, y=146 px
1687083722.77808 Coordinates x=430 px, y=143 px
1687083722.7934494 Coordinates x=430 px, y=143 px
1687083722.809012 Coordinates x=417 px, y=139 px
1687083722.8243065 Coordinates x=417 px, y=139 px
1687083722.8394976 Coordinates x=400 px, y=135 px
1687083722.8555188 Coordinates x=400 px, y=135 px
1687083722.8710575 Coordinates x=394 px, y=131 px
1687083722.8863335 Coordinates x=394 px, y=131 px
1687083722.902333 Coordinates x=385 px, y=125 px
1687083722.9178903 Coordinates x=385 px, y=125 px
1687083722.9336598 Coordinates x=385 px, y=125 px
1687083722.9486759 Coordinates x=377 px, y=124 px
1687083722.9642036 Coordinates x=376 px, y=124 px
1687083722.9802017 Coordinates x=376 px, y=124 px
1687083722.9962049 Coordinates x=376 px, y=124 px
1687083723.011956 Coordinates x=388 px, y=131 px
1687083723.0274587 Coordinates x=388 px, y=131 px
1687083723.0435867 Coordinates x=417 px, y=139 px
1687083723.059591 Coordinates x=417 px, y=139 px
1687083723.0753248 Coordinates x=448 px, y=149 px
1687083723.091328 Coordinates x=448 px, y=149 px
1687083723.1066277 Coordinates x=474 px, y=156 px
1687083723.1226325 Coordinates x=474 px, y=156 px
1687083723.1379383 Coordinates x=499 px, y=168 px
1687083723.1532655 Coordinates x=499 px, y=168 px
1687083723.1692958 Coordinates x=649 px, y=195 px
1687083723.1853957 Coordinates x=649 px, y=195 px
1687083723.2012002 Coordinates x=729 px, y=205 px
1687083723.2172155 Coordinates x=729 px, y=205 px
1687083723.2325325 Coordinates x=729 px, y=205 px
1687083723.2482042 Coordinates x=768 px, y=211 px
1687083723.263273 Coordinates x=768 px, y=211 px
1687083723.2789369 Coordinates x=801 px, y=214 px
1687083723.2942166 Coordinates x=801 px, y=214 px
1687083723.309435 Coordinates x=842 px, y=220 px
1687083723.3245711 Coordinates x=842 px, y=220 px
1687083723.3401704 Coordinates x=858 px, y=221 px
1687083723.3555012 Coordinates x=858 px, y=221 px
1687083723.3713896 Coordinates x=871 px, y=217 px
1687083723.386981 Coordinates x=871 px, y=217 px
1687083723.4022727 Coordinates x=877 px, y=215 px
1687083723.4177136 Coordinates x=877 px, y=215 px
1687083723.4332936 Coordinates x=877 px, y=215 px
1687083723.4487805 Coordinates x=894 px, y=218 px
1687083723.464 Coordinates x=894 px, y=218 px
1687083723.4794443 Coordinates x=1020 px, y=232 px
1687083723.4955251 Coordinates x=1020 px, y=232 px
1687083723.5110755 Coordinates x=1128 px, y=248 px
1687083723.5262232 Coordinates x=1128 px, y=248 px
1687083723.5421884 Coordinates x=1180 px, y=250 px
1687083723.5581586 Coordinates x=1180 px, y=250 px
1687083723.5737543 Coordinates x=1206 px, y=252 px
1687083723.5892074 Coordinates x=1206 px, y=252 px
1687083723.6054888 Coordinates x=1241 px, y=265 px
1687083723.620748 Coordinates x=1241 px, y=265 px
1687083723.6359055 Coordinates x=1241 px, y=265 px
1687083723.6515126 Coordinates x=1270 px, y=268 px
1687083723.6664448 Coordinates x=1270 px, y=268 px
1687083723.682337 Coordinates x=1274 px, y=268 px
1687083723.6974862 Coordinates x=1274 px, y=268 px
1687083723.7130291 Coordinates x=1274 px, y=268 px
1687083723.7294695 Coordinates x=1274 px, y=268 px
1687083723.744686 Coordinates x=1273 px, y=267 px
1687083723.7607172 Coordinates x=1273 px, y=267 px
1687083723.7767456 Coordinates x=1272 px, y=265 px
1687083723.7919722 Coordinates x=1272 px, y=265 px
1687083723.808138 Coordinates x=1265 px, y=259 px
1687083723.8237576 Coordinates x=1265 px, y=259 px
1687083723.8388906 Coordinates x=1255 px, y=256 px
1687083723.8548956 Coordinates x=1255 px, y=256 px
1687083723.8703866 Coordinates x=1272 px, y=257 px
1687083723.8860877 Coordinates x=1272 px, y=257 px
1687083723.9010835 Coordinates x=1333 px, y=263 px
1687083723.9163988 Coordinates x=1333 px, y=263 px
1687083723.9315383 Coordinates x=1333 px, y=263 px
1687083723.9472091 Coordinates x=1429 px, y=276 px
1687083723.962338 Coordinates x=1429 px, y=276 px
1687083723.9776669 Coordinates x=1492 px, y=290 px
1687083723.9937017 Coordinates x=1492 px, y=290 px
1687083724.0088603 Coordinates x=1522 px, y=294 px
1687083724.024137 Coordinates x=1522 px, y=294 px
1687083724.039384 Coordinates x=1534 px, y=296 px
1687083724.0549884 Coordinates x=1534 px, y=296 px
1687083724.0709841 Coordinates x=1534 px, y=296 px
1687083724.0868745 Coordinates x=1537 px, y=299 px
1687083724.1029503 Coordinates x=1537 px, y=300 px
1687083724.1186628 Coordinates x=1537 px, y=300 px
1687083724.1342268 Coordinates x=1531 px, y=302 px
1687083724.1500819 Coordinates x=1531 px, y=302 px
1687083724.1658578 Coordinates x=1527 px, y=300 px
1687083724.1815515 Coordinates x=1527 px, y=300 px
1687083724.196419 Coordinates x=1527 px, y=300 px
