1686491782.2972753 Coordinates x=1030 px, y=534 px
1686491782.317768 Coordinates x=1030 px, y=534 px
1686491782.3337297 Coordinates x=1024 px, y=510 px
1686491782.3489544 Coordinates x=1024 px, y=510 px
1686491782.3650763 Coordinates x=1019 px, y=502 px
1686491782.3809307 Coordinates x=1019 px, y=502 px
1686491782.396398 Coordinates x=1015 px, y=499 px
1686491782.4118547 Coordinates x=1015 px, y=499 px
1686491782.4274848 Coordinates x=1011 px, y=496 px
1686491782.443143 Coordinates x=1011 px, y=496 px
1686491782.4587762 Coordinates x=1009 px, y=495 px
1686491782.4747684 Coordinates x=1009 px, y=495 px
1686491782.4906254 Coordinates x=1006 px, y=492 px
1686491782.5060456 Coordinates x=1006 px, y=492 px
1686491782.522069 Coordinates x=1006 px, y=492 px
1686491782.5381482 Coordinates x=1002 px, y=491 px
1686491782.553336 Coordinates x=1002 px, y=491 px
1686491782.568935 Coordinates x=999 px, y=492 px
1686491782.5843449 Coordinates x=999 px, y=492 px
1686491782.5997732 Coordinates x=998 px, y=493 px
1686491782.6153264 Coordinates x=998 px, y=493 px
1686491782.631243 Coordinates x=998 px, y=493 px
1686491782.6469877 Coordinates x=998 px, y=493 px
1686491782.6624439 Coordinates x=877 px, y=508 px
1686491782.678368 Coordinates x=877 px, y=508 px
1686491782.693425 Coordinates x=700 px, y=532 px
1686491782.708929 Coordinates x=700 px, y=532 px
1686491782.7239833 Coordinates x=700 px, y=532 px
1686491782.7399712 Coordinates x=613 px, y=546 px
1686491782.7555935 Coordinates x=613 px, y=546 px
1686491782.770719 Coordinates x=565 px, y=558 px
1686491782.786118 Coordinates x=565 px, y=558 px
1686491782.8026237 Coordinates x=544 px, y=566 px
1686491782.8181078 Coordinates x=544 px, y=566 px
1686491782.8332345 Coordinates x=507 px, y=572 px
1686491782.849142 Coordinates x=507 px, y=572 px
1686491782.8644876 Coordinates x=478 px, y=571 px
1686491782.8798738 Coordinates x=478 px, y=571 px
1686491782.8953507 Coordinates x=455 px, y=568 px
1686491782.9112265 Coordinates x=455 px, y=568 px
1686491782.92723 Coordinates x=440 px, y=559 px
1686491782.943139 Coordinates x=440 px, y=559 px
1686491782.959259 Coordinates x=440 px, y=559 px
1686491782.9748929 Coordinates x=430 px, y=552 px
1686491782.990991 Coordinates x=430 px, y=552 px
1686491783.0067518 Coordinates x=407 px, y=545 px
1686491783.0217898 Coordinates x=407 px, y=545 px
1686491783.0378911 Coordinates x=392 px, y=539 px
1686491783.053015 Coordinates x=392 px, y=539 px
1686491783.068734 Coordinates x=385 px, y=537 px
1686491783.0837092 Coordinates x=385 px, y=537 px
1686491783.0984235 Coordinates x=379 px, y=534 px
1686491783.113862 Coordinates x=379 px, y=534 px
1686491783.1294074 Coordinates x=374 px, y=530 px
1686491783.1454062 Coordinates x=374 px, y=530 px
1686491783.16088 Coordinates x=365 px, y=526 px
1686491783.1761243 Coordinates x=365 px, y=526 px
1686491783.191757 Coordinates x=362 px, y=530 px
1686491783.2076416 Coordinates x=362 px, y=530 px
1686491783.223382 Coordinates x=362 px, y=530 px
1686491783.239233 Coordinates x=357 px, y=552 px
1686491783.2542748 Coordinates x=357 px, y=552 px
1686491783.2696197 Coordinates x=355 px, y=588 px
1686491783.2852042 Coordinates x=355 px, y=588 px
1686491783.300293 Coordinates x=357 px, y=629 px
1686491783.31633 Coordinates x=357 px, y=629 px
1686491783.3320913 Coordinates x=357 px, y=659 px
1686491783.3476915 Coordinates x=357 px, y=659 px
1686491783.3640544 Coordinates x=359 px, y=672 px
1686491783.3792238 Coordinates x=359 px, y=672 px
1686491783.3948376 Coordinates x=365 px, y=685 px
1686491783.4105852 Coordinates x=365 px, y=685 px
1686491783.4266102 Coordinates x=399 px, y=696 px
1686491783.4418335 Coordinates x=399 px, y=696 px
1686491783.457881 Coordinates x=510 px, y=701 px
1686491783.4727185 Coordinates x=510 px, y=701 px
1686491783.4881399 Coordinates x=510 px, y=701 px
1686491783.5033777 Coordinates x=577 px, y=697 px
1686491783.5188015 Coordinates x=577 px, y=697 px
1686491783.534571 Coordinates x=613 px, y=691 px
1686491783.5501535 Coordinates x=613 px, y=691 px
1686491783.5658557 Coordinates x=643 px, y=689 px
1686491783.5809977 Coordinates x=643 px, y=689 px
1686491783.596429 Coordinates x=654 px, y=686 px
1686491783.6116238 Coordinates x=654 px, y=686 px
1686491783.6269429 Coordinates x=661 px, y=685 px
1686491783.6426547 Coordinates x=661 px, y=685 px
1686491783.6577976 Coordinates x=661 px, y=685 px
1686491783.6729372 Coordinates x=669 px, y=677 px
1686491783.6884773 Coordinates x=669 px, y=677 px
1686491783.7040617 Coordinates x=670 px, y=624 px
1686491783.7192671 Coordinates x=670 px, y=624 px
1686491783.735387 Coordinates x=652 px, y=569 px
1686491783.751407 Coordinates x=652 px, y=569 px
1686491783.7666733 Coordinates x=629 px, y=520 px
1686491783.7831452 Coordinates x=629 px, y=520 px
1686491783.7983475 Coordinates x=612 px, y=481 px
1686491783.813806 Coordinates x=612 px, y=481 px
1686491783.8297956 Coordinates x=596 px, y=442 px
1686491783.8454428 Coordinates x=596 px, y=442 px
1686491783.8607998 Coordinates x=588 px, y=403 px
1686491783.876112 Coordinates x=588 px, y=403 px
1686491783.8912873 Coordinates x=588 px, y=403 px
1686491783.9064937 Coordinates x=581 px, y=375 px
1686491783.9222915 Coordinates x=581 px, y=375 px
1686491783.9382482 Coordinates x=579 px, y=370 px
1686491783.9534109 Coordinates x=579 px, y=370 px
1686491783.969301 Coordinates x=579 px, y=365 px
1686491783.985328 Coordinates x=579 px, y=365 px
1686491784.0006611 Coordinates x=578 px, y=362 px
1686491784.0163677 Coordinates x=578 px, y=362 px
