1687693810.149359 Coordinates x=1055 px, y=281 px
1687693810.1651258 Coordinates x=1058 px, y=280 px
1687693810.1807194 Coordinates x=1058 px, y=280 px
1687693810.1961126 Coordinates x=1062 px, y=280 px
1687693810.2162647 Coordinates x=1062 px, y=280 px
1687693810.2318826 Coordinates x=1063 px, y=280 px
1687693810.2507737 Coordinates x=1063 px, y=280 px
1687693810.266665 Coordinates x=1064 px, y=280 px
1687693810.2837641 Coordinates x=1064 px, y=280 px
1687693810.2995727 Coordinates x=1064 px, y=280 px
1687693810.3151798 Coordinates x=1064 px, y=280 px
1687693810.3306606 Coordinates x=1064 px, y=280 px
1687693810.346349 Coordinates x=1064 px, y=280 px
1687693810.3621833 Coordinates x=1064 px, y=280 px
1687693810.3777883 Coordinates x=1064 px, y=280 px
1687693810.393455 Coordinates x=1066 px, y=282 px
1687693810.409075 Coordinates x=1066 px, y=282 px
1687693810.42469 Coordinates x=1066 px, y=281 px
1687693810.440277 Coordinates x=1066 px, y=281 px
1687693810.4561856 Coordinates x=1068 px, y=281 px
1687693810.4720302 Coordinates x=1068 px, y=281 px
1687693810.4876475 Coordinates x=1069 px, y=281 px
1687693810.5032704 Coordinates x=1069 px, y=281 px
1687693810.5187109 Coordinates x=1069 px, y=281 px
1687693810.5344346 Coordinates x=832 px, y=257 px
1687693810.5502882 Coordinates x=832 px, y=257 px
1687693810.566141 Coordinates x=666 px, y=248 px
1687693810.5817194 Coordinates x=666 px, y=248 px
1687693810.5973978 Coordinates x=582 px, y=246 px
1687693810.6130018 Coordinates x=582 px, y=246 px
1687693810.6286247 Coordinates x=528 px, y=240 px
1687693810.6442645 Coordinates x=528 px, y=240 px
1687693810.6605647 Coordinates x=488 px, y=235 px
1687693810.6764252 Coordinates x=488 px, y=235 px
1687693810.6920261 Coordinates x=470 px, y=236 px
1687693810.7075684 Coordinates x=470 px, y=236 px
1687693810.7232819 Coordinates x=383 px, y=244 px
1687693810.7385912 Coordinates x=383 px, y=244 px
1687693810.7541108 Coordinates x=301 px, y=256 px
1687693810.7701747 Coordinates x=301 px, y=256 px
1687693810.7853274 Coordinates x=235 px, y=259 px
1687693810.8008301 Coordinates x=235 px, y=259 px
1687693810.816528 Coordinates x=235 px, y=259 px
1687693810.8317783 Coordinates x=201 px, y=263 px
1687693810.847422 Coordinates x=201 px, y=263 px
1687693810.8634984 Coordinates x=168 px, y=257 px
1687693810.8796046 Coordinates x=168 px, y=257 px
1687693810.895586 Coordinates x=145 px, y=252 px
1687693810.9114916 Coordinates x=145 px, y=252 px
1687693810.9271135 Coordinates x=126 px, y=248 px
1687693810.9431546 Coordinates x=126 px, y=248 px
1687693810.9585996 Coordinates x=103 px, y=241 px
1687693810.9747615 Coordinates x=103 px, y=241 px
1687693810.9901996 Coordinates x=88 px, y=241 px
1687693811.005251 Coordinates x=88 px, y=241 px
1687693811.020462 Coordinates x=88 px, y=241 px
1687693811.0357127 Coordinates x=69 px, y=242 px
1687693811.051015 Coordinates x=69 px, y=242 px
1687693811.066901 Coordinates x=57 px, y=244 px
1687693811.0828223 Coordinates x=57 px, y=244 px
1687693811.0986722 Coordinates x=49 px, y=245 px
1687693811.1145527 Coordinates x=49 px, y=245 px
1687693811.130627 Coordinates x=43 px, y=245 px
1687693811.1465452 Coordinates x=43 px, y=245 px
1687693811.1621523 Coordinates x=38 px, y=245 px
1687693811.1771297 Coordinates x=38 px, y=245 px
1687693811.1922498 Coordinates x=30 px, y=259 px
1687693811.2078078 Coordinates x=30 px, y=259 px
1687693811.2327847 Coordinates x=142 px, y=656 px
1687693811.2485034 Coordinates x=142 px, y=656 px
1687693811.2643535 Coordinates x=402 px, y=733 px
1687693811.2799757 Coordinates x=402 px, y=733 px
1687693811.2955937 Coordinates x=469 px, y=721 px
1687693811.3112404 Coordinates x=469 px, y=721 px
1687693811.3268678 Coordinates x=487 px, y=710 px
1687693811.3424609 Coordinates x=487 px, y=710 px
1687693811.3583736 Coordinates x=499 px, y=693 px
1687693811.3742218 Coordinates x=499 px, y=693 px
1687693811.389808 Coordinates x=501 px, y=650 px
1687693811.40538 Coordinates x=501 px, y=650 px
1687693811.4210482 Coordinates x=488 px, y=606 px
1687693811.4367282 Coordinates x=488 px, y=606 px
1687693811.4526238 Coordinates x=488 px, y=606 px
1687693811.4683678 Coordinates x=477 px, y=526 px
1687693811.4839296 Coordinates x=477 px, y=526 px
1687693811.4997149 Coordinates x=455 px, y=476 px
1687693811.5153482 Coordinates x=455 px, y=476 px
1687693811.530964 Coordinates x=439 px, y=427 px
1687693811.5465753 Coordinates x=439 px, y=427 px
1687693811.5628166 Coordinates x=428 px, y=396 px
1687693811.5786777 Coordinates x=428 px, y=396 px
1687693811.5943043 Coordinates x=428 px, y=396 px
1687693811.6098893 Coordinates x=406 px, y=361 px
1687693811.6254892 Coordinates x=392 px, y=345 px
1687693811.6411595 Coordinates x=392 px, y=345 px
1687693811.6573656 Coordinates x=376 px, y=329 px
1687693811.673148 Coordinates x=376 px, y=329 px
1687693811.6888196 Coordinates x=376 px, y=329 px
1687693811.7044244 Coordinates x=512 px, y=295 px
1687693811.720093 Coordinates x=512 px, y=295 px
1687693811.7356746 Coordinates x=740 px, y=266 px
1687693811.751529 Coordinates x=740 px, y=266 px
1687693811.7671752 Coordinates x=840 px, y=254 px
1687693811.7828038 Coordinates x=840 px, y=254 px
1687693811.7987542 Coordinates x=881 px, y=254 px
1687693811.8143091 Coordinates x=881 px, y=254 px
1687693811.829439 Coordinates x=1028 px, y=525 px
1687693811.84549 Coordinates x=1028 px, y=525 px
1687693811.861122 Coordinates x=1160 px, y=1141 px
1687693811.8768795 Coordinates x=1160 px, y=1141 px
1687693811.8927104 Coordinates x=1161 px, y=1179 px
1687693811.9081626 Coordinates x=1161 px, y=1179 px
1687693811.9234755 Coordinates x=1131 px, y=1161 px
1687693811.9389873 Coordinates x=1131 px, y=1161 px
1687693811.954704 Coordinates x=1032 px, y=1071 px
1687693811.97043 Coordinates x=1032 px, y=1071 px
1687693811.9862638 Coordinates x=950 px, y=1019 px
1687693812.001499 Coordinates x=950 px, y=1019 px
1687693812.016685 Coordinates x=950 px, y=1019 px
1687693812.0321398 Coordinates x=846 px, y=914 px
1687693812.047319 Coordinates x=846 px, y=914 px
1687693812.0626974 Coordinates x=759 px, y=769 px
1687693812.0781994 Coordinates x=759 px, y=769 px
1687693812.0938792 Coordinates x=677 px, y=649 px
1687693812.1098661 Coordinates x=677 px, y=649 px
1687693812.1329331 Coordinates x=657 px, y=581 px
1687693812.1485684 Coordinates x=657 px, y=581 px
1687693812.1643178 Coordinates x=639 px, y=526 px
1687693812.1801636 Coordinates x=639 px, y=526 px
1687693812.1957958 Coordinates x=635 px, y=501 px
1687693812.2114146 Coordinates x=635 px, y=501 px
1687693812.2270324 Coordinates x=837 px, y=457 px
1687693812.2426798 Coordinates x=837 px, y=457 px
1687693812.258506 Coordinates x=1037 px, y=392 px
1687693812.2741535 Coordinates x=1037 px, y=392 px
1687693812.2899535 Coordinates x=1144 px, y=363 px
1687693812.305374 Coordinates x=1144 px, y=363 px
1687693812.3216035 Coordinates x=1193 px, y=362 px
1687693812.3389144 Coordinates x=1193 px, y=362 px
1687693812.3547597 Coordinates x=1233 px, y=346 px
1687693812.3705065 Coordinates x=1233 px, y=346 px
1687693812.3862016 Coordinates x=1233 px, y=346 px
1687693812.4017253 Coordinates x=1252 px, y=340 px
1687693812.417282 Coordinates x=1280 px, y=323 px
1687693812.4331052 Coordinates x=1280 px, y=323 px
1687693812.4487278 Coordinates x=1280 px, y=323 px
1687693812.4649613 Coordinates x=1286 px, y=320 px
1687693812.4808042 Coordinates x=1286 px, y=320 px
1687693812.496429 Coordinates x=1287 px, y=319 px
1687693812.5120487 Coordinates x=1287 px, y=319 px
1687693812.5276914 Coordinates x=1287 px, y=319 px
1687693812.5432997 Coordinates x=1287 px, y=319 px
1687693812.5595365 Coordinates x=1294 px, y=466 px
1687693812.5753775 Coordinates x=1294 px, y=466 px
1687693812.5909994 Coordinates x=1307 px, y=993 px
1687693812.6066368 Coordinates x=1307 px, y=993 px
1687693812.6222522 Coordinates x=1299 px, y=1029 px
1687693812.637855 Coordinates x=1299 px, y=1029 px
1687693812.6541085 Coordinates x=1287 px, y=1042 px
1687693812.669807 Coordinates x=1287 px, y=1042 px
1687693812.685412 Coordinates x=1287 px, y=1042 px
1687693812.7010102 Coordinates x=1234 px, y=1018 px
1687693812.716832 Coordinates x=1234 px, y=1018 px
1687693812.7324502 Coordinates x=1179 px, y=991 px
1687693812.7480788 Coordinates x=1179 px, y=991 px
1687693812.7643094 Coordinates x=1160 px, y=977 px
1687693812.7801616 Coordinates x=1160 px, y=977 px
1687693812.7957807 Coordinates x=1125 px, y=939 px
1687693812.811405 Coordinates x=1125 px, y=939 px
1687693812.8270226 Coordinates x=1107 px, y=910 px
1687693812.8426697 Coordinates x=1107 px, y=910 px
1687693812.858909 Coordinates x=1085 px, y=858 px
1687693812.8746636 Coordinates x=1085 px, y=858 px
1687693812.8902845 Coordinates x=1071 px, y=788 px
1687693812.905916 Coordinates x=1071 px, y=788 px
1687693812.9215925 Coordinates x=1052 px, y=702 px
1687693812.9372604 Coordinates x=1052 px, y=702 px
1687693812.9534707 Coordinates x=1052 px, y=702 px
1687693812.969285 Coordinates x=1059 px, y=659 px
1687693812.9847493 Coordinates x=1059 px, y=659 px
1687693813.0004838 Coordinates x=1076 px, y=602 px
1687693813.0161698 Coordinates x=1076 px, y=602 px
1687693813.031793 Coordinates x=1109 px, y=555 px
1687693813.0474079 Coordinates x=1109 px, y=555 px
1687693813.0636969 Coordinates x=1109 px, y=555 px
1687693813.07946 Coordinates x=1109 px, y=555 px
1687693813.095168 Coordinates x=1204 px, y=512 px
1687693813.1107967 Coordinates x=1295 px, y=470 px
1687693813.1264315 Coordinates x=1351 px, y=439 px
1687693813.142012 Coordinates x=1351 px, y=439 px
1687693813.1583138 Coordinates x=1375 px, y=429 px
1687693813.1741667 Coordinates x=1375 px, y=429 px
1687693813.189684 Coordinates x=1412 px, y=417 px
1687693813.205402 Coordinates x=1412 px, y=417 px
1687693813.2210057 Coordinates x=1430 px, y=407 px
1687693813.236576 Coordinates x=1430 px, y=407 px
1687693813.2528307 Coordinates x=1430 px, y=407 px
1687693813.2685323 Coordinates x=1449 px, y=404 px
1687693813.284107 Coordinates x=1593 px, y=377 px
1687693813.2999468 Coordinates x=1593 px, y=377 px
1687693813.3155556 Coordinates x=1593 px, y=377 px
1687693813.3311882 Coordinates x=1736 px, y=350 px
1687693813.3467927 Coordinates x=1736 px, y=350 px
1687693813.3626728 Coordinates x=1770 px, y=337 px
1687693813.3785045 Coordinates x=1770 px, y=337 px
1687693813.3941183 Coordinates x=1817 px, y=321 px
1687693813.4097438 Coordinates x=1817 px, y=321 px
1687693813.4253979 Coordinates x=1837 px, y=316 px
1687693813.4410245 Coordinates x=1837 px, y=316 px
1687693813.4569519 Coordinates x=1855 px, y=314 px
1687693813.4727979 Coordinates x=1855 px, y=314 px
1687693813.4884331 Coordinates x=1867 px, y=313 px
1687693813.504014 Coordinates x=1867 px, y=313 px
1687693813.5196707 Coordinates x=1869 px, y=315 px
1687693813.535228 Coordinates x=1869 px, y=315 px
1687693813.5507288 Coordinates x=1869 px, y=315 px
1687693813.567027 Coordinates x=1867 px, y=320 px
1687693813.5828686 Coordinates x=1867 px, y=320 px
1687693813.598492 Coordinates x=1916 px, y=323 px
1687693813.614114 Coordinates x=1916 px, y=323 px
1687693813.6297014 Coordinates x=2004 px, y=332 px
1687693813.6453795 Coordinates x=2004 px, y=332 px
1687693813.6612842 Coordinates x=2038 px, y=326 px
1687693813.677131 Coordinates x=2038 px, y=326 px
1687693813.6927602 Coordinates x=2054 px, y=326 px
1687693813.7083712 Coordinates x=2054 px, y=326 px
1687693813.724002 Coordinates x=2061 px, y=329 px
1687693813.7396445 Coordinates x=2061 px, y=329 px
1687693813.755547 Coordinates x=2075 px, y=332 px
1687693813.7714047 Coordinates x=2075 px, y=332 px
1687693813.787011 Coordinates x=2075 px, y=332 px
1687693813.8026078 Coordinates x=2096 px, y=341 px
1687693813.8180685 Coordinates x=2096 px, y=341 px
1687693813.833695 Coordinates x=2119 px, y=343 px
1687693813.8494604 Coordinates x=2119 px, y=343 px
1687693813.865351 Coordinates x=2110 px, y=349 px
1687693813.8812044 Coordinates x=2110 px, y=349 px
1687693813.8968136 Coordinates x=1237 px, y=439 px
1687693813.912346 Coordinates x=1237 px, y=439 px
